Unnamed: 0,seconds,moca_angles,moca_vel,moca_roughness,mp_angles,mp_vel,mp_roughness
1095,18.25,39.994183941410895,-0.1088967028981358,1.2245978017796626e-06,-26.92782969175644,0.7572795397858556,2.7504463023598436e-05
1096,18.266666666666666,39.99249585772545,-0.1012850211266425,6.248660973637448e-07,-26.915734500463472,0.7257114775780593,1.3551308868645097e-05
1097,18.283333333333335,39.99127210261692,-0.0734253065120071,1.6875717148546157e-07,-26.905682417984412,0.6031249487435986,3.468041691209632e-06
1098,18.3,39.990606319531054,-0.0399469851518574,2.075219949649059e-07,-26.898275780575077,0.4443982445601335,4.279248761890637e-06
1099,18.316666666666663,39.99036863443315,-0.0142611058740271,4.502605927280624e-07,-26.893096241864797,0.3107723226167991,9.95670536747985e-06
1100,18.333333333333332,39.99035508276805,-0.0008130999063382,4.787790910389868e-07,-26.88895714334588,0.2483459111349617,1.0985261526741744e-05
1101,18.35,39.99047726807932,0.007331118676177,2.993774887174466e-07,-26.884398966486803,0.2734906115446733,6.064059009443016e-06
1102,18.366666666666667,39.990884308865645,0.0244224471796883,1.6261990603338158e-07,-26.878222437536643,0.3705917370096045,1.7336041065841896e-06
1103,18.383333333333333,39.99193832498287,0.06324096703338,2.483478940122044e-07,-26.869858188887452,0.5018549189514232,2.8337489879801556e-06
1104,18.4,39.99402525772465,0.1252159645069639,7.43213641139386e-07,-26.859445241993036,0.6247768136649512,6.9926956794057e-06
1105,18.416666666666668,39.99725592327109,0.1938399327863749,1.6399324098447844e-06,-26.84760583839683,0.71036421577233,8.875499489538733e-06
1106,18.433333333333337,40.00119340231056,0.2362487423683035,2.151438733160819e-06,-26.835064614276973,0.7524734471914485,6.804436677294973e-06
1107,18.45,40.00478583688993,0.2155460747620452,1.4155673070907805e-06,-26.822381085130164,0.7610117488085422,3.2661205826919466e-06
1108,18.466666666666665,40.00662727976707,0.1104865726286163,8.599122185723136e-07,-26.809996280562164,0.7430882740800371,8.622312751760253e-07
1109,18.483333333333334,40.00551568290194,-0.0666958119082039,4.266778143917671e-06,-26.79854040120575,0.6873527613849006,2.66580326898067e-07
1110,18.5,40.00107583315549,-0.266390984786824,1.2457452579929751e-05,-26.789110661976416,0.565784353759966,1.8394047752110384e-06
1111,18.516666666666666,39.99408223713417,-0.419615761279033,1.9010265678657316e-05,-26.783224337871832,0.3531794462750071,7.894602369840161e-06
1112,18.533333333333335,39.98622070207376,-0.4716921036248322,1.6530024474592084e-05,-26.78240680690979,0.0490518577225174,2.2317280609903508e-05
1113,18.55,39.97937630688134,-0.4106637115449985,7.496168270827368e-06,-26.78765517126992,-0.314901861607666,4.5798654418765744e-05
1114,18.566666666666663,39.97486141498633,-0.2708935137007984,2.4298876679458593e-06,-26.79907127029679,-0.6849659416122478,7.05133578302233e-05
1115,18.583333333333332,39.97300823661144,-0.1111907024932179,5.955097031597762e-06,-26.815804128433683,-1.0039714882136508,8.266753122860341e-05
1116,18.6,39.97326043659428,0.0151319989703324,1.1455531813908356e-05,-26.836281407569793,-1.228636748166565,7.370949389564104e-05
1117,18.616666666666667,39.97459312293991,0.0799611807376265,1.1365950721788336e-05,-26.858619918305426,-1.340310644137972,4.8625384965199336e-05
