Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,1000.624268,909.2019653,733.0178833,1006.145813,268.794159,1010.68048,493.5,1019.0,493.5004231734872,1019.0000188400836,1000.625746688744,909.20213845394,268.79401198404287,1010.6804647285836,165.66307583924709,,
2.0,1000.599426,909.420166,733.0818481,1006.547607,268.794159,1010.68048,493.5,1019.0,493.4831128636824,1018.927030431175,1000.5939324698168,909.7302907468708,268.66674375102866,1010.6394941411088,165.69257190832076,1.7697641444203782,
3.0,1000.589417,909.7924194,732.7902832,1007.08606,268.425751,1010.57428,493.399414,1018.93994,493.473952613462,1018.8715056872388,1000.5613597295848,910.2654655038004,268.55389604671495,1010.6019339141152,165.73778897958468,2.7130242758352097,0.00012357495493287848
4.0,1000.527893,911.0128784,732.8026733,1007.295959,268.425751,1010.57428,493.5,1018.34869,493.47834968893847,1018.8449919009404,1000.5278356796384,910.802035543841,268.4674204484192,1010.5713615761956,165.7888353709652,3.062783482830582,0.00012425787906932955
5.0,1000.5,911.5,732.8630371,1007.663635,268.425751,1010.57428,493.5,1019.0,493.49808283420265,1018.8484353170472,1000.4948209266436,911.3201586758624,268.41533386252587,1010.5514922090432,165.83913473487968,3.017961834869425,0.00010039267493924888
6.0,1000.411743,911.8865356,732.8400269,1007.808899,268.475494,1010.54901,493.5,1019.0,493.53113973311093,1018.8721294653582,1000.4654832749168,911.7954186173996,268.401443970293,1010.5458785574484,165.88547795095738,2.7805929646621053,7.6378881361171e-05
7.0,1000.524719,912.3092651,732.9296265,1007.942505,268.475494,1010.54901,493.5,1019.0,493.5725131868928,1018.9019268811992,1000.4444114231072,912.210108877966,268.4266532152032,1010.5573266441112,165.92757056253902,2.525556694898228,1.3737936542372451e-05
8.0,1000.5,912.5,733.0195923,1008.0448,268.475494,1010.54901,493.735626,1018.93964,493.61599722114113,1018.9271106817982,1000.4373089977548,912.558027598997,268.48987300269715,1010.58691866042,165.96671532911196,2.3486859943767513,2.6524939458585617e-05
9.0,1000.381714,912.7398682,733.0440674,1008.13501,268.3685,1010.63147,493.735626,1018.93964,493.65695975332414,1018.9441910545864,1000.4500488212728,912.8418014362534,268.58695287312105,1010.6329881047144,166.00423489124927,2.2511737282383137,2.7536815423150777e-05
10.0,1000.284973,912.8867798,733.0440674,1008.13501,268.794159,1010.68048,493.643066,1018.87903,493.694726296004,1018.9555517740384,1000.4863620658092,913.066705505467,268.70882444256677,1010.6907629627016,166.04039130807575,2.1693850095891776,1.6489186504438667e-05
11.0,1000.789734,913.3961792,732.9711914,1008.569702,268.870117,1010.75433,493.735626,1018.93964,493.73261855318555,1018.96564091278,1000.54534831719,913.2361249814542,268.84180657215126,1010.7530968203558,166.07414174888885,2.0250264487856384,9.847811402921494e-06
12.0,1000.60321,913.4290771,732.9147949,1008.632263,269.03183,1010.8288,493.774017,1019.0,493.77547114043995,1018.9777126089544,1000.6208334545512,913.3515870111112,268.97109583279683,1010.8121129804088,166.10362546602897,1.769023028407446,1.4158198415412481e-05
