Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Elbow X_smoothed,Elbow Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Shoulder Pink X_smoothed,Shoulder Pink Y_smoothed,angles,velocity,roughness
1.0,318.7041626,1017.56897,746.5,1217.5,475.7391968,1209.319458,475.7378909433389,1209.3205537935723,746.4990288070512,1217.5001583625797,318.70320409941786,1017.5711633667167,131.0463943154981,,
2.0,318.7041626,1017.56897,746.5,1217.5,475.5151367,1210.144775,475.7019362572771,1209.8406211411057,746.5897486058572,1217.5334741568222,318.8280806775216,1017.6764317008688,130.96914798781566,-4.63477966094672,
3.0,319.0789185,1018.111572,746.607666,1217.636475,475.4081726,1210.948975,475.68167918695434,1210.2931841276609,746.6802304512746,1217.5523263137727,318.8925266630866,1017.8131665391076,130.8613879445096,-6.465602598363489,0.0004655434205793567
4.0,319.0579224,1017.734436,746.607666,1217.636475,475.6452637,1210.702271,475.68219642197744,1210.6359840962014,746.7680518753821,1217.5467040553187,318.85142053191606,1018.0053787030532,130.76130065850998,-6.005237159977241,0.0002519445704481909
5.0,318.8945923,1017.753601,747.1913452,1217.470337,475.7825317,1210.285156,475.6956029866602,1210.8616953093738,746.8495047234705,1217.5140438391657,318.6835834072796,1018.2657986865614,130.69426193890945,-4.022323176031932,0.0003638580525673561
6.0,318.3081055,1019.192566,747.1040039,1217.447388,476.0397949,1211.190674,475.7075398652627,1210.9899094164862,746.9239305186479,1217.4595636614206,318.39455022704243,1018.5929523843488,130.67158444711322,-1.3606495077738143,0.001127164491156195
7.0,317.6611633,1019.052368,746.7663574,1217.478638,475.6100464,1211.071167,475.7069094208091,1211.0525758262638,746.9967097224601,1217.3939938104024,318.0093607926706,1018.9748232245072,130.69309059057295,1.2903686075839005,0.0029647818009917474
8.0,317.5117188,1019.3125,746.7759399,1217.223999,475.6160278,1211.009766,475.6912757769742,1211.0832639947596,747.0764566326907,1217.329938988829,317.5596105411529,1019.3963378899634,130.75162669480696,3.512166254040494,0.004126351674191194
9.0,317.096344,1019.583313,747.5263062,1217.19043,475.6682739,1211.070801,475.6657322613407,1211.1108752835978,747.1689276083985,1217.2779225116535,317.0735911670133,1019.8428717726327,130.83715506733148,5.13170235147129,0.0037654431261034027
10.0,317.0418396,1020.234497,747.2235718,1217.26062,475.6682739,1211.070801,475.63888938644976,1211.1550454835144,747.2737874175294,1217.2433235757271,316.5745534009073,1020.298668985288,130.9393440599053,6.131339554428905,0.00253697546078834
11.0,315.6929932,1021.122803,747.1201172,1217.300903,475.5821228,1211.313843,475.6196871836762,1211.2234055274162,747.3851986401868,1217.2257848259817,316.08336327443067,1020.746827986282,131.04904362895633,6.581974143061871,0.0012963977684495268
12.0,315.5310059,1021.267456,747.5263062,1217.19043,475.5286255,1211.131348,475.6156176878911,1211.3117757865634,747.4934383965079,1217.2211660577666,315.61863972607205,1021.173990519016,131.1594523057145,6.624520605490147,0.0004773974230895831
13.0,315.2234192,1021.326111,747.8086548,1217.224731,475.7528992,1211.459351,475.6319911873286,1211.4071634609911,747.5879687554186,1217.2241739675112,315.1937154006691,1021.5746191789832,131.26702965512283,6.454640964499845,0.00010665196716662628
14.0,315.1212158,1021.940552,747.8557129,1217.241333,475.7174683,1211.633301,475.6722670713522,1211.4931391948742,747.6630974262658,1217.230186631707,314.8154094818574,1021.9496062247324,131.3714498795225,6.265213463979649,1.2235414818997198e-05
15.0,314.1357117,1022.407166,747.6280518,1217.275391,475.7174683,1211.633301,475.7384560093176,1211.5565044497898,747.7223336116575,1217.23632180754,314.4861561724578,1022.3011306437868,131.47427212350578,6.169334638997839,1.0836983789088363e-05
16.0,314.2757874,1022.545593,747.5823364,1217.261963,475.7174683,1211.633301,475.8299254877024,1211.5923116399156,747.7763950955618,1217.241987860382,314.20618180930705,1022.6286438318982,131.57698851505697,6.16298349307101,1.1113917995092696e-05
