Frame #,body X,body Y,hand X,hand Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
0,362.3377685546875,1356.2489013671875,413.5234069824219,1863.8154296875,202.5,1189.759033203125,202.49837728847896,1189.7602504389154,362.3376173865432,1356.2478458704138,413.5224001951919,1863.8158167765805,,,333.5507179574958
1,362.5,1356.0,414.6616516113281,1863.7869873046875,202.68557739257812,1189.635986328125,202.95491486603368,1189.499523356527,362.4388550651238,1356.1226671189206,414.3047491053827,1863.99000207175,2.439822029197103,,333.5913816579824
2,362.6029357910156,1356.12744140625,415.2474365234375,1864.71826171875,203.3943328857422,1188.9803466796875,203.423774120713,1189.2378147662191,362.5327667168481,1356.0111634359012,415.01562603377073,1864.1587170535925,3.898217650677225,0.0002954052484378321,333.6563519521604
3,362.5,1356.0,415.7725524902344,1864.047119140625,203.5,1188.8536376953125,203.90691727281836,1188.9728794624775,362.61492073347256,1355.9252563494815,415.6048119338473,1864.3179495231025,4.758680431347102,0.00038168603124500816,333.73566329268283
4,363.0,1355.5,415.7725524902344,1864.047119140625,204.7397918701172,1188.976318359375,204.3876803882908,1188.7026555216191,362.6849918520776,1355.872994063208,416.0456338614994,1864.4649380765072,5.213687690933284,0.0004138018985495066,333.8225580875317
5,362.5,1356.1898193359375,416.1629638671875,1864.8814697265625,204.77853393554688,1188.5548095703125,204.83440299801376,1188.4305738042692,362.7453781696701,1355.85670211072,416.32840330980486,1864.5948366401904,5.318263233871221,0.0003958647805765939,333.91119580809624
6,362.6465759277344,1355.73095703125,416.1629638671875,1864.8814697265625,205.2051239013672,1188.4000244140625,205.2102388139535,1188.171279522076,362.7972019764071,1355.8725857215522,416.449619837994,1864.7004482159712,5.044817794005212,9.053254965384088e-05,333.995276104663
7,362.7301635742187,1355.9166259765625,416.6071472167969,1864.7261962890625,205.66107177734375,1187.6610107421875,205.48319985961257,1187.9502079252218,362.8358771385988,1355.912229389326,416.40729273156495,1864.776582181464,4.35807592164565,4.169991876480738e-05,334.0679107033571
8,363.0,1356.0,416.6071472167969,1864.7261962890625,205.66107177734375,1187.6610107421875,205.633009558724,1187.7947126133658,362.8508493425611,1355.9646029750938,416.2066962528662,1864.8235695929056,3.285837662284621,0.00019904078463933763,334.12267466439516
9,363.0,1356.0,416.6071472167969,1864.7261962890625,205.66107177734375,1187.6610107421875,205.65370893335657,1187.721946149063,362.83173815570103,1356.017760069511,415.87029983562303,1864.846446085941,1.942258452875194,0.0005348259452218582,334.15504563860975
10,363.0,1356.0,414.3398742675781,1865.0718994140625,205.35589599609375,1187.6942138671875,205.5518305202413,1187.7311435071622,362.7769042086215,1356.0605916422328,415.4385664773507,1864.852903407973,0.4876611968427369,0.0009399445151323168,334.1631733252238
11,362.5,1356.1898193359375,414.3398742675781,1865.0718994140625,205.27696228027344,1187.7720947265625,205.34220439736055,1187.803768735454,362.69741173820705,1356.0848947952056,414.95549390446234,1864.853125381531,-0.9370496652638848,0.0012487246876707288,334.14755583080273
