Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.2767609655857086,-0.4504656493663788,-0.4835619330406189,0.4670112729072571,-0.5307784676551819,-0.5284157395362854,0.7252830266952515,-0.552968442440033,-0.4576969742774963,162.0239363248702,0.4670123649478205,-0.5307785078646521,0.2767632129812761,-0.4504657775884953,0.7252872742536834,-0.5529670411790739,162.0234570178684,,
2,0.2789799571037292,-0.4515811502933502,-0.4750631153583526,0.4675523638725281,-0.5306130647659302,-0.5134669542312622,0.7292867302894592,-0.5503456592559814,-0.4339276850223541,161.57259621338017,0.4671740631343279,-0.5305673432455624,0.2782004295188749,-0.4513857021600577,0.7278927159672708,-0.5512592707558053,161.93553286449222,-5.275449202570712,
3,0.2800812423229217,-0.4524441063404083,-0.4691058695316314,0.4677153825759887,-0.5303433537483215,-0.5110415816307068,0.7312877774238586,-0.549554169178009,-0.4228147566318512,161.62216002821083,0.467342618834059,-0.5303704549745536,0.2795704979003209,-0.4522137724487892,0.7302788838044115,-0.549687805083476,161.80261031050006,-7.975353239529568,0.0010124280289981564
4,0.2807159423828125,-0.4531165659427643,-0.4609567821025848,0.4677179753780365,-0.5301737189292908,-0.4995887577533722,0.7327893376350403,-0.5483019351959229,-0.3944271802902221,161.5174765095794,0.4675402339015424,-0.5302001510649774,0.2808296293366227,-0.4528815077558269,0.7322987085889137,-0.5483550329015929,161.65268751823575,-8.99536753585835,0.0010262825638810787
5,0.2816690802574157,-0.4534668624401092,-0.4480166733264923,0.4677694737911224,-0.5300396084785461,-0.4839606285095215,0.7334311008453369,-0.5473182797431946,-0.3733656108379364,161.3561105974727,0.4678086515311143,-0.5300648973278148,0.2819646179725019,-0.4533585061261074,0.7339075580382647,-0.5473125097123845,161.50374563812872,-8.936512806421888,0.0008448699463768686
6,0.2825464308261871,-0.4535428583621979,-0.4351714551448822,0.4678132236003876,-0.5299636721611023,-0.4677868783473968,0.7342099547386169,-0.5465795397758484,-0.354939341545105,161.15337748180252,0.4681950450763373,-0.529967906662649,0.2829783894916701,-0.4536536830760168,0.7351427218231331,-0.546563243817465,161.36798969901494,-8.145356346826702,0.0006404457961341828
7,0.2838682830333709,-0.4536972045898437,-0.4412634670734405,0.4681145846843719,-0.5298888683319092,-0.4749140441417694,0.7360445857048035,-0.5460997819900513,-0.3676662147045135,160.99577988359056,0.4687285847822108,-0.5299070035659821,0.2838719798916773,-0.453804529654898,0.736078741614988,-0.5460737916329149,161.2545202090705,-6.8081693966661305,0.00021957135848760421
8,0.2848279178142547,-0.4537571668624878,-0.4448882937431335,0.4697993695735931,-0.5299046635627747,-0.4801790118217468,0.7372340559959412,-0.5458218455314636,-0.3770652115345001,161.03053845595105,0.4694023193452509,-0.5298758567197454,0.2846383799446496,-0.453860651110731,0.7367927163117939,-0.5457886627306054,161.16975002486157,-5.0862110525361,0.0007622708365473241
9,0.2855061590671539,-0.45379239320755,-0.4459937512874603,0.4699231088161468,-0.529877245426178,-0.4797636270523071,0.7374868988990784,-0.5457189679145813,-0.3755137920379638,160.96880931751036,0.4701713671681193,-0.529866079657664,0.2852704127871642,-0.4538687853885879,0.7373526460496236,-0.5456439904263845,161.11629656855368,-3.2072073784735267,0.0014972224361602432
10,0.2859973609447479,-0.4538589417934418,-0.4496468007564544,0.4712176322937011,-0.5298850536346436,-0.4819172024726867,0.7377853989601135,-0.5456002354621887,-0.3761254549026489,161.0575512652448,0.4709668134224319,-0.5298694369481071,0.2857732694846218,-0.4538636332043233,0.7378171297754111,-0.5455791850470026,161.09189667166945,-1.4639938130540031,0.0020049242520593685
