Frame #,leg pink X,leg pink Y,arm pink X,arm pink Y,back orange X,back orange Y,shoulder orange X,shoulder orange Y,neck green X,neck green Y,back orange X_smoothed,back orange Y_smoothed,neck green X_smoothed,neck green Y_smoothed,leg pink X_smoothed,leg pink Y_smoothed,angles,velocity,roughness
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0.0,474.5,1307.244384765625,404.0,902.5,551.9293823242188,934.440673828125,435.5,763.5,554.5,735.5,551.9313451516743,934.4394585669778,554.501090585729,735.5002271481151,474.5002403808573,1307.2447174576846,169.00663606863128,,
1.0,474.5,1307.244384765625,404.16351318359375,902.710693359375,551.669677734375,934.8138427734376,435.5,763.5,554.5,735.5,551.7636211874806,934.4509817337168,554.496415609271,735.5005625552493,474.4858831241025,1307.3168451147726,169.0351781482707,1.712524778364468,
2.0,474.3238220214844,1307.238037109375,403.8907165527344,902.584716796875,551.5994262695312,934.5175170898438,435.5,763.5,554.5,735.5,551.597163265497,934.432637772304,554.4963190370972,735.5008751426768,474.4728483498879,1307.3796369513752,169.0815266056018,2.7809074398663824,0.00015853354324971028
3.0,474.5,1307.5,403.8907165527344,902.584716796875,551.7410278320312,934.5,435.0,763.5,554.5,735.5,551.4358620919866,934.3690392907642,554.503638022041,735.5009790252939,474.4598879209369,1307.422299447363,169.13890571648318,3.442746652883102,0.00021171946251607773
4.0,474.46875,1307.375,403.7261962890625,902.3928833007812,551.37353515625,934.4166870117188,435.0,763.5,554.5,735.5,551.2893521075259,934.2651318883784,554.5190158065058,735.5006486008926,474.44237141699017,1307.4325107514312,169.20116550433897,3.73558727134764,0.00022368267243801716
5.0,474.46875,1307.375,403.8907165527344,902.584716796875,550.7449340820312,933.7449340820312,435.5,763.5,554.5,735.5,551.1718144745057,934.1411118109704,554.5400920906612,735.4997095690139,474.41387056055606,1307.400640999943,169.26110289836248,3.5962436414104104,0.00019332276803550998
6.0,474.159423828125,1307.710205078125,404.16351318359375,902.710693359375,551.14111328125,933.9639892578124,435.5,763.5,554.5,735.5,551.095698580162,934.020388700972,554.5613809323296,735.4981799307824,474.3687238559433,1307.3258991841335,169.31092127020065,2.9891023102902636,4.6082640739751746e-05
7.0,474.53125,1307.375,404.5,902.5,551.0722045898438,933.79443359375,435.5,763.5,554.5,735.5,551.0653765963069,933.9181804090492,554.5758604061969,735.4964281942165,474.30455027488705,1307.221105251217,169.34416260164463,1.9944798866384872,0.00013811443925206603
8.0,474.3947448730469,1306.7982177734375,404.5,902.5,551.14111328125,933.9639892578124,435.5,763.5,555.0,735.5,551.0762749607601,933.8374520406644,554.5789863163876,735.4952812403052,474.2247916944538,1307.11119747509,169.3576786947949,0.8109655890172007,0.00041649756028051116
