Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
20,0.2473803758621215,-0.5084621906280518,-1.130670189857483,0.2925920784473419,-0.471509724855423,-0.7666249871253967,0.3114448487758636,-0.4882126748561859,-0.3342556357383728,0.2619789838790893,-0.5177390575408936,0.1904160231351852,342.7723964037777,0.2886007564426608,-0.4730386722889637,0.2420882330327861,-0.5047504611273512,0.2552782723846649,-0.5156005937425496,316.71564122652813,1025.1267669992635,2298.514780252658
21,0.2473803758621215,-0.5084621906280518,-1.130670189857483,0.2925920784473419,-0.471509724855423,-0.7666249871253967,0.3114448487758636,-0.4882126748561859,-0.3342556357383728,0.2619789838790893,-0.5177390575408936,0.1904160231351852,342.7723964037777,0.2834755837179509,-0.4794291807736589,0.2369872766658703,-0.507179298305431,0.245086835892959,-0.5183259271844534,328.21238870522467,689.804848721792,732.7165803291864
22,0.2187067717313766,-0.5083703398704529,-1.2046681642532349,0.265956699848175,-0.4947654902935028,-0.7853015661239624,0.2917869389057159,-0.4975818991661072,-0.3512690365314483,0.2124485671520233,-0.5217217206954956,0.1247193664312362,349.3249270774437,0.277397084903563,-0.4856478983127206,0.2309524972263242,-0.5089183350390988,0.2334880341255307,-0.5204540639422266,336.2110786573294,479.9213971262827,227.60676429663982
23,0.2187067717313766,-0.5083703398704529,-1.2046681642532349,0.265956699848175,-0.4947654902935028,-0.7853015661239624,0.2917869389057159,-0.4975818991661072,-0.3512690365314483,0.2124485671520233,-0.5217217206954956,0.1247193664312362,349.3249270774437,0.2717671457863994,-0.4907796962251345,0.2252056367433938,-0.5097161688102032,0.2229386988213186,-0.5218205780009881,341.6013766617938,323.4178802678639,74.54490452643911
24,0.2187067717313766,-0.5083703398704529,-1.2046681642532349,0.265956699848175,-0.4947654902935028,-0.7853015661239624,0.2917869389057159,-0.4975818991661072,-0.3512690365314483,0.2124485671520233,-0.5217217206954956,0.1247193664312362,349.3249270774437,0.2676257202759277,-0.4943714792137425,0.2206990395853283,-0.5096788640977609,0.2151767250839314,-0.5225507693232392,344.88818500114706,197.2085003611971,29.56700109519311
25,0.2187067717313766,-0.5083703398704529,-1.2046681642532349,0.265956699848175,-0.4947654902935028,-0.7853015661239624,0.2917869389057159,-0.4975818991661072,-0.3512690365314483,0.2124485671520233,-0.5217217206954956,0.1247193664312362,349.3249270774437,0.2653719701390768,-0.4964443585362856,0.2178360894761034,-0.5090895739280269,0.2108004654587076,-0.5228918605557169,346.54885034983994,99.6399209215724,15.191600314172398
26,0.2187067717313766,-0.5083703398704529,-1.2046681642532349,0.265956699848175,-0.4947654902935028,-0.7853015661239624,0.2917869389057159,-0.4975818991661072,-0.3512690365314483,0.2124485671520233,-0.5217217206954956,0.1247193664312362,349.3249270774437,0.2647789538679052,-0.4973167103168301,0.2165075519402212,-0.5082841528823513,0.2093720950606066,-0.5230512314023696,347.08423412192053,32.123026324835564,8.913149470974915
27,0.2187067717313766,-0.5083703398704529,-1.2046681642532349,0.265956699848175,-0.4947654902935028,-0.7853015661239624,0.2917869389057159,-0.4975818991661072,-0.3512690365314483,0.2124485671520233,-0.5217217206954956,0.1247193664312362,349.3249270774437,0.2652006658406931,-0.4973432368066788,0.2163300426697924,-0.5075948511770689,0.2098451221860082,-0.5230792860014799,347.01549946394715,-4.124079478402791,4.890122370060844
28,0.2187067717313766,-0.5083703398704529,-1.2046681642532349,0.265956699848175,-0.4947654902935028,-0.7853015661239624,0.2917869389057159,-0.4975818991661072,-0.3512690365314483,0.2124485671520233,-0.5217217206954956,0.1247193664312362,349.3249270774437,0.2658229744366864,-0.4967132347919133,0.2169017407416073,-0.507335963532729,0.2110257283102333,-0.5228280491652979,346.9172386175423,-5.89565078429132,2.0525640560066947
29,0.2187067717313766,-0.5083703398704529,-1.2046681642532349,0.265956699848175,-0.4947654902935028,-0.7853015661239624,0.2917869389057159,-0.4975818991661072,-0.3512690365314483,0.2124485671520233,-0.5217217206954956,0.1247193664312362,349.3249270774437,0.2658807659581318,-0.4953910483531613,0.2179571162009034,-0.5077892922574885,0.2119075902248016,-0.5219997722692032,347.45498967863676,32.265063665668094,0.5075759460327438
