Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.7014267444610596,-0.4670305252075195,-0.3599880635738373,0.6373351812362671,-0.6324431896209717,-0.4048225581645965,0.508285641670227,-0.8088001608848572,-0.8054164052009583,0.773151695728302,-0.7210361957550049,-0.0400818809866905,45.24006506107037,0.7014246116567068,-0.4670322589822161,0.773151230145497,-0.7210374936464955,0.5082856972951515,-0.808799511898556,45.24033210119137,,
2,0.7014461755752563,-0.467088371515274,-0.3695125579833984,0.6401227116584778,-0.6324666142463684,-0.4261444509029388,0.5083369016647339,-0.8075246214866638,-0.7979358434677124,0.7748357057571411,-0.7188495397567749,-0.0504421852529048,45.81531352323316,0.7018203315294946,-0.4671887927666794,0.7746249221957474,-0.7192959414835012,0.508374854027263,-0.8079948935604674,45.419252263170414,10.735209718742595,
3,0.7017641067504883,-0.4673134386539459,-0.3701567947864532,0.641603410243988,-0.6325603723526001,-0.4327788949012756,0.5084820985794067,-0.8068612813949585,-0.7922593355178833,0.7762555480003357,-0.7176066040992737,-0.0545556396245956,46.223869249645986,0.7023140251609543,-0.4673342928223589,0.7759389853052772,-0.7176991101692033,0.5084721750047476,-0.8072907726718692,45.68302495603661,15.82636157197186,0.0035999759989777448
4,0.702437162399292,-0.4674914181232452,-0.3738280832767486,0.642287015914917,-0.6330267786979675,-0.4458268880844116,0.5085932016372681,-0.8065239787101746,-0.7924299240112305,0.7772394418716431,-0.7163345813751221,-0.0590415745973587,46.48981249086728,0.7029578841201238,-0.4674589919676859,0.7769642330774437,-0.7163618440221807,0.5085838611305752,-0.8067553505484135,45.95624503131506,16.39320451670713,0.00269694644677915
5,0.7032789587974548,-0.4676609933376312,-0.3797494769096374,0.6423421502113342,-0.6335613131523132,-0.456626683473587,0.5085490942001343,-0.806550920009613,-0.7928003668785095,0.7777330875396729,-0.7149550318717957,-0.0628348216414451,46.63789801333553,0.703735074409004,-0.4675552826976124,0.7776266466416042,-0.7153481245154842,0.5087105888704521,-0.806408187454341,46.18447221287937,13.693630893858426,0.001825058726628473
6,0.705119252204895,-0.4676381051540375,-0.3792806267738342,0.6426055431365967,-0.6335479021072388,-0.4538477063179016,0.5089226365089417,-0.8062881231307983,-0.7884252667427063,0.7777665853500366,-0.7144359350204468,-0.0673859342932701,46.48812670007908,0.7045659107122367,-0.4676203877297814,0.7779136601353491,-0.7146635147681206,0.5088461151090927,-0.8062247945394763,46.33669207514641,9.133191736022326,0.002773790443725075
7,0.7058775424957275,-0.4676397740840912,-0.3652392029762268,0.642600417137146,-0.6337663531303406,-0.4506985247135162,0.5089673399925232,-0.8062827587127686,-0.761863112449646,0.7777330875396729,-0.7144333124160767,-0.072154514491558,46.409911848061085,0.7053421441001521,-0.4676573763689716,0.7778662098106229,-0.7142613740452012,0.5089780778400465,-0.8061544533876902,46.404578488310435,4.07318478984152,0.007479696753243009
8,0.706321656703949,-0.467639297246933,-0.3551383018493652,0.6425919532775879,-0.6338015794754028,-0.4472110867500305,0.5091398358345032,-0.8062199354171753,-0.7555505633354187,0.7777354121208191,-0.7143571972846985,-0.0724782347679138,46.358925098461384,0.7059715387754919,-0.467673237696282,0.777564272137668,-0.714062438733576,0.5090910749461021,-0.8061402285077397,46.39794229500461,-0.3981715983493927,0.01308474656274956
9,0.7064505815505981,-0.4676412940025329,-0.3653251230716705,0.6425836086273193,-0.6339669823646545,-0.4605633914470672,0.5091844797134399,-0.8061929941177368,-0.7892227172851562,0.7772907018661499,-0.7142387628555298,-0.0743220001459121,46.25613245812781,0.7064098310120535,-0.4676750566403401,0.7771126007195999,-0.7139815801558117,0.5091705438146537,-0.8061342125983606,46.33796657930781,-3.598542941808063,0.01359148886505004
10,0.7065833210945129,-0.4676535725593567,-0.3651370108127594,0.6425918340682983,-0.6342539191246033,-0.4570371210575104,0.5091831684112549,-0.8061739802360535,-0.7935577034950256,0.7766215801239014,-0.7140341997146606,-0.0747289955615997,46.11636865411299,0.7066677867474351,-0.467666359564797,0.7766268447683414,-0.7139502231583503,0.5092057397454546,-0.8061059973063299,46.250383464379496,-5.254986895698863,0.009555630125373133
