Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.248524934053421,-0.5321993827819824,-0.4951801002025604,0.4305599331855774,-0.6351901888847351,-0.4613536596298218,0.6978694200515747,-0.6448051333427429,-0.3973714411258697,0.4305647768795688,-0.6351913345170237,0.2485185238967206,-0.5322017597980805,0.6980832519642304,-0.644799928633447,152.55876280036694,,
2,0.2484944611787796,-0.5325087308883667,-0.470918595790863,0.4295072853565216,-0.6341078877449036,-0.4134212136268616,0.6851705312728882,-0.6448729634284973,-0.240402951836586,0.4310773624767081,-0.6350616704902479,0.2526157491186637,-0.5334876923523527,0.6961424655856623,-0.6448028044864794,152.5183313313614,-2.425888140332404,
3,0.2603964209556579,-0.5350126028060913,-0.4615550637245178,0.4315564930438995,-0.634858250617981,-0.4048669040203094,0.6859517693519592,-0.6449844837188721,-0.2293961346149444,0.4316685434306715,-0.6349998728102477,0.2562920282641678,-0.5346593184061154,0.6943159127536531,-0.6448117244396457,152.4564693620506,-3.711718158647841,0.00022963317166681623
4,0.2595817446708679,-0.5358293652534485,-0.4788486659526825,0.4318079650402069,-0.6348971724510193,-0.4156112670898437,0.6876851916313171,-0.644980251789093,-0.2561473846435547,0.4323676719315781,-0.6350412237689104,0.2591993260833599,-0.5356131805236829,0.6923413330673308,-0.6448379038545642,152.39185473020686,-3.87687791062433,0.00017527814320212172
5,0.2614791691303253,-0.5367449522018433,-0.5037193298339844,0.4325461089611053,-0.6351379752159119,-0.4334941804409027,0.6886735558509827,-0.6449804902076721,-0.2721183001995086,0.4331259550841346,-0.6351790175641018,0.261134601701443,-0.5362751417604767,0.6894255455508732,-0.6448998092755882,152.3434829480156,-2.9023069314752092,0.00013004439550445794
6,0.2618961036205292,-0.536697506904602,-0.4882577955722809,0.434641569852829,-0.6356498003005981,-0.4131458401679992,0.689710795879364,-0.6447914242744446,-0.2409656643867492,0.4338343713041552,-0.6353751613308478,0.2620728614560288,-0.536619900664504,0.684620457325223,-0.6450159274309064,152.327888365293,-0.9356749633559502,0.0003897692374416956
7,0.2617224752902984,-0.5365826487541199,-0.4707243144512176,0.4352501332759857,-0.6358386278152466,-0.3992446362972259,0.6936999559402466,-0.6448307037353516,-0.2044574171304702,0.4343713282092428,-0.6355818842819807,0.2621435197307966,-0.5366773688412732,0.677492253045797,-0.6451912188040958,152.35519754836972,1.6385509846026023,0.0015020598669110085
8,0.2614672482013702,-0.5365581512451172,-0.4597049355506897,0.4352171123027801,-0.6357618570327759,-0.3974520862102508,0.6945127844810486,-0.6449102163314819,-0.2297817319631576,0.4346553712135061,-0.6357624180211968,0.2615739913915644,-0.5365220908099607,0.6687278116447471,-0.6454049476989826,152.42516488513198,4.198040205735651,0.0030508241524607902
9,0.2612503468990326,-0.5363161563873291,-0.4548908770084381,0.4352147579193115,-0.6360082626342773,-0.3833979964256286,0.6600869297981262,-0.6457602977752686,-0.193674623966217,0.434673099398666,-0.6359024696227121,0.2606312895353703,-0.5362519450084522,0.6602093500035142,-0.6456108434526119,152.52342167590913,5.895407446629406,0.003604166177527956
10,0.2584465444087982,-0.5355631113052368,-0.4781272709369659,0.4324604272842407,-0.6359764337539673,-0.3819639980792999,0.6021530032157898,-0.6465690732002258,-0.1783315539360046,0.4344655256472416,-0.6360105676570843,0.2595726075000089,-0.5359635142089583,0.6542356265875974,-0.6457556910462087,152.62099708278487,5.854524412544038,0.0024142371664143476
11,0.2582246363162994,-0.5354886651039124,-0.4709910750389099,0.4338778853416443,-0.6361204385757446,-0.3889968693256378,0.6474643349647522,-0.6461102366447449,-0.2028041034936905,0.4340855295543592,-0.6361103610669471,0.2586041570655602,-0.5357291549114693,0.6521906416032179,-0.6458086824363124,152.68261993054003,3.697370865309608,0.0008617638359117771
12,0.2580896914005279,-0.535508394241333,-0.4706414639949798,0.4342384040355682,-0.6362017393112183,-0.3925916254520416,0.6542971134185791,-0.6456016898155212,-0.215069979429245,0.4335615539787418,-0.6362288657230974,0.2578527784930366,-0.5355813474273745,0.653591495502648,-0.6457825196938733,152.68227265275323,-0.0208366672080728,0.0016181640900536501
13,0.2578936517238617,-0.5355292558670044,-0.4820690453052521,0.4326834380626678,-0.6362022757530212,-0.392750471830368,0.6572540998458862,-0.6457349061965942,-0.1639749407768249,0.4328930612351274,-0.6363835758444133,0.2573587699489222,-0.5355099293507567,0.6562402246956835,-0.6457326070722887,152.61432275302582,-4.07699398364457,0.005108475500961037
14,0.2563296556472778,-0.5355081558227539,-0.4988772273063659,0.4327565133571625,-0.6362058520317078,-0.3944166302680969,0.6750507950782776,-0.6456505656242371,-0.1483947485685348,0.4320705072346292,-0.6365713833651485,0.2570862109349827,-0.5354726694125616,0.6573361951377309,-0.6457375949918037,152.49362033940392,-7.242144817313942,0.008081773397474866
15,0.2565442621707916,-0.5355718731880188,-0.4481918811798095,0.4305571019649505,-0.6363649964332581,-0.3569366037845611,0.6650059819221497,-0.6457966566085815,-0.0981664583086967,0.4310960614765993,-0.6367643248292895,0.2569379944289113,-0.5354137764772328,0.6548682701689961,-0.645873603133743,152.34977838328524,-8.63051736712066,0.007240587310706904
16,0.2571152150630951,-0.5355584621429443,-0.4537661671638489,0.4304155111312866,-0.637938916683197,-0.366184264421463,0.664290726184845,-0.6460238695144653,-0.1282601952552795,0.4299923381052671,-0.6369181125006872,0.256773825646465,-0.5352833441304008,0.6486626898196022,-0.6461907707364672,152.22033570430384,-7.766560738884323,0.0034727391113874655
