Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.2969788312911987,-0.5166613459587097,-0.5255345106124878,0.2758508622646332,-0.6549304723739624,-0.6056714057922363,0.3305287659168243,-0.8243505358695984,-0.5704625248908997,0.3063474893569946,-0.7397642731666565,-0.1927217096090316,0.2969807571210155,-0.5166612657937156,0.3305281079905217,-0.8243450015593873,0.3063477496412263,-0.7397634491287887,3.8183259353814663,,
2,0.2969769537448883,-0.5176286697387695,-0.5401473641395569,0.275068998336792,-0.6548753976821899,-0.6133096218109131,0.3311158418655395,-0.8218475580215454,-0.5773664712905884,0.3206429481506347,-0.7397999167442322,-0.1896585673093795,0.2972609894850952,-0.5173463700397147,0.3321810700847717,-0.8218578413761989,0.3147348999480227,-0.7396275687963945,3.1097888753431957,-42.51222360229623,
3,0.2970093488693237,-0.5181626081466675,-0.5086937546730042,0.2750504314899444,-0.6548205018043518,-0.5447698831558228,0.3339726626873016,-0.8173738718032837,-0.4816233217716217,0.3279479742050171,-0.7393069863319397,-0.182914987206459,0.2974424455564443,-0.5179609071623896,0.3335728031837098,-0.81964545423532,0.3218407267756628,-0.7395216097437778,2.0839679975689487,-61.54925266645482,0.050334510498558166
4,0.2974837124347687,-0.5185251832008362,-0.562371551990509,0.2751339673995971,-0.6548473238945007,-0.6400933265686035,0.33479705452919,-0.8168114423751831,-0.6213498115539551,0.3297586441040039,-0.7392793893814087,-0.1834265738725662,0.2974300401320531,-0.5184523708844665,0.3344745804528346,-0.8178937457686596,0.3268123990931691,-0.7394689918619903,1.042280258313014,-62.501264355356085,0.035318358892264395
5,0.297459065914154,-0.5187041759490967,-0.5660150647163391,0.2749577164649963,-0.6548872590065002,-0.6365288496017456,0.3348581492900848,-0.817137598991394,-0.6122458577156067,0.3278971314430237,-0.7395837903022766,-0.1836421340703964,0.2971505776214246,-0.5187946934054618,0.3347311328484854,-0.8166481344057549,0.3294368608237457,-0.7394788227697653,0.1724524420098762,-52.189668978188266,0.024316210812879147
6,0.2974664270877838,-0.5190390944480896,-0.5423669815063477,0.2749910652637481,-0.6550203561782837,-0.5798998475074768,0.3356395065784454,-0.8171974420547485,-0.518504798412323,0.3285339474678039,-0.739632785320282,-0.1824390292167663,0.2965804258384599,-0.518987040161612,0.3343015547163294,-0.8158321205790984,0.3300718794237241,-0.7395440342604366,-0.4534931183192008,-37.55673361974462,0.03454181345992439
7,0.2965364456176758,-0.5189785361289978,-0.529009997844696,0.2738960683345794,-0.6549829840660095,-0.5631454586982727,0.3339731991291046,-0.8158550262451172,-0.4837449193000793,0.3278190493583679,-0.7395118474960327,-0.1824309527873993,0.2957689753492127,-0.5190466481535716,0.3332805798286864,-0.8153125694430545,0.3293981470134605,-0.7396442276223225,-0.8527673131928023,-23.95645169241609,0.07621991678375246
8,0.294053703546524,-0.5189337730407715,-0.5276445150375366,0.271542489528656,-0.654684841632843,-0.5710076093673706,0.3313557803630829,-0.8145238161087036,-0.5092843174934387,0.3264841735363006,-0.7396729588508606,-0.1819749623537063,0.2948371490560077,-0.5190003936274316,0.3318817209145086,-0.8149612139646835,0.328145794216626,-0.739750166658051,-1.0901049542580283,-14.240258463913564,0.10858070962023816
9,0.2932846546173095,-0.5188356637954712,-0.5265890955924988,0.2701022922992706,-0.6543123126029968,-0.5689274668693542,0.3290059268474579,-0.8143336772918701,-0.508297860622406,0.3260347843170166,-0.7399325966835022,-0.1821130812168121,0.2939425062176657,-0.518877702981473,0.3303770351830969,-0.8146796228515207,0.3268969032329691,-0.7398286798759126,-1.2385218834831504,-8.905015753507325,0.0864433039862393
10,0.2929831743240356,-0.5187572836875916,-0.526361882686615,0.2701635658740997,-0.6540722250938416,-0.5708049535751343,0.3284958899021148,-0.8142354488372803,-0.5124073028564453,0.3260122239589691,-0.7399162650108337,-0.181194320321083,0.2932271655641701,-0.5187061136520584,0.3290152730540291,-0.8143954731883289,0.3259951253135995,-0.7398491436946272,-1.3540719226675866,-6.933002351066171,0.0442202380748512
