Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.6436964273452759,-0.5286551713943481,-0.4372150897979736,0.575652003288269,-0.6759905219078064,-0.3956369757652282,0.4543218910694122,-0.8129902482032776,-0.6475955247879028,0.6816362738609314,-0.7391007542610168,-0.0635162144899368,0.6436963761276538,-0.5286552833515187,0.6816355659681684,-0.7391005845371625,0.4543199934252567,-0.8129899121132574,43.88448562749511,,
2,0.6438395977020264,-0.5284112691879272,-0.3913108706474304,0.57668137550354,-0.6745209097862244,-0.3348951041698456,0.4552108943462372,-0.8111618161201477,-0.5568923354148865,0.6827626824378967,-0.7401687502861023,-0.0694019570946693,0.6437855493586594,-0.5283449310347372,0.6823241513971471,-0.7398097398781102,0.4546722350462006,-0.811824389060162,43.94525325792449,3.6460578257629095,
3,0.6438697576522827,-0.5280153155326843,-0.3829031884670257,0.5772162079811096,-0.6722335815429688,-0.3295907974243164,0.4553113281726837,-0.8102031946182251,-0.557144284248352,0.6831493973731995,-0.7405375242233276,-0.0716776698827743,0.6438697051706062,-0.5280675219822206,0.6829315309527245,-0.7404696654596115,0.4549884776578332,-0.8108029273080624,44.033323111013395,5.284191185334208,0.0003727056810750486
4,0.6439064741134644,-0.527674674987793,-0.3865115046501159,0.577364981174469,-0.6711522340774536,-0.3340762555599212,0.4553702175617218,-0.8097106218338013,-0.5660279393196106,0.6835007667541504,-0.7409199476242065,-0.0729510933160781,0.643944109331456,-0.5278490243994828,0.6834000927247463,-0.7410417086968699,0.4552536607326564,-0.8100227974290827,44.12238144206734,5.3434998632369,0.0002577920321110541
5,0.6439236402511597,-0.5276503562927246,-0.3839839100837707,0.5773974657058716,-0.6709495782852173,-0.3322812914848327,0.4553600251674652,-0.8095068335533142,-0.567643404006958,0.6836902499198914,-0.7414150834083557,-0.0727121531963348,0.6440035745310623,-0.5277023934333483,0.6837070368697526,-0.7415020000027156,0.4554814049400093,-0.8095098988023423,44.1941296830229,4.3048944573334325,0.00018611335350330772
6,0.6440884470939636,-0.5276444554328918,-0.3790856599807739,0.5773958563804626,-0.670141875743866,-0.3302198350429535,0.4554974734783172,-0.8093833327293396,-0.5723065137863159,0.6838036179542542,-0.7419795989990234,-0.0725123807787895,0.6440422005754793,-0.5276251503408237,0.683861944524954,-0.7418408544846536,0.4557034796119776,-0.8092248453559469,44.238714838522206,2.6751093299583317,0.00035509241083893676
7,0.6441035270690918,-0.5276570916175842,-0.3840848803520202,0.5774039030075073,-0.6700928211212158,-0.3359996676445007,0.4556779265403747,-0.8093816041946411,-0.5731920003890991,0.6838380098342896,-0.7421530485153198,-0.0724407956004142,0.6440546445264859,-0.5276022355570485,0.6838958113560225,-0.742061753680796,0.4559509417102689,-0.8090902529860658,44.25397574245687,0.9156542360800302,0.000998578055515864
8,0.6440773606300354,-0.5276736617088318,-0.3853883445262909,0.5774228572845459,-0.6701613664627075,-0.3388926386833191,0.4562020599842071,-0.8092967867851257,-0.5755636692047119,0.6838144659996033,-0.7421604990959167,-0.0724388435482978,0.6440386653702922,-0.5276126543777073,0.6838481222517302,-0.7421805505105117,0.4562387675989715,-0.80902344691419,44.24357459729738,-0.6240687095694852,0.0016417435034588653
9,0.6440263986587524,-0.5276733040809631,-0.38703054189682,0.5774310827255249,-0.6702481508255005,-0.3393747210502624,0.4566768705844879,-0.8090131282806396,-0.596542477607727,0.6836292743682861,-0.7421576380729675,-0.0726400017738342,0.643997086374512,-0.5276364368205504,0.6837560347903424,-0.7422223292822244,0.4565612142559166,-0.808961269856042,44.214480797986695,-1.7456279586411938,0.0016566790167061288
10,0.6439111828804016,-0.52767413854599,-0.3882113099098205,0.577455997467041,-0.6706384420394897,-0.3416482508182525,0.4570058584213257,-0.8087965250015259,-0.6083572506904602,0.6836090683937073,-0.7421539425849915,-0.0726164504885673,0.6439375405289469,-0.5276591836648189,0.6836474866806259,-0.7422153081073438,0.4568976653576355,-0.8088705217988837,44.1744406338287,-2.4024098494795965,0.0011752618182311115
