Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
11,0.1543465107679367,-0.506019651889801,-0.4534326195716858,0.1351512968540191,-0.6693225502967834,-0.4931877553462982,0.1407415568828582,-0.8699732422828674,-0.5291125178337097,0.2896609604358673,-0.7543333172798157,-0.1951685100793838,-30.72822652276445,0.1541961961513577,-0.5060358944651366,0.1404617991648111,-0.8695079628412578,0.2895837460445994,-0.7543623690922467,-30.76888684440079,0.2275830610516749,0.0033986291927117045
12,0.1541292518377304,-0.506330668926239,-0.4716570973396301,0.1351986676454544,-0.6693851351737976,-0.4979643523693084,0.1406577378511428,-0.8699833750724792,-0.5201546549797058,0.2898528575897217,-0.7549367547035217,-0.1932138949632644,-30.753372729270836,0.1540845224383107,-0.5062110086858284,0.1404916673187402,-0.8698841427917393,0.2898100952335802,-0.7547806146786994,-30.77182407713569,-0.1762339640940524,0.0010183812714817228
13,0.1540393382310867,-0.50641930103302,-0.4821689128875732,0.1351456642150879,-0.6694802641868591,-0.5163847804069519,0.140348881483078,-0.8699836730957031,-0.5501661896705627,0.290171205997467,-0.7549639940261841,-0.1928365379571914,-30.86674221982212,0.153880342595251,-0.5064128499877687,0.1404228544464499,-0.8700718179295335,0.2900170352349577,-0.7551720666273456,-30.786918902459263,-0.9056895194143522,0.00015667111959321626
14,0.1538736820220947,-0.5064712166786194,-0.485225647687912,0.135118618607521,-0.6695297360420227,-0.5168642997741699,0.1401682645082473,-0.8699729442596436,-0.5320475101470947,0.2901710867881775,-0.7553395628929138,-0.1925903260707855,-30.86739038950645,0.1536151249972892,-0.5066302843338301,0.14027257290893,-0.8700551729636875,0.290174482875154,-0.7555581489368103,-30.812676395805024,-1.5454496007456695,0.00013987373437508995
15,0.1528930217027664,-0.5068314075469971,-0.4833812117576599,0.135032832622528,-0.6695859432220459,-0.5164791941642761,0.1400717496871948,-0.8699828386306763,-0.5324080586433411,0.2903342843055725,-0.755842924118042,-0.1928345113992691,-30.918409128180265,0.1533407505204945,-0.5068522272296315,0.14008599409575,-0.8698480530637873,0.2902655049517653,-0.7559447560861406,-30.843032674012584,-1.821376692453569,0.00021147943064865314
16,0.1528731286525726,-0.5071253776550293,-0.4899477958679199,0.1350322514772415,-0.6696759462356567,-0.5260725021362305,0.1397749781608581,-0.8695819973945618,-0.5492463111877441,0.2902635633945465,-0.7564047574996948,-0.1928825974464416,-30.93098084606111,0.1531110631098546,-0.507066417895674,0.1399176808883283,-0.8694880031328155,0.290287858631839,-0.7563196430077945,-30.87025113386218,-1.6331075909757686,0.00012683347468534688
17,0.1530212610960006,-0.5073769688606262,-0.4886025190353393,0.1350533813238144,-0.6697425842285156,-0.524878978729248,0.1397886574268341,-0.8690303564071655,-0.5521212220191956,0.2902421057224273,-0.7567421197891235,-0.1930303573608398,-30.918613874016444,0.1529635510320823,-0.507260811831637,0.1398165705931193,-0.8690295063229803,0.2902514664568222,-0.7566586617162292,-30.88737362575281,-1.0273495134379118,4.4122622406394485e-05
18,0.1527732610702514,-0.5074256062507629,-0.4868431985378265,0.1350612640380859,-0.6697978377342224,-0.5239793658256531,0.1397671401500702,-0.8683939576148987,-0.5573495030403137,0.2901103794574737,-0.7571000456809998,-0.1935418993234634,-30.877186464907982,0.152909778809682,-0.5074262245639077,0.1398162345475663,-0.8685345078367731,0.290173763384214,-0.7569372546917652,-30.88970166078701,-0.1396821020519922,0.00012788426010722296
19,0.1530528366565704,-0.507440447807312,-0.4754879474639892,0.1352054327726364,-0.669806718826294,-0.5111441612243652,0.1398137509822845,-0.8679211139678955,-0.5454229712486267,0.290087878704071,-0.7571758031845093,-0.1935888528823852,-30.8578137923848,0.1529371176042836,-0.5075571622839091,0.1399305476087138,-0.8680601729051046,0.2900748415561318,-0.7571408671662015,-30.87524788905889,0.8672263036872607,0.0003467052056072335
20,0.1530710607767105,-0.5076409578323364,-0.4754644334316253,0.1355371922254562,-0.6698068976402283,-0.5107214450836182,0.1402310580015182,-0.8675718903541565,-0.5448355078697205,0.2900041341781616,-0.757279098033905,-0.1937367171049118,-30.78900025096766,0.153017703587239,-0.5076500580499037,0.1401543574178377,-0.867647662563742,0.2899737535254802,-0.7572697382690445,-30.84441796317598,1.849795552974527,0.0005496140185375784
