Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,275.5,1011.5,946.237793,935.3820801,460.6465759,995.269104,693.1410522,986.9128418,460.6498727412349,995.2712798929688,946.2385817217696,935.3843357330408,275.4990032155419,1011.499816761524,177.9784904451664,,
2.0,275.5,1011.5,946.7179565,935.081604,460.8201904,995.5,693.1410522,986.9128418,460.6826585371396,995.3167792527848,946.2586970642568,935.2935127486436,275.449774023031,1011.3031832423264,177.94146405718683,-2.221583278773096,
3.0,275.5,1011.5,946.237793,935.3820801,460.6465759,995.269104,692.8870239,987.6088257,460.72960821984583,995.341465718778,946.2720635663028,935.2041319923416,275.4054110630223,1011.1143173136998,177.88656821614518,-3.2937504624993608,0.00015965867636937638
4.0,275.1966553,1010.77002,945.9850464,935.40448,460.5,995.5,692.9741211,987.3879395,460.7989435266082,995.3338722046376,946.2763484542032,935.1218662505464,275.37162771885477,1010.946908847008,177.8290951788585,-3.448382237201031,0.000124004126852165
5.0,275.5,1010.5,946.2590332,935.0297241,460.8201904,995.5,692.4136963,986.7321167,460.88765940760106,995.2963763619924,946.2728952513356,935.058175670972,275.35450068937723,1010.817112365096,177.7804466822981,-2.918909793623357,8.300000008961801e-05
6.0,275.5,1010.5,946.5510864,934.6801758,461.5,995.0,693.4244995,986.9811401,460.98161043015097,995.245142758496,946.2642876351138,935.0274996663492,275.3587455798635,1010.7339611698192,177.74678817485037,-2.0195104468643876,0.0001125099281789281
7.0,275.0921936,1011.0,946.2590332,935.0297241,460.6465759,995.269104,693.4244995,986.9811401,461.06114959362213,995.2042020664752,946.2543464009289,935.0391212202512,275.38486396336344,1010.692634362907,177.727927990012,-1.1316110903015897,0.00026311272376539524
8.0,275.0984802,1010.765137,946.0487671,935.1239624,461.0,995.0922241,693.4244995,986.9811401,461.1079600021539,995.1960921951818,946.2484355407267,935.0898621434663,275.42518525246084,1010.6772101719038,177.7180828928276,-0.5907058310646107,0.00039447325804345076
9.0,275.4069824,1010.701538,946.1118164,934.9407959,461.5,995.1577148,692.8994751,986.7063599,461.11070752177574,995.233263465584,946.2508510893908,935.1634366782102,275.46267804900236,1010.6692334695088,177.70868764444603,-0.5637149028939348,0.0002852199188492201
10.0,276.5,1010.5,946.5,935.7333374,461.5,995.1577148,694.2346802,987.1088257,461.07078029178905,995.3131997593048,946.2617036426795,935.2364101389712,275.4782919218442,1010.6540275682404,177.6919168016905,-1.0062505653320386,9.688788527994464e-05
11.0,275.2846375,1010.67041,946.2590332,935.0297241,460.5773926,995.5803833,694.2346802,987.1088257,461.0049073977783,995.4185704118084,946.2772015186828,935.2867302346302,275.46396562990316,1010.621996963252,177.6634272373661,-1.7093738594633123,6.10026163330829e-05
12.0,274.9156189,1010.603394,946.2438354,935.4971313,460.6949768,995.4434204,693.2164307,987.3955078,460.93856770050513,995.5225185486374,946.2923388870528,935.3001829701147,275.42844872982715,1010.568058426624,177.62352763612893,-2.3939760742308636,0.00017255111838743292
13.0,275.5,1010.5,946.2590332,935.0297241,460.5773926,995.5803833,695.3030396,989.3030396,460.8933137776557,995.5973212631652,946.302548398987,935.272285199794,275.38936838371995,1010.4920309484698,177.57668008385883,-2.810853136205651,0.0002422268975023952
14.0,275.2673645,1010.5,946.2438354,935.4971313,461.3895569,996.3253174,693.8123169,987.3657227,460.8798897256468,995.6233313615206,946.3040260954424,935.2068811395576,275.36064095494686,1010.399475198257,177.52970255527117,-2.818651715259648,0.0001698358843819147
15.0,275.3799133,1010.444458,946.5724487,934.9855347,461.0,995.1782837,694.260437,987.038208,460.9030024442052,995.5939431733534,946.2948660325906,935.1137767833004,275.34663638808956,1010.3008770387772,177.48950935793766,-2.411591840010487,5.67383136905809e-05
