Frame #,Elbow Pink X,Elbow Pink Y,Hand Pink X,Hand Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,722.5,971.2409668,968.1245117,872.5230103,264.882019,998.659302,495.5,1007.5,495.4989144998426,1007.5047957553838,968.1249380651606,872.5237302838623,264.8819969322397,998.6593011560054,161.86421378344403,,
2.0,722.5529175,971.7843018,968.3515625,873.1275024,264.918854,998.578247,495.661072,1007.66107,495.5541797868459,1007.6567093859836,968.8871055411424,873.282084919227,264.8580537988956,998.660631847056,161.885781202599,1.2940451492977445,
3.0,722.7345581,972.3193359,969.7281494,873.5791626,264.794159,998.680481,495.661072,1007.66107,495.59837863616787,1007.8228302238336,969.6994190049568,874.1397820424492,264.8353349323902,998.6674485987184,161.92389676045732,2.2869334714999923,0.00013692044727299925
4.0,722.7345581,972.3193359,970.5,875.0883179,264.794159,998.680481,495.643066,1008.12097,495.62544913944663,1008.0121143159736,970.591912155764,875.1636476903427,264.81393123957815,998.6833818453528,161.9780122459576,3.246929130015701,0.0002648692003184915
5.0,723.8345337,973.3601074,971.5,876.5,264.701263,998.760986,495.643066,1008.12097,495.6362098879748,1008.2265208794896,971.5667710268198,876.38009776312,264.7916348612005,998.7094564172746,162.04878196126307,4.246182918329282,0.00044614487644865377
6.0,724.3311768,973.6236572,972.5992432,877.9198608,264.794159,998.680481,495.590149,1008.40985,495.63668302599615,1008.4616691877844,972.5995352143702,877.7783056530545,264.7636720672948,998.744152926499,162.13621057114457,5.2457165928899485,0.0006755247542837506
7.0,724.2654419,974.6806641,973.7281494,879.5791626,264.79129,998.726746,495.643066,1008.87903,495.6343374823561,1008.7097933408406,973.6468213660504,879.3227124167511,264.72450018860604,998.7834958356692,162.23883224922142,6.157300684610618,0.000658899114770366
8.0,724.4769897,974.8754883,974.5,880.5,264.770477,998.877197,495.5,1009.0,495.6342091466072,1008.9640741267708,974.657283652008,880.9644221605703,264.6711729715435,998.8214438572202,162.35331273281204,6.868829015437541,0.0005844936682353643
9.0,724.800415,975.7600708,975.9944458,882.666687,264.569336,998.911499,495.666656,1009.19421,495.6365550405206,1009.222267497463,975.5835662312873,882.647070735174,264.60593471263235,998.8514117352304,162.47425456607618,7.256509995848432,0.00041618583565889653
10.0,725.2409668,976.5,976.3585815,884.3585815,264.475342,998.79071,495.661072,1009.66107,495.63718245647686,1009.4872414887964,976.3928420568598,884.3114060245892,264.5359427617028,998.8685743303588,162.5945447013595,7.21740811699874,0.000201500436130045
11.0,725.8345337,977.6398926,977.1084595,886.1606445,264.5,999.0,495.661072,1009.66107,495.63036683368733,1009.7635592558554,977.0726459627522,885.9041497594174,264.47040429774154,998.8715872519614,162.706655655621,6.726657255690611,5.524519974530338e-05
12.0,725.2666626,978.5,977.5,887.5,264.366821,998.814331,495.672363,1009.73218,495.612714572458,1010.0509850745492,977.6297450868586,887.3898445464145,264.41723424362226,998.8629098316542,162.804873251964,5.893055780580312,8.437593564198959e-05
13.0,725.1865845,979.6205444,978.1245117,888.8237305,264.366821,998.814331,495.643066,1010.12097,495.5858392034019,1010.3382573977012,978.0838142318348,888.7588403303918,264.38085568507034,998.847688845744,162.8876843472154,4.968665715084057,0.0002648197543291675
14.0,724.8917236,980.3917236,978.3917236,890.1082764,264.366821,998.814331,495.5,1011.0,495.55644830628296,1010.6030554917708,978.4602406664168,890.0263211522661,264.3614975710275,998.8316180013836,162.9588851498947,4.272048160758004,0.0004097875469392856
15.0,725.1674805,980.7495728,978.9192505,891.4072266,264.366821,998.814331,495.5,1011.0,495.5337087960468,1010.8209053569376,978.7847156924172,891.2219142826048,264.3558245455516,998.8188693318244,163.02626241611364,4.042635973135589,0.00035161326309133905
16.0,725.1674805,980.7495728,978.9192505,891.4072266,264.366821,998.814331,495.5,1011.0,495.5252317655672,1010.9770476223616,979.0793938910108,892.3723424267438,264.35846780097523,998.8111855181588,163.09821412347225,4.317102441516454,0.00015676636901584362
17.0,725.1865845,981.6205444,979.5,893.5,264.366821,998.814331,495.5,1011.0,495.53373123584765,1011.0719320310822,979.359411002282,893.483445904584,264.36374277659746,998.808210365792,163.1801332860135,4.9151497524752585,4.767663859091894e-05
18.0,726.0396729,982.0396729,979.3678589,894.6280518,264.366821,998.814331,495.5,1011.0,495.55574738415487,1011.1176414341024,979.6294522020872,894.5326147543686,264.36700356636095,998.8084181830365,163.27246258421675,5.539757892195212,0.00010272216533124985
19.0,725.6391602,982.0343628,979.8225708,895.6021729,264.366821,998.814331,495.643066,1011.12097,495.58280775271504,1011.1301788227792,979.8815852918864,895.4788966010983,264.3655310286517,998.8100557307168,163.37114276609617,5.920810912764978,0.00017467564141336814
20.0,725.6391602,982.0343628,980.2653198,896.7479248,264.366821,998.814331,495.643066,1011.12097,495.6046453343864,1011.1234548930424,980.0965779311553,896.2852453710179,264.3591021529568,998.8117994715476,163.46980260062193,5.919590071545713,0.0001346147199149084
21.0,726.1762695,982.1245117,980.2504272,897.1674805,264.366821,998.814331,495.643066,1011.12097,495.6131717580128,1011.1071047153264,980.2497114208252,896.9391164790608,264.35034082339945,998.8130539389616,163.56238272068902,5.554807204024996,4.6892761442507175e-05
22.0,725.8112793,982.2927856,980.3143921,897.3048706,264.366821,998.814331,495.643066,1011.12097,495.60535060600546,1011.0869843197448,980.318818168138,897.4598989884635,264.34473130399095,998.81394406574,163.64504413692833,4.9596849743591065,4.2952264441307744e-05
23.0,726.0,982.5,980.2504272,897.8325195,264.366821,998.814331,495.5,1011.0,495.5838410090748,1011.0663969539308,980.2911376305394,897.8897213668154,264.3499582981018,998.8150991630558,163.7167762413418,4.303926264807387,0.0001345248081872389
24.0,726.0,982.5,980.3570557,897.7377319,264.366821,998.814331,495.643066,1011.12097,495.55572323313345,1011.04702224339,980.1680446905204,898.2735046085791,264.374213802855,998.8173271423254,163.77876565523673,3.7193648336960905,0.00022366240083451696
25.0,726.0,982.5,980.164856,898.5143433,264.366821,998.814331,495.5,1011.0,495.530365788911,1011.029513773124,979.967900037712,898.6401617174525,264.42345843448385,998.821277071897,163.83310894680346,3.260597494004287,0.0002367659270246438
26.0,726.0,982.5,979.6082764,899.3126221,264.366821,998.814331,495.5,1011.0,495.517036488877,1011.01388392335,979.7251440536965,898.9956947455915,264.49845583454015,998.8272180726872,163.8816691939104,2.913614826416051,0.0001859031285686939
