Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Elbow (X)_smoothed_smoothed,Right_Elbow (Y)_smoothed_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,angles,velocity,roughness
11,0.3018023669719696,-0.5343255400657654,-0.4615951478481293,0.4861502051353454,-0.6287094950675964,-0.4393295645713806,0.7315521836280823,-0.6465943455696106,-0.3134927451610565,0.4847861311301857,-0.6287672847045759,0.3019169807264396,-0.5341857301339048,0.7305448556967123,-0.6465801927094007,0.4835323782146954,-0.6286737662478443,0.3018708546857969,-0.5343513312505589,0.7295608653815296,-0.6465525708666302,156.67875069001005,1.5332456835125186,0.0037911215579424238
12,0.3018094301223755,-0.5338602066040039,-0.4592972695827484,0.48646280169487,-0.6287654042243958,-0.4334023892879486,0.7317007780075073,-0.6465051174163818,-0.3062950670719147,0.4854877165641414,-0.6289657449035521,0.3018471787107805,-0.5339616046983635,0.731167309866115,-0.6465309135511295,0.4843195187435597,-0.6287978044748509,0.3018790882427434,-0.5341918223213157,0.7301881987344324,-0.6465504135208713,156.6954218314706,1.0002684876337753,0.0016430105186693547
13,0.3017943501472473,-0.5335632562637329,-0.4586521685123443,0.4864150583744049,-0.6293546557426453,-0.4218494892120361,0.731330156326294,-0.6465007662773132,-0.2772826254367828,0.4856930573859344,-0.6292179541742675,0.3016243083658266,-0.5336497817630386,0.7314388104175665,-0.6464893477260167,0.484875622882415,-0.6289716683585658,0.3017918778552552,-0.5339725515930945,0.7306840724860317,-0.6465300665921764,156.68194049092318,-0.80888043284574,0.0004509587693071635
14,0.3017818033695221,-0.5333626866340637,-0.4446363747119903,0.4859802722930908,-0.6297042369842529,-0.4036477506160736,0.7313246130943298,-0.6464641094207764,-0.2531595826148987,0.4853900474819451,-0.6294853826115663,0.301177423150303,-0.5332548547626893,0.7314434513456375,-0.6464562338574537,0.4850870360351034,-0.6291804680879051,0.3015548462698634,-0.5336843731644786,0.7309906659423546,-0.6465020930581651,156.62527783920427,-3.3997591031345564,0.0010933375613932752
15,0.3012727200984955,-0.5329233407974243,-0.4396603405475616,0.484314352273941,-0.6299358606338501,-0.4024077355861664,0.7312890291213989,-0.6464536786079407,-0.2571888864040375,0.4847167256111414,-0.6297334475086135,0.3004903554958212,-0.5327917847481183,0.7313476017511682,-0.6464286205666937,0.4849423240782319,-0.6294026422021448,0.3011319832265967,-0.533327299596914,0.7311393736166502,-0.6464724324113846,156.52344268343165,-6.110109346357149,0.0028316311951474852
16,0.2995085120201111,-0.5322281122207642,-0.4370611608028412,0.4831159114837646,-0.629943311214447,-0.4031267464160919,0.7309072017669678,-0.6464211344718933,-0.2569237947463989,0.4838996117342492,-0.6299403765223972,0.2996160646128165,-0.5322848505036429,0.7313346347680217,-0.6464021076986026,0.4845264291954816,-0.629617158619574,0.3005245157013054,-0.5329108710483021,0.7312233439658051,-0.6464431139323241,156.38472446066336,-8.323093366097396,0.003998297292708242
17,0.2981639206409454,-0.5318238735198975,-0.4369119703769684,0.4826630055904388,-0.6299470663070679,-0.4040790200233459,0.7309322357177734,-0.6463295221328735,-0.2661459743976593,0.4831701523224868,-0.6300965726356937,0.2986616974610539,-0.5317641478722536,0.7315441909006506,-0.6463723399132548,0.4839835458883332,-0.6298076676230402,0.299776415584469,-0.5324528911232926,0.7313557786506588,-0.6464134673338424,156.2243006825883,-9.625426684503395,0.0035875770272598222
18,0.2970049977302551,-0.5309601426124573,-0.4398030638694763,0.4819948673248291,-0.6299450993537903,-0.4112566709518432,0.7311976552009583,-0.6463096141815186,-0.2696492373943329,0.482692206078404,-0.6301959223057222,0.297749703409455,-0.5312587511866695,0.7320278982704943,-0.6463357184951307,0.483465895338497,-0.6299617138701776,0.2989626153262241,-0.531975821124994,0.7316265465802607,-0.6463813450832032,156.0600305897326,-9.856205571342116,0.0020474668294915626
19,0.2968835234642029,-0.5306722521781921,-0.4394163489341736,0.4822249114513397,-0.6300917863845825,-0.4113984107971191,0.7325839996337891,-0.646304190158844,-0.2698930203914642,0.4825242849204121,-0.6302263238915518,0.296977358009625,-0.5307894203795692,0.7327339916409544,-0.6462900775113499,0.4830880609859013,-0.6300666738247374,0.2981662398273344,-0.5315016063255138,0.7320696900717659,-0.6463442890500958,155.90900046167593,-9.061807683400502,0.0006332598817405348
20,0.2968656420707702,-0.5306033492088318,-0.4388641119003296,0.48322194814682,-0.6303178071975708,-0.4116739630699157,0.7340741753578186,-0.6462783813476562,-0.2719083726406097,0.4826234259989021,-0.6301671957963251,0.296396919901801,-0.5303656663162649,0.733529502411713,-0.6462361570427857,0.4829013271050115,-0.6301064625018626,0.297457370584253,-0.5310473425070271,0.73265277389398,-0.6463009079757933,155.78542927428913,-7.414271243208077,0.000277594206213533
21,0.2963210344314575,-0.5302062630653381,-0.4327985942363739,0.4832839369773865,-0.6301834583282471,-0.4085752367973327,0.7351201772689819,-0.6462221741676331,-0.2686015963554382,0.4828810164173293,-0.6299963583808633,0.2960199304844256,-0.5299891695710011,0.7342536571688028,-0.6461796854735841,0.4828927521230389,-0.630062378041875,0.2968822078020821,-0.5306240250317534,0.7332919849761386,-0.6462525582493855,155.69973010325532,-5.141950262028558,0.0010753209728514472
22,0.2955935299396515,-0.5294500589370728,-0.4314463436603546,0.4832285642623901,-0.6298339366912842,-0.4075227081775665,0.73539137840271,-0.646195650100708,-0.2623707354068756,0.4831689952863752,-0.629701425970964,0.2958303867546749,-0.5296593906464523,0.7347778301773223,-0.6461327510646305,0.4830031659938379,-0.6299181729904175,0.2964618688016893,-0.5302380496322957,0.7338853536455078,-0.6462048795796345,155.65826078532902,-2.4881590755779825,0.0025121051317785682
23,0.2950094938278198,-0.529186487197876,-0.4279942810535431,0.4826101660728454,-0.6289988160133362,-0.4057507514953613,0.734578013420105,-0.6461886167526245,-0.2622660398483276,0.4833761435847663,-0.6292880782980941,0.2957916611077372,-0.5293755612762817,0.7350428279027532,-0.6461128823173564,0.4831524987294354,-0.629666378313573,0.2961943746709983,-0.5298929285179788,0.7343477543977723,-0.6461683100702881,155.66342951744784,0.3101239271290978,0.003928055965596235
24,0.2958830296993255,-0.5292053818702698,-0.411610335111618,0.4839910566806793,-0.6289277672767639,-0.3951871991157532,0.7346835136413574,-0.6461091637611389,-0.2637441158294678,0.4834309594274468,-0.6287820474067947,0.2958492638184742,-0.5291354975781344,0.7350611003445365,-0.6461387041429081,0.4832641057285229,-0.6293128541636909,0.2960568543350457,-0.5295898652411254,0.7346328853008011,-0.6461566213043419,155.71400939672057,3.034792756363913,0.00482865687345343
25,0.2970762550830841,-0.5292381644248962,-0.4037540853023529,0.4848728775978088,-0.6287535429000854,-0.3871097564697265,0.7352145910263062,-0.6459106206893921,-0.2619060575962066,0.4833198844571659,-0.628227236203101,0.2959428996455776,-0.5289364563837136,0.7348960453235454,-0.646222287721762,0.4832866184125643,-0.6288787346395248,0.2960116063504922,-0.5293284566587962,0.7347382112553824,-0.6461829547754714,155.8055430092583,5.492016752262998,0.004986645495359447
26,0.2965691387653351,-0.5288530588150024,-0.4077416062355041,0.483481228351593,-0.6276598572731018,-0.3877043724060058,0.735083818435669,-0.6461454033851624,-0.2628636658191681,0.4830976547307283,-0.6276805439887712,0.2960292019237077,-0.5287788726727911,0.7346385552758057,-0.646361233973472,0.4832111629942303,-0.6283995043969357,0.2960187761628056,-0.5291086163471798,0.7346985395482128,-0.646254266296183,155.93074536790755,7.512141518955673,0.0044212916608270016
27,0.2958441972732544,-0.5285376906394958,-0.4071895778179168,0.4820344746112823,-0.6269139051437378,-0.3893559575080871,0.734372615814209,-0.6466705799102783,-0.2705192267894745,0.4828679576757372,-0.6271984039628362,0.296095274892771,-0.528667315596017,0.7343865531689927,-0.6465364883777925,0.4830739337081447,-0.6279190521038024,0.2960493579935427,-0.5289321122249955,0.7345739496439494,-0.6463671184207938,156.08013632053166,8.96345715744701,0.0033402340249852024
28,0.2950876653194427,-0.5283322930335999,-0.3965097963809967,0.4805215299129486,-0.6259258985519409,-0.3803339600563049,0.7331211566925049,-0.6470205187797546,-0.2623507976531982,0.4827247003950874,-0.6268136675158287,0.2961442550281004,-0.5286046181797078,0.7342197882262436,-0.6467199121236884,0.4829342354889627,-0.6274768580009035,0.2960872229159206,-0.5288011385034379,0.7344324369298603,-0.6465081900851168,156.24346620428292,9.799793025075587,0.0020795382650008847
29,0.2954017519950866,-0.528428316116333,-0.3987005352973938,0.4819704294204712,-0.6263591647148132,-0.3795822262763977,0.7334182858467102,-0.6470473408699036,-0.2600269317626953,0.4826848938827771,-0.6265144694287968,0.2961616291387677,-0.5285830576869377,0.734170631052639,-0.6468878762388593,0.4828344638901998,-0.6270918588309543,0.2961168776315219,-0.5287139272308123,0.734327792792301,-0.6466600272846814,156.41216390937728,10.12186230566158,0.0010058278708002383
30,0.2960859835147857,-0.5286377668380737,-0.4007484912872314,0.4832173585891723,-0.6263875961303711,-0.3813169002532959,0.7345880270004272,-0.6470461487770081,-0.2659994065761566,0.482666040265904,-0.6262428616051693,0.2960939130038743,-0.5285808969429718,0.7342097906615253,-0.6470312956090528,0.4827670533980316,-0.6267522272169177,0.2961076082471956,-0.5286607284030077,0.7342806068770893,-0.6468085130212607,156.58204068215323,10.192606366557015,0.0003493111735252245
31,0.2966165840625763,-0.5287365913391113,-0.4005419909954071,0.483275294303894,-0.6263408064842224,-0.378880500793457,0.7347562909126282,-0.6470579504966736,-0.2660671472549438,0.4825333890456171,-0.6259201115859037,0.2958640636542551,-0.5285688759014662,0.7342646438256165,-0.6471553075737729,0.4826735554093795,-0.6264193639136141,0.2960101447651145,-0.5286239925287214,0.73427419765263,-0.6469472241744469,156.75472589420568,10.361112723146562,8.568555072630278e-05
32,0.2967192828655243,-0.5288164615631104,-0.4002156853675842,0.4836712777614593,-0.626270055770874,-0.3790236413478851,0.7348496317863464,-0.6470571756362915,-0.2753515243530273,0.4821916166765792,-0.6254869118532538,0.2954178562012411,-0.5285234466319231,0.7342633984008897,-0.6472698747550388,0.4824807619878756,-0.6260463796251978,0.2957732178460589,-0.5285837733293296,0.7342698397831158,-0.6470762878524081,156.93663860291431,10.914762522518233,4.6717166262095095e-05
