Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.798673269606565e-06,-8.113362124295653e-06,1.0590861044011726e-05,4.414455514403218e-07,1.7867998245122648e-05,-8.879344355075706e-07,42.86754171737056,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521657923245572,-0.1168578159140967,0.0545811153215267,-0.1121648769504443,0.0731229584925034,-0.1249961226690786,59.316169082279345,986.9176418945272,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1025622866207638,-0.2304389511639897,0.1070374195253138,-0.2221163898348964,0.1435068300380006,-0.2465766857228178,68.88721959667086,574.2630308634909,23.65053166738554
4,0.247966006398201,-0.4960074126720428,-1.0164581537246704,0.2225226908922195,-0.5169039964675903,-0.7036868929862976,0.2955284118652344,-0.5432327389717102,-0.4394125640392303,0.3782278001308441,-0.5595333576202393,-0.1013528406620025,0.1479146379881241,-0.3342372707604667,0.1540065784167225,-0.3242556318842022,0.2071985355779588,-0.3579195768589934,73.48394689228286,275.8036377367199,35.41874834537622
5,0.2418147325515747,-0.4960936903953552,-0.9857007265090942,0.220454916357994,-0.515832781791687,-0.6876893639564514,0.273460179567337,-0.5430615544319153,-0.3465159833431244,0.3212800323963165,-0.553621232509613,0.1253103166818618,0.1838616224882319,-0.4195615169560108,0.1915331782772206,-0.4104081476348297,0.2600090560458068,-0.4499606286624783,72.80867469525869,-40.51633182145025,53.2101278363545
6,0.2133979201316833,-0.4867199957370758,-0.9571995735168456,0.2229331880807876,-0.490123838186264,-0.6932762861251831,0.2599565982818603,-0.4976484179496765,-0.5653144717216492,0.2502890825271606,-0.520263671875,-0.4029015004634857,0.2070962158838126,-0.4800468413797177,0.2171676251368044,-0.4740557658094815,0.2997563788621686,-0.5161285368834373,64.49422681164484,-498.8668730168311,89.8338966212271
7,0.2133979201316833,-0.4867199957370758,-0.9571995735168456,0.2229331880807876,-0.490123838186264,-0.6932762861251831,0.2599565982818603,-0.4976484179496765,-0.5653144717216492,0.2502890825271606,-0.520263671875,-0.4029015004634857,0.217154641637159,-0.5150106848342058,0.2312780188670387,-0.5136691646631817,0.326872761885378,-0.5557517440713144,49.015422481792434,-928.728259791144,100.17331332625804
8,0.2289134114980697,-0.5235565304756165,-0.7564617395401001,0.1966945976018905,-0.5114446878433228,-0.4672605693340301,0.2653753757476806,-0.5386008024215698,-0.2757501006126404,0.37272909283638,-0.5610836744308472,-0.1063842177391052,0.2165158892236846,-0.5291020024953664,0.2365419921880988,-0.5326701138886647,0.3430294393714309,-0.5735474719148399,33.11098710210189,-954.2661227814328,81.8181559767871
9,0.2289134114980697,-0.5235565304756165,-0.7564617395401001,0.1966945976018905,-0.5114446878433228,-0.4672605693340301,0.2653753757476806,-0.5386008024215698,-0.2757501006126404,0.37272909283638,-0.5610836744308472,-0.1063842177391052,0.2093294179964734,-0.5295809173222531,0.2364807273676527,-0.5371881450031274,0.3499206040892513,-0.5767833930078005,21.0295309223735,-724.8873707837033,39.44972921296385
10,0.2289134114980697,-0.5235565304756165,-0.7564617395401001,0.1966945976018905,-0.5114446878433228,-0.4672605693340301,0.2653753757476806,-0.5386008024215698,-0.2757501006126404,0.37272909283638,-0.5610836744308472,-0.1063842177391052,0.1998239403487961,-0.5235655273153377,0.2342090421111754,-0.5336898840347495,0.3493762421155925,-0.572576744467166,13.313092071895602,-462.9863310286739,14.808658363779472
11,0.2315737009048462,-0.5207741260528564,-0.7715350389480591,0.1843161433935165,-0.5120325088500977,-0.4999245107173919,0.2385179549455642,-0.5485745668411255,-0.4992558658123016,0.3231321573257446,-0.5619362592697144,-0.5641301274299622,0.191178983439715,-0.5163598546463747,0.2318192779130797,-0.5274282516613464,0.3438618347672507,-0.5663253655655919,9.14212975891277,-250.25773877896992,25.668864293445218
12,0.2315737009048462,-0.5207741260528564,-0.7715350389480591,0.1843161433935165,-0.5120325088500977,-0.4999245107173919,0.2385179549455642,-0.5485745668411255,-0.4992558658123016,0.3231321573257446,-0.5619362592697144,-0.5641301274299622,0.1850888029272987,-0.5109272869309248,0.2303022952793227,-0.5217756909653597,0.3362656120204859,-0.5612068565656079,7.446942273351082,-101.71124913370124,33.28473864055657
