Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
18,0.5678404569625854,-0.6788184642791748,0.0799042880535125,0.4754652678966522,-0.6776110529899597,-0.0354961641132831,0.5715777277946472,-0.5660526752471924,0.0144230937585234,0.4774606823921203,-0.5675353407859802,-0.0149906035512685,0.5150882005691528,-0.3895170092582702,0.2215334922075271,0.4774723778603704,-0.5675535277518925,0.4754639521323574,-0.6776174824175561,0.5150107596350788,-0.3894958686775199,190.8876701341225,-1.1289842260731575,0.0014305144396515922
19,0.5678326487541199,-0.6788710951805115,0.0811365395784378,0.4754590094089508,-0.6776326298713684,-0.0355668812990188,0.5715197920799255,-0.5659665465354919,0.014386897906661,0.4774645268917084,-0.5675114989280701,-0.0149555439129471,0.5152201056480408,-0.3895252645015716,0.2212420850992202,0.4774682013078392,-0.5675168447679697,0.4754536042168854,-0.6776231886551551,0.5150797858620542,-0.3895147815391468,190.8857249857468,-0.1167089025409495,0.001433394242642618
20,0.5678154826164246,-0.6789385676383972,0.0798081457614898,0.4754546582698822,-0.6776262521743774,-0.0354548767209053,0.5714399814605713,-0.565937876701355,0.0126989437267184,0.4774663746356964,-0.5674794316291809,-0.0132808415219187,0.5152834057807922,-0.3895328938961029,0.2267634123563766,0.4774652326278147,-0.5674906300905876,0.4754469992711683,-0.6776305724821946,0.515123421931659,-0.3895306299166809,190.89077004514957,0.3027035641656539,0.0009764632889132298
21,0.5678108334541321,-0.6790308356285095,0.0800115466117858,0.4754455685615539,-0.6776383519172668,-0.0344423800706863,0.5714007616043091,-0.5659316182136536,0.0119840530678629,0.4774659872055053,-0.5674753785133362,-0.0125697087496519,0.5152345299720764,-0.3895414173603058,0.253520131111145,0.4774629279186899,-0.5674746838213467,0.4754425837035702,-0.6776389245564385,0.5151194427726143,-0.3895414412872063,190.89394230435352,0.190335552237002,0.0004125647212311446
22,0.567794680595398,-0.6790925860404968,0.0802445635199546,0.4754416048526764,-0.6776474118232727,-0.0312553867697715,0.5713564157485962,-0.5659291744232178,0.0109473532065749,0.4774680733680725,-0.5674717426300049,-0.0115397265180945,0.5150458216667175,-0.3895154297351837,0.2568892240524292,0.4774596109183113,-0.5674678058138619,0.4754392173828501,-0.6776471962651563,0.5150646748502271,-0.3895457948897621,190.88984255835143,-0.2459847601249976,8.869000302423372e-05
23,0.5677862763404846,-0.6791723370552063,0.0803368017077446,0.4754355549812317,-0.6776620149612427,-0.0290257073938846,0.5713333487510681,-0.5659230351448059,0.0101206013932824,0.4774564504623413,-0.5674800276756287,-0.0107166590169072,0.5148771405220032,-0.3895463645458221,0.259312242269516,0.4774533183772121,-0.5674683645164239,0.4754362963698287,-0.6776544224651563,0.5149725137466081,-0.3895416630404242,190.877398310836,-0.746654850925097,4.746614945466131e-05
24,0.5677626729011536,-0.6791751980781555,0.0817639678716659,0.4754316508769989,-0.6776652932167053,-0.0280256159603595,0.5713223218917847,-0.5659016966819763,0.0096501978114247,0.4774307310581207,-0.5674775838851929,-0.0102447867393493,0.5148557424545288,-0.3894834518432617,0.2628012001514435,0.4774424352790969,-0.5674749513369187,0.4754335958974086,-0.6776601113575126,0.5148648446287141,-0.3895256665937912,190.8591065823775,-1.097503707510441,0.00010001562918864239
25,0.5676701068878174,-0.6791854500770569,0.0771619901061058,0.4754283726215362,-0.6776664853096008,-0.0279205180704593,0.5713151097297668,-0.5659255385398865,0.0085345115512609,0.4774299263954162,-0.5674946904182434,-0.009126903489232,0.5146481394767761,-0.3894819617271423,0.2619225084781647,0.4774260960181725,-0.5674867817033432,0.4754309739274182,-0.677664485843645,0.5147629632116074,-0.3894932454390303,190.8392591002663,-1.1908489266721745,9.489120739113725e-05
26,0.5676140189170837,-0.6791895627975464,0.0756300389766693,0.4754257798194885,-0.6776666045188904,-0.0271272491663694,0.5713057518005371,-0.5659386515617371,0.0067656403407454,0.4774188697338104,-0.5675018429756165,-0.0073566734790802,0.5146477222442627,-0.3894689381122589,0.2669061422348022,0.4774045021942079,-0.567503660274393,0.4754280753266529,-0.6776684481179358,0.5146810837478757,-0.3894400425644799,190.8219446133894,-1.0388692126139176,4.0808761159594066e-05
27,0.567561686038971,-0.6791931390762329,0.0758851990103721,0.4754227697849273,-0.6776657700538635,-0.0268894042819738,0.5712986588478088,-0.5659598708152771,0.006794607732445,0.4773981273174286,-0.5675040483474731,-0.0073872320353984,0.5146404504776001,-0.389403373003006,0.2765825986862182,0.477379205915578,-0.567525548268316,0.4754241382637456,-0.6776732740114982,0.514623985066497,-0.3893643622598043,190.80949824230925,-0.7467822648095535,1.1757739299291913e-05
28,0.5674812197685242,-0.6792266964912415,0.0759207680821418,0.4754194617271423,-0.6776677370071411,-0.0273922365158796,0.5712305307388306,-0.5660402178764343,0.0073604388162493,0.477340430021286,-0.5675493478775024,-0.0079417144879698,0.5146380662918091,-0.3893719911575317,0.2731497287750244,0.4773531052107175,-0.5675519982171228,0.4754179469737333,-0.6776802151648759,0.514588629408625,-0.3892697357467762,190.8018427486584,-0.4593296190506635,2.5022868218156025e-05
29,0.5674535036087036,-0.6792436838150024,0.0760654956102371,0.4754057228565216,-0.6776891350746155,-0.0282242279499769,0.571218729019165,-0.5660573244094849,0.0081632351502776,0.4773207604885101,-0.567562997341156,-0.0087420605123043,0.5146045088768005,-0.3892222642898559,0.2548149824142456,0.4773298789135516,-0.5675818799950907,0.4754079151006876,-0.6776902856741348,0.5145680870129906,-0.3891658215753103,190.7968132415104,-0.3017704288805589,3.910915423561078e-05
30,0.567419707775116,-0.6792631149291992,0.0803726240992546,0.4753806889057159,-0.6777345538139343,-0.0270669981837272,0.5712027549743652,-0.5661241412162781,0.0086079537868499,0.477302998304367,-0.5676460266113281,-0.0091832540929317,0.514566957950592,-0.3889236748218536,0.2548087835311889,0.4773130092778115,-0.5676137280435967,0.4753922647781773,-0.6777044305762162,0.514555340041101,-0.3890659714166967,190.79111100555951,-0.3421341570526692,2.6868456031479175e-05
31,0.5674092769622803,-0.6792661547660828,0.0804443806409835,0.4753731191158294,-0.6777380108833313,-0.0272277705371379,0.571194052696228,-0.5661379098892212,0.0092849871143698,0.4773058295249939,-0.5676611065864563,-0.0098609123378992,0.5145238041877747,-0.3888775706291199,0.24370077252388,0.4773048934930056,-0.5676466221761336,0.475369329443717,-0.6777239221566379,0.5145453035325696,-0.388981641017156,190.78131455632615,-0.5877869540017855,9.285070820905186e-06
