Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
11,0.7104750871658325,-0.469059556722641,-0.4094059467315674,0.6345701813697815,-0.6353861093521118,-0.4926503598690033,0.5006497502326965,-0.81253582239151,-0.8247195482254028,0.7714703679084778,-0.7173779010772705,-0.0754303485155105,45.2207660793826,0.7104605167566878,-0.4691012232130793,0.7713933111369113,-0.7174176958614557,0.5006473493906679,-0.8125591365469209,45.18014482651051,1.0802638630728725,0.01366357209958599
12,0.7103110551834106,-0.4691988229751587,-0.4074054956436157,0.6344435214996338,-0.6355236172676086,-0.49326291680336,0.500385046005249,-0.8127821087837219,-0.8246720433235168,0.7714478373527527,-0.7174539566040039,-0.0752406269311904,45.25922601795429,0.7103046257549582,-0.4692351968603903,0.7712711479616322,-0.7175813060246851,0.500606346742963,-0.8126943585488114,45.187629415586635,0.4490753445676887,0.0055306568462114595
13,0.7100550532341003,-0.4692660868167877,-0.4063341617584228,0.6343330144882202,-0.6355456709861755,-0.492818146944046,0.5001465678215027,-0.812872052192688,-0.8270323872566223,0.771246612071991,-0.7176091074943542,-0.0751161724328994,45.26262247678358,0.7101463974781859,-0.4693151280876654,0.7711696110547246,-0.7176705246856885,0.5005010337632095,-0.8128118419315619,45.19316908955183,0.3323804379117234,0.0015959308159844954
14,0.7099424600601196,-0.4693474471569061,-0.408151775598526,0.6340850591659546,-0.6355851888656616,-0.4920194745063782,0.5001937747001648,-0.812971830368042,-0.8260512948036194,0.7709695100784302,-0.7177044749259949,-0.0748743116855621,45.20531190779411,0.7100010593157522,-0.4693585137138046,0.7710796642351855,-0.7177009538586051,0.5003812547583737,-0.8129021584108939,45.19895569725994,0.3471964624866075,0.0002981019287955546
15,0.7098796963691711,-0.469354897737503,-0.411959558725357,0.6340839266777039,-0.6355472207069397,-0.4922266006469726,0.5002169609069824,-0.8129400610923767,-0.8273947238922119,0.7709279656410217,-0.7177046537399292,-0.074699155986309,45.20278288957411,0.7098809554194855,-0.46937947831375,0.7709953446405429,-0.7176858559141747,0.5002892872458711,-0.8129609901488113,45.20382299801754,0.2920380454561666,3.0138382114265297e-05
16,0.7097858786582947,-0.4693898260593414,-0.4122273623943329,0.6340450644493103,-0.6355581879615784,-0.4915102422237396,0.5002689957618713,-0.8129577040672302,-0.8271976709365845,0.7709159851074219,-0.7177037596702576,-0.0733371600508689,45.206059540129274,0.7097921996956391,-0.4693873134492894,0.7709119967149445,-0.7176369114070862,0.5002467422727637,-0.8129898555430886,45.20556036154242,0.1042418114924714,4.427763634332497e-06
17,0.709730863571167,-0.4693948924541473,-0.4088709652423858,0.6339239478111267,-0.6356307864189148,-0.4888457059860229,0.5002884268760681,-0.8129820227622986,-0.8254683613777161,0.7708938717842102,-0.7176082134246826,-0.0720431730151176,45.20813299733811,0.7097343284673095,-0.4693868554014471,0.7708254819420357,-0.7175660706550545,0.5002547725833162,-0.8129941512498597,45.202272369577834,-0.1972795178750175,1.4702383982995562e-05
18,0.7097119688987732,-0.4693877100944519,-0.4092209935188293,0.633984386920929,-0.6356245279312134,-0.4885423481464386,0.5003826022148132,-0.8129658102989197,-0.8263295888900757,0.7707897424697876,-0.7174361348152161,-0.0701722055673599,45.18533985903002,0.7097017784177995,-0.4693799154677092,0.7707335475832212,-0.7174860655922526,0.5003013288562552,-0.8129805991878596,45.19304273435392,-0.5537781134350439,3.904693546209038e-05
19,0.7096961736679077,-0.4693819284439087,-0.409202516078949,0.6340424418449402,-0.6355717778205872,-0.4884127676486969,0.5004249811172485,-0.8129581212997437,-0.826664924621582,0.7706050276756287,-0.7174115777015686,-0.0700402036309242,45.14261664199944,0.7096860339876532,-0.469367006370998,0.7706374121694434,-0.7174086693422982,0.500369676645567,-0.8129555723241785,45.17815135306581,-0.8934828772865444,6.447379885156598e-05
20,0.7096834778785706,-0.46936696767807,-0.4101133048534393,0.6341121196746826,-0.6355688571929932,-0.4883002340793609,0.5004464983940125,-0.8129420876502991,-0.8288209438323975,0.7705672383308411,-0.717246949672699,-0.0680815950036048,45.14107629221349,0.7096777875756038,-0.4693487573885231,0.7705414829446562,-0.7173416194351737,0.5004446326406902,-0.8129245615488242,45.15894948923028,-1.152111830131588,7.168848569822333e-05
21,0.7096704840660095,-0.469321608543396,-0.4066040217876434,0.6342079639434814,-0.6354746222496033,-0.4846014380455017,0.5004765391349792,-0.8129022717475891,-0.8254610896110535,0.7703564763069153,-0.7172431349754333,-0.0680451393127441,45.0900928320367,0.7096687460006746,-0.4693266293413148,0.7704510959766008,-0.7172861458236551,0.500515278554451,-0.8128922757833266,45.13747297789962,-1.2885906798396718,5.513101140578443e-05
