Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
14,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2775508808908663,-0.4728334324456119,0.2002757944997882,-0.5041543569190824,0.2380760526761577,-0.504570192526887,328.26023277239636,600.1971827909529,762.2403134630822
15,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2762105764646209,-0.468561505283494,0.1979884378610015,-0.498568199662737,0.2299875116613013,-0.5015152563488384,335.15657444411505,413.7805003031213,233.66857165564855
16,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2763622367865006,-0.4677945416233706,0.1973999101720298,-0.4968979694952679,0.2238937529283863,-0.5017871706583985,340.0118089942601,291.3140730087025,69.36778424526067
17,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2774364857331257,-0.4691834590594277,0.1978672447315848,-0.4978562101262671,0.2203302551809345,-0.503849137350403,343.42998547431137,205.09058880307632,22.709341373841866
18,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2788016347833366,-0.4713051446562937,0.1987098844730324,-0.4999706394948745,0.2189553740993962,-0.5062286280306185,345.82873746742445,143.92511958678483,9.148944586296055
19,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2799907773293772,-0.4731474500461251,0.1994408048840537,-0.5020959149129332,0.2190117234512334,-0.5079916357711489,347.50664358604524,100.6743671172478,4.325318916150247
20,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2807505254466962,-0.4742633575588157,0.1998540767110894,-0.503596485824745,0.2197602595032138,-0.5088588729176076,348.65097796963516,68.66006301539528,2.1790822331543778
21,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2809886025736776,-0.4746992292592898,0.2000060981249098,-0.5042977727770032,0.2207467170763703,-0.509092146167696,349.3323347948447,40.88140951257287,1.1631546452490462
22,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2806948793631836,-0.4748097493140844,0.2001336947476958,-0.5043292809953329,0.2218666216536656,-0.5092664332801351,349.5057297124689,10.403695057451614,0.7475651400125346
23,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2798868003247125,-0.4750437000217903,0.200542277872877,-0.5039606956227417,0.223260545834751,-0.5100046297769683,349.03667833755424,-28.14308249488022,0.6952538280366409
24,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2785958070164343,-0.4757504622957367,0.2014873333418029,-0.5034888387988937,0.2251065965194028,-0.511721316874092,347.7679732616216,-76.12230455595864,0.9049443060802801
25,0.2000890970230102,-0.5031471252441406,-0.9612988233566284,0.2800511717796325,-0.4741979837417602,-0.7029571533203125,0.3234192430973053,-0.4815333485603332,-0.3329880833625793,0.2222558110952377,-0.5089372396469116,0.0697405412793159,348.8931163764529,0.2768734067728436,-0.4770382151519242,0.2030744560374207,-0.5031915159714535,0.227399584387188,-0.5144202916955197,345.6364492466362,-127.89144089912496,1.2624631562061717
26,0.2076684832572937,-0.5068568587303162,-0.9916777610778807,0.2669251561164856,-0.4784615933895111,-0.6820859313011169,0.3014641404151916,-0.4977070987224579,-0.3056245446205139,0.2287143021821975,-0.5169847011566162,0.1061433032155036,340.37016953261775,0.2747732881035021,-0.4787142021409428,0.2052128402456489,-0.5033322232458731,0.2298213128730255,-0.5176126173617376,342.82930421326387,-168.42870200233847,1.4563160188284663
27,0.2076684832572937,-0.5068568587303162,-0.9916777610778807,0.2669251561164856,-0.4784615933895111,-0.6820859313011169,0.3014641404151916,-0.4977070987224579,-0.3056245446205139,0.2287143021821975,-0.5169847011566162,0.1061433032155036,340.37016953261775,0.2723075863908603,-0.4803354876899153,0.2076452188800081,-0.5041696935626678,0.2317933931428612,-0.5204267978993036,339.9112660734597,-175.08228838825175,1.0893199270372331
28,0.2100231200456619,-0.501709520816803,-1.032490372657776,0.2793703377246856,-0.4859347641468048,-0.7204959988594055,0.3322948515415191,-0.4977688789367676,-0.3017207384109497,0.2444930970668792,-0.5316452980041504,0.1652389019727707,320.158997847164,0.269467143101655,-0.4813729666528061,0.2100324939940545,-0.5059054091532441,0.2327355047138071,-0.5219290021579605,337.7852412323145,-127.56149046871089,0.43725781460671925
29,0.2100231200456619,-0.501709520816803,-1.032490372657776,0.2793703377246856,-0.4859347641468048,-0.7204959988594055,0.3322948515415191,-0.4977688789367676,-0.3017207384109497,0.2444930970668792,-0.5316452980041504,0.1652389019727707,320.158997847164,0.2663696885952488,-0.4814389826108939,0.2120457097307772,-0.5085425550121908,0.2324189348066509,-0.5215560370890787,337.3738328471717,-24.68450310856838,1.0050029859171032
30,0.2183223068714141,-0.5120526552200317,-1.1125246286392212,0.2514275908470154,-0.4853985905647278,-0.7139487266540527,0.2863665521144867,-0.5053932666778564,-0.2923410534858703,0.2205327451229095,-0.5221219658851624,0.130071610212326,348.9120097717685,0.2633965709458116,-0.4804673237748589,0.2134455641301629,-0.5117421733801472,0.2311715394474173,-0.5194365106281685,339.08017649282664,102.38061873929723,3.849728615216769
31,0.2187334448099136,-0.5155828595161438,-1.011585712432861,0.254675030708313,-0.4702955782413482,-0.7351717352867126,0.3122617900371551,-0.4815191030502319,-0.4201730787754059,0.2269447594881057,-0.5100034475326538,-0.0793103873729705,356.49203742749546,0.2611057029877011,-0.4787198103588909,0.2141437751302193,-0.5148233195552558,0.2297395104033762,-0.5163654245070325,342.38946425584885,198.55726578133272,6.757121841952547
32,0.2083969563245773,-0.5197861194610596,-1.0488359928131104,0.2632145285606384,-0.4730852246284485,-0.7441955804824829,0.3183092176914215,-0.4847939610481262,-0.3982257843017578,0.2268170267343521,-0.5055278539657593,-0.0261844024062156,358.71680466029494,0.2599638308598922,-0.4765966611875649,0.2141975038806991,-0.5169607949411863,0.2288904600385224,-0.5134016602582353,346.06746318319017,220.67993564047924,6.125039039709797
33,0.2083969563245773,-0.5197861194610596,-1.0488359928131104,0.2632145285606384,-0.4730852246284485,-0.7441955804824829,0.3183092176914215,-0.4847939610481262,-0.3982257843017578,0.2268170267343521,-0.5055278539657593,-0.0261844024062156,358.71680466029494,0.2601543790117198,-0.474396480299403,0.2136909222645106,-0.5174865797508407,0.2290409607383146,-0.5113343546449214,348.820793876005,165.1998415688888,2.6960181445267364
34,0.2083969563245773,-0.5197861194610596,-1.0488359928131104,0.2632145285606384,-0.4730852246284485,-0.7441955804824829,0.3183092176914215,-0.4847939610481262,-0.3982257843017578,0.2268170267343521,-0.5055278539657593,-0.0261844024062156,358.71680466029494,0.2615635245092587,-0.4722205668517502,0.2125816650428065,-0.5161507099288641,0.2300947056624819,-0.5103545796441711,349.8596164109951,62.32935209940706,1.217923541937174
35,0.2226634621620178,-0.5217036008834839,-0.9640313982963562,0.2466755658388137,-0.4815681278705597,-0.6904932856559753,0.3000126183032989,-0.4995895326137543,-0.2901459634304046,0.2353133112192154,-0.5244062542915344,0.1678971499204635,343.96382792244583,0.2638269906944271,-0.4700719570141589,0.210679613053345,-0.5132318848768098,0.2314975986877952,-0.51011352333567,349.1144196769288,-44.711804043979555,3.3892886720333255
36,0.2067205309867859,-0.495548278093338,-1.185295343399048,0.2798473536968231,-0.4632331430912018,-0.7072134613990784,0.3177481591701507,-0.4890620112419128,-0.2899592220783233,0.2324392050504684,-0.5136518478393555,0.0903592780232429,337.07820926488455,0.2663830404255469,-0.4680101707051289,0.207805030746975,-0.5094307230055916,0.2324449461167614,-0.5100781273134981,347.13218075472867,-118.93433533200664,5.543393908030104
37,0.2027957737445831,-0.5024439096450806,-1.0869401693344116,0.2726612985134125,-0.4607581198215484,-0.680992066860199,0.3153013885021209,-0.487260639667511,-0.2630927562713623,0.231914609670639,-0.5066744685173035,0.0844810307025909,342.4089456493135,0.268620130977581,-0.4661806550805677,0.2039716991863957,-0.5055681958609297,0.232155940063647,-0.5098921617968266,344.7541401128221,-142.6824385143948,4.61367131936826
38,0.1991986334323883,-0.5049627423286438,-1.168333649635315,0.2686921060085296,-0.4631195068359375,-0.7186002731323242,0.3142344057559967,-0.4883954226970672,-0.262152761220932,0.2317253947257995,-0.5086748600006104,0.1344808638095855,340.1111057837244,0.2701091213997729,-0.4646962648546426,0.1994338092542573,-0.5022648783422605,0.2301342699627092,-0.5094970021832721,342.74669839652796,-120.44650297764748,1.9674284841165866
39,0.1922944337129593,-0.5011347532272339,-1.1614539623260498,0.2668463289737701,-0.4649196863174438,-0.7338281273841858,0.3154008388519287,-0.4888980984687805,-0.2796804904937744,0.2307685613632202,-0.5077246427536011,0.0975413247942924,336.0346454404264,0.2707493550159819,-0.4635288962427554,0.1946077717479182,-0.4998035330580691,0.2263751352983566,-0.5090210669317589,341.55237160027355,-71.65960777526493,0.448460520805739
40,0.1933638155460357,-0.4975263476371765,-1.207634449005127,0.2726935148239136,-0.4661158919334411,-0.767217218875885,0.314687430858612,-0.4891330599784851,-0.3663336336612701,0.2239919155836105,-0.5092554688453674,0.0185329467058181,340.066677485789,0.2707514204733132,-0.4625446749796934,0.1899776589102593,-0.4981899230851607,0.2214929148398232,-0.5086095782775146,341.22366036125766,-19.72267434095329,0.6739554357242853
41,0.1859810650348663,-0.4998355805873871,-1.154657959938049,0.2709638178348541,-0.4636449515819549,-0.7033141255378723,0.3068333864212036,-0.4861167371273041,-0.340636670589447,0.2158153355121612,-0.5056968331336975,-0.0563366264104843,345.7408579082762,0.2705617605012466,-0.4616400384060148,0.1860374818581824,-0.4972714924225085,0.2167170748858028,-0.5083098115917317,341.51057710381235,17.215004553281688,1.245300702335324
42,0.1851826161146164,-0.4950345158576965,-1.2959318161010742,0.2756284773349762,-0.4598119556903839,-0.7896260619163513,0.3115045428276062,-0.4846353232860565,-0.3348641395568847,0.2182085216045379,-0.5070042014122009,0.1533432900905609,341.8614956249446,0.2708169907381219,-0.4608408452321843,0.1832399843976764,-0.4968111934830065,0.2137152835119,-0.5080281295108688,342.01032487039316,29.984865994848633,1.0976636124166128
