Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Nose (X)_smoothed_smoothed,Nose (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,angles,velocity,roughness
1,0.2673161029815674,-0.4837128818035126,-0.6994549632072449,0.3427699208259582,-0.4542494714260101,-0.5362297892570496,0.3461535274982452,-0.4384942054748535,-0.4655941128730774,0.2968045175075531,-0.4615975618362427,-0.4410085082054138,0.3427228530922965,-0.4542449699141068,0.267302625819559,-0.4837421159096638,0.2968103367812094,-0.4615641267209221,0.3427661336086174,-0.4542375714147799,0.2673109237470462,-0.4837222341486502,0.2968151757830063,-0.4615865021200237,12.257069216389482,,
2,0.266849011182785,-0.4836855828762054,-0.7729517221450806,0.3395710587501526,-0.4598470330238342,-0.5628945827484131,0.3610607981681824,-0.4540179669857025,-0.4194873869419098,0.3084666430950165,-0.450617104768753,-0.2264050543308258,0.3405931510507609,-0.4576765873614912,0.2645717089968907,-0.4835463931624394,0.3072432556028872,-0.4547755368313116,0.3416631229981921,-0.4568008877052595,0.2657735735531456,-0.4836776423168397,0.3037534546431485,-0.4571033769256994,14.972141680545496,162.90434784936085,
3,0.2646609544754028,-0.485624760389328,-0.8409733772277832,0.3378240764141083,-0.4696680307388305,-0.5821735262870789,0.3898345530033111,-0.4713181257247925,-0.3768138885498047,0.32560595870018,-0.4426564276218414,-0.1023252382874488,0.3381291596361329,-0.4603523598860828,0.2619949033676908,-0.483340730045936,0.3161087629783746,-0.4487863543932995,0.3402429075925833,-0.4589583408439042,0.2641671393997578,-0.4835986379089943,0.3100955123395479,-0.4528833917926455,20.719165443765757,344.82142579321567,4.596364339948686
4,0.2569765746593475,-0.4846601784229278,-0.8346276879310608,0.3357629179954529,-0.4614707827568054,-0.5779320597648621,0.3893617987632751,-0.4657911658287048,-0.3803724646568298,0.3271842300891876,-0.4461835324764251,-0.19790880382061,0.3351372982994939,-0.4618149443274426,0.2597604389798206,-0.4831614785858543,0.3223367262720125,-0.4441564424625346,0.3382913192847355,-0.4604187695962318,0.2625066705724307,-0.4834812191293645,0.3153427287807323,-0.449155686217262,29.658481631773412,536.3589712804593,9.687444923193151
5,0.2559182047843933,-0.4812318384647369,-0.8768196105957031,0.3373542129993438,-0.4611085653305053,-0.586468517780304,0.3868027031421661,-0.4598922431468963,-0.383074551820755,0.3236186504364013,-0.4436759948730469,-0.2566012144088745,0.3316228843668521,-0.4620511297840494,0.2580263473253643,-0.4830988469757428,0.325620712332541,-0.4411026314981801,0.335726329989953,-0.4610896554766748,0.2608839631118384,-0.4833705755957005,0.3191846551357993,-0.4460849620936861,41.31076542723291,699.1370277275698,15.019225433915281
6,0.25432950258255,-0.4815035164356231,-0.8542822003364563,0.3274799287319183,-0.4567440152168274,-0.5800347924232483,0.3864393532276153,-0.4490547776222229,-0.387952446937561,0.3243588507175445,-0.4395987391471863,-0.2114951610565185,0.3278549293169129,-0.4613869948464484,0.2568375445059995,-0.4832358352773218,0.3263813083292924,-0.4395575973181534,0.3326488918049268,-0.4610691534449306,0.2594162738339216,-0.4833386921333415,0.3215637835533408,-0.4437708000564133,54.49111928103204,790.8212312279479,18.26643072963777
7,0.2616110146045685,-0.4798182547092438,-0.9368996024131776,0.3284204006195068,-0.4600184857845306,-0.5760197639465332,0.384884625673294,-0.4573132693767547,-0.2760607302188873,0.3249552845954895,-0.4383653402328491,0.0573765262961387,0.3243254279098516,-0.4602611142765171,0.2560937023713693,-0.4835602260535085,0.3254893507162036,-0.4392739063089851,0.3293487815902721,-0.4605676621319002,0.2581808100631794,-0.4834319793644698,0.3226708500585092,-0.4422504922316883,67.80680601084978,798.9412037890645,10.361065878234589
8,0.2577675282955169,-0.4853278398513794,-0.3060909807682037,0.3147158622741699,-0.4588378965854645,-0.3028358519077301,0.3577822744846344,-0.4444813728332519,-0.1782734096050262,0.3222178816795349,-0.4389287829399109,-0.0120530808344483,0.3215518353214142,-0.459041600814891,0.2555971259251486,-0.4839331238402832,0.3239236948603966,-0.4398867082675036,0.3262258681525273,-0.459813393909415,0.2571806510579296,-0.4836263877803783,0.322872828024382,-0.441485845486551,80.14853992311562,740.5040347359502,3.1661545292295115
9,0.247321143746376,-0.4888618290424347,-0.6152355074882507,0.3098251819610595,-0.4582266807556152,-0.4339776933193207,0.358971893787384,-0.4437877833843231,-0.1911723315715789,0.3202798366546631,-0.4405147731304168,0.1310975402593612,0.3197708411777222,-0.4579659308947931,0.2551098402190196,-0.484168623664659,0.3224905888426916,-0.440946249454217,0.3236217263067274,-0.4589933467774603,0.2563422378831255,-0.4838332273770371,0.3226023675053838,-0.4413414877435097,90.87285290935284,643.4587791742333,1.1735983135026287
10,0.2529254853725433,-0.488639235496521,-0.8337041139602661,0.3140438795089721,-0.4585561752319336,-0.5236179828643799,0.3690359592437744,-0.4502554833889007,-0.2759971022605896,0.3199526667594909,-0.4412330090999603,-0.0180691517889499,0.3186975421734497,-0.4571756189102905,0.2543616327534006,-0.4841805369189004,0.3216474530318969,-0.4419713104004422,0.3216261325488572,-0.4582441636728032,0.2555188480012331,-0.4839629097228749,0.3222385706261613,-0.4415827053054175,99.86907984560496,539.7736161751268,3.368846842578755
