Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
11,0.6410833597183228,-0.5194209814071655,-0.1761320233345031,0.5886965990066528,-0.6607042551040649,-0.1223125755786895,0.461775004863739,-0.8054414987564087,-0.3293754160404205,0.6812949776649475,-0.7435845732688904,-0.0364864319562912,0.6412194711715743,-0.519445852205965,0.6813998962232363,-0.7437349969200419,0.4607132131468129,-0.8057587038647217,41.87646303091401,20.380663803334613,0.04166590213337419
12,0.6411977410316467,-0.5198854207992554,-0.1770883798599243,0.5879791378974915,-0.6609364151954651,-0.1089234054088592,0.4567389488220215,-0.8057971596717834,-0.2871107459068298,0.6815044283866882,-0.7436853647232056,-0.0366495363414287,0.6412410735980142,-0.5201846163782747,0.6817010951469399,-0.7438605669975223,0.456680314773595,-0.8062161586471097,42.35994018298229,29.008629124096927,0.05066589957726853
13,0.6412049531936646,-0.521048367023468,-0.1530174612998962,0.5851964354515076,-0.6617755889892578,-0.068653717637062,0.4520940482616424,-0.8065951466560364,-0.2231886386871338,0.6818889379501343,-0.7439795732498169,-0.0366398058831691,0.6412430644083263,-0.52098774608774,0.6820415812014108,-0.7440164688414086,0.4523151047835987,-0.8066528347430828,42.95420082231052,35.65563835969357,0.04936229211598131
14,0.6411934494972229,-0.5220674276351929,-0.2026812881231308,0.5829020142555237,-0.6621845960617065,-0.1081979721784591,0.4490134418010711,-0.8072059750556946,-0.2421858012676239,0.6825151443481445,-0.7442639470100403,-0.0370469577610492,0.6412796059646038,-0.5217419065845913,0.6823890794467423,-0.7441615075170572,0.4480152626831341,-0.8070122861851186,43.607913406961146,39.222755079037626,0.036375578138119896
15,0.6411941051483154,-0.5227839946746826,-0.2864168882369995,0.5797575116157532,-0.6623446345329285,-0.2106455862522125,0.442947655916214,-0.8076032996177673,-0.3992104232311249,0.6828055381774902,-0.7444950938224792,-0.0388389863073825,0.6413814072199884,-0.5223545237377293,0.6827059848050172,-0.7442522711102842,0.4441692080499682,-0.8072382676036843,44.26178707504979,39.23242008531858,0.018010201900912987
16,0.6413180828094482,-0.5229758024215698,-0.2662895619869232,0.5781946778297424,-0.6622081398963928,-0.1804622858762741,0.4386646449565887,-0.807479739189148,-0.3604181408882141,0.6831411123275757,-0.7444302439689636,-0.0392318964004516,0.6415478388552236,-0.5227775389721485,0.6829607050444628,-0.7442588753333883,0.4410492248212279,-0.8072937476016028,44.86239256107591,36.03632916156712,0.004839674800812559
17,0.6416498422622681,-0.5229675769805908,-0.2423598915338516,0.5760229825973511,-0.661474883556366,-0.155605748295784,0.4367309510707855,-0.8073472380638123,-0.3397180438041687,0.6831521391868591,-0.744246780872345,-0.039645966142416,0.6417472573496311,-0.5230156518036164,0.6831371947224637,-0.7441747820822282,0.438724074311165,-0.8071717510982079,45.375532438931046,30.788392671308316,0.0033291944668327367
18,0.642128586769104,-0.522952139377594,-0.1913924217224121,0.5730130672454834,-0.6563513875007629,-0.1106915101408958,0.4375920593738556,-0.8066160678863525,-0.2960328459739685,0.683211088180542,-0.7438549399375916,-0.0395989753305912,0.6419280846984708,-0.5231156664680149,0.6832379722283147,-0.7440162188830777,0.4370397390513352,-0.806890894536751,45.79411278564722,25.11482080297057,0.010279978999151382
19,0.6423099637031555,-0.5229695439338684,-0.1812015324831009,0.5698404312133789,-0.6554783582687378,-0.1036205813288688,0.4377554357051849,-0.8064922094345093,-0.2901387810707092,0.6832458972930908,-0.743647038936615,-0.0396525785326957,0.6420392393855973,-0.5231434306286706,0.6832803902913895,-0.743812662511617,0.4356999183276154,-0.806477627398855,46.13650553352329,20.543564872564133,0.01631923246557474
20,0.6423453092575073,-0.522965669631958,-0.1623283922672271,0.5684329271316528,-0.6546919941902161,-0.0797971114516258,0.4374589920043945,-0.8050218820571899,-0.2615042328834533,0.6832423210144043,-0.7435133457183838,-0.0398043505847454,0.6420525441325788,-0.5231593327609864,0.6832892926954083,-0.7435948805179674,0.4344151244347213,-0.8059440889842198,46.43556503244592,17.943569935357857,0.015214061707152626
21,0.6420837044715881,-0.523095965385437,-0.2434162050485611,0.563196063041687,-0.6547196507453918,-0.169483944773674,0.4331933856010437,-0.8050110340118408,-0.3737007975578308,0.6832820177078247,-0.7435122728347778,-0.0406738184392452,0.6419770062055195,-0.5232011514890443,0.6832895984186064,-0.7433873537520168,0.4330342751924464,-0.805274155878092,46.72351405551424,17.276941384098876,0.008837853767531514
22,0.6418739557266235,-0.5232393741607666,-0.2905300855636596,0.5593326687812805,-0.654676079750061,-0.2235200554132461,0.4302565157413482,-0.8048944473266602,-0.4433339238166809,0.6832881569862366,-0.7433178424835205,-0.041144672781229,0.6418582066906051,-0.523278195947878,0.6833007516270456,-0.7432071601473553,0.4315817533138454,-0.8044301275322789,47.01996971779892,17.78733973708114,0.0029611727778964814
23,0.6415483355522156,-0.5235396027565002,-0.3367555439472198,0.5543718338012695,-0.6548017859458923,-0.2722976207733154,0.4288689196109772,-0.8040466904640198,-0.5114535093307495,0.6832934617996216,-0.7430601716041565,-0.041526548564434,0.6417629788835166,-0.5233762222953745,0.6833333277267174,-0.7430657748304013,0.4301931047558747,-0.8033831762830611,47.3276840508822,18.462859984996527,0.00044748073865824643
24,0.6415515542030334,-0.5235794186592102,-0.3359271585941314,0.5525710582733154,-0.6542815566062927,-0.2840742170810699,0.4286289811134338,-0.8030825853347778,-0.5321630835533142,0.6833814978599548,-0.7428939342498779,-0.041839376091957,0.6417557387859189,-0.5234690657478748,0.6833874327630806,-0.7429689028463213,0.4290112953537219,-0.8021525129022243,47.63552838011654,18.470659754060534,6.988159685628588e-05
25,0.6416374444961548,-0.5235517024993896,-0.2501661777496338,0.55155348777771,-0.6526308059692383,-0.1956626027822494,0.4280409812927246,-0.8009010553359985,-0.4379715025424957,0.6834381818771362,-0.7427924871444702,-0.0421882979571819,0.6418756866112624,-0.5235309274270926,0.683452667810018,-0.7429130428664578,0.4281135946943435,-0.8008263975790496,47.92504678669129,17.371104394485002,9.164247822148776e-05
26,0.6419417858123779,-0.5235439538955688,-0.2387367039918899,0.5513736605644226,-0.6510050296783447,-0.1846749931573867,0.4276981949806213,-0.7989709377288818,-0.4293482899665832,0.6834700703620911,-0.7427909970283508,-0.042297326028347,0.6421231831666241,-0.5235443780863773,0.6835096161859131,-0.7428817242984574,0.4274953301433526,-0.7995460173050887,48.17711685473417,15.124204082572987,0.0005275522239994116
27,0.642490029335022,-0.5234915018081665,-0.194950595498085,0.5519534349441528,-0.6493215560913086,-0.1343194246292114,0.4276747107505798,-0.7973478436470032,-0.3687264025211334,0.6834843754768372,-0.7427905797958374,-0.0423007234930992,0.6424599334108901,-0.5235029287764986,0.6835328637441016,-0.7428455121531171,0.4270943455905763,-0.798456843104931,48.377040119840785,11.995395906396736,0.002114441371657253
28,0.6429744958877563,-0.5234601497650146,-0.1891685724258422,0.551805853843689,-0.6494137644767761,-0.1263889372348785,0.4268685579299927,-0.7974058985710144,-0.3522318303585052,0.6834926605224609,-0.7428103685379028,-0.0421106740832328,0.6428226879978329,-0.5234100863209642,0.6834958051123163,-0.7427680208756584,0.4268270983353223,-0.797654856381113,48.517602849411745,8.433763774257557,0.004668550361748829
29,0.6434045433998108,-0.5233262181282043,-0.2221062928438186,0.5518193244934082,-0.6494492888450623,-0.1680291593074798,0.4263692796230316,-0.7972962260246277,-0.4070652723312378,0.6834902167320251,-0.7428390383720398,-0.0419997051358222,0.6431452047246772,-0.5232768709210558,0.6833774704300676,-0.7426171364824062,0.4266152740182887,-0.797158814003724,48.60001506384233,4.944732865834993,0.006958070073633024
30,0.6435753107070923,-0.523042619228363,-0.2230032384395599,0.5514559149742126,-0.6495351791381836,-0.1687693148851394,0.4263145327568054,-0.7973362803459167,-0.4047222733497619,0.683318018913269,-0.7426453232765198,-0.0419624634087085,0.6433798853401815,-0.5231181905457447,0.6831703862197299,-0.7423774428498665,0.4263972277352276,-0.7969200750214865,48.632832514718295,1.9690470525580397,0.007735785722019093
31,0.6435795426368713,-0.5228371024131775,-0.239912524819374,0.5515336394309998,-0.6495690941810608,-0.1788398027420044,0.4262822270393371,-0.7971405386924744,-0.4076642394065857,0.6830471754074097,-0.7420579791069031,-0.0414205752313137,0.643510831675318,-0.5229480104467008,0.6828864409141173,-0.7420575950782957,0.4261316075877749,-0.7968561340054211,48.62929365168902,-0.2123317817566317,0.006678925863836884
32,0.6435293555259705,-0.5226879715919495,-0.225023865699768,0.5516625642776489,-0.6496502757072449,-0.1505819261074066,0.4260689914226532,-0.7968864440917969,-0.3621934056282043,0.6825028657913208,-0.7414855360984802,-0.0401477441191673,0.6435542150412236,-0.5227747779109718,0.6825568644473524,-0.7416877249503837,0.4258017812390824,-0.7968844646999442,48.603856008531416,-1.5262585894561198,0.004499286720559177
33,0.6434353590011597,-0.5226453542709351,-0.2242710441350937,0.551714301109314,-0.6510661840438843,-0.1457018703222274,0.4256099164485931,-0.7969231009483337,-0.3490259647369385,0.6820960640907288,-0.7411149740219116,-0.039338145405054,0.6435474567023585,-0.5225999314298854,0.6822245182045971,-0.7413080391568991,0.4254208073057879,-0.796942194877239,48.568925113292465,-2.0958537143370393,0.0023054319746320592
34,0.6433897614479065,-0.5224868059158325,-0.217107817530632,0.5527670383453369,-0.6515628099441528,-0.1294798851013183,0.4252993166446686,-0.7969754338264465,-0.3196673989295959,0.6817724108695984,-0.741003155708313,-0.0391686670482158,0.6435327309069078,-0.5224210805775195,0.6819310509435146,-0.7409559400454409,0.4250296409428875,-0.7969911832941192,48.53271510126213,-2.172600721820288,0.0008405144359305507
35,0.6433359384536743,-0.5224207043647766,-0.2183377146720886,0.554588258266449,-0.6525118350982666,-0.1309630423784256,0.4240554869174957,-0.7970171570777893,-0.3233338892459869,0.6815871000289917,-0.7407165765762329,-0.0391199141740798,0.6435413849744569,-0.5222381812425637,0.6817048393276296,-0.7406587516806775,0.4246827622555508,-0.7970153762809957,48.498860176028046,-2.0312955140448707,0.00018684202754080102
36,0.6435105800628662,-0.5221250653266907,-0.2257142961025238,0.5581982731819153,-0.6525143980979919,-0.1375728249549865,0.4239009618759155,-0.7970426082611084,-0.3248919248580932,0.6815873384475708,-0.7404320240020752,-0.0394374839961528,0.6435847823526489,-0.5220585189978773,0.6815551894376246,-0.7404329996765808,0.4244239561283979,-0.79701631556245,48.46777821895012,-1.864917424675383,1.830077966938186e-05
37,0.6437762975692749,-0.5217854976654053,-0.2440146803855896,0.5611087679862976,-0.6526517271995544,-0.1622412800788879,0.4239260256290436,-0.7970647215843201,-0.3581465780735016,0.6815770268440247,-0.7403630018234253,-0.0398530177772045,0.6436545902552697,-0.5218965266358313,0.6814744614190991,-0.7402863105433339,0.4242655074053351,-0.7970087221494063,48.43887967409376,-1.7339126913816472,8.816035437178043e-06
38,0.6438407301902771,-0.5216243863105774,-0.2271246910095214,0.5637844800949097,-0.6538501381874084,-0.1466370224952697,0.4242945611476898,-0.7970360517501831,-0.3447974026203155,0.6815019249916077,-0.7401437759399414,-0.0398573614656925,0.6437315682378474,-0.5217677056539711,0.6814453773037382,-0.7402182812555291,0.4241872500926841,-0.7970155652441495,48.41205833597042,-1.609280287400452,1.4120474424229256e-05
39,0.6439144015312195,-0.5216196179389954,-0.2094096541404724,0.5657219886779785,-0.6545538306236267,-0.1230945289134979,0.4247605502605438,-0.7970253825187683,-0.3176020979881286,0.681456446647644,-0.7401443719863892,-0.0397492460906505,0.6437978144180645,-0.5216802855491651,0.6814487028864735,-0.7402195058046555,0.4241613987419769,-0.7970615241094264,48.38727225186768,-1.487165046164591,1.2594892273353738e-05
40,0.6439127922058105,-0.5216141939163208,-0.141617864370346,0.5675142407417297,-0.6556620001792908,-0.0506289452314376,0.4248730540275574,-0.7970370054244995,-0.2280827313661575,0.6814528107643127,-0.7401825785636902,-0.0396228171885013,0.6438462477357934,-0.5216299319384283,0.6814679314073365,-0.740270299049335,0.4241917854809868,-0.7971647178141174,48.36234396442431,-1.4956972466019636,7.258100803864484e-06
41,0.6438992023468018,-0.5216352343559265,-0.1240884438157081,0.5689947009086609,-0.6571022272109985,-0.035744059830904,0.4248847961425781,-0.7970613241195679,-0.2136729210615158,0.6814855337142944,-0.7403498888015747,-0.0393447652459144,0.6438835927692897,-0.521600243295002,0.6814907139147673,-0.7403416949621922,0.4243449739216241,-0.7973286308319464,48.33039749051483,-1.9167884345691275,9.040959928901463e-06
42,0.643890917301178,-0.5216060876846313,-0.1281873881816864,0.5709754228591919,-0.6579979062080383,-0.0423428900539875,0.425116628408432,-0.7974196076393127,-0.2231927663087844,0.6815203428268433,-0.740375280380249,-0.0393321067094802,0.6439266795411754,-0.5215678963741425,0.6815086370523404,-0.7404005078807777,0.4247521265073371,-0.7975383823868724,48.27874671619033,-3.099046459470003,0.00012875512523069274
43,0.643889307975769,-0.5215743184089661,-0.1254580020904541,0.5732557773590088,-0.6586787700653076,-0.040253359824419,0.4251193702220917,-0.7981384992599487,-0.2213052958250045,0.6815157532691956,-0.7405398488044739,-0.0392324142158031,0.6439943061481679,-0.5215094116829171,0.6815167100069156,-0.7404181102562608,0.4255723376566004,-0.7977655463951212,48.19045767204653,-5.297342648627961,0.000724433407275124
44,0.6439626216888428,-0.5214132070541382,-0.070595882833004,0.57692950963974,-0.6589697599411011,0.0199541933834552,0.4255840182304382,-0.798176646232605,-0.1545599997043609,0.6814975738525391,-0.7405375242233276,-0.0383941233158111,0.6440981399275454,-0.5214068303939227,0.6815129372605975,-0.7403805850880041,0.42692522486908,-0.7979809803475229,48.04869643044256,-8.505674496237958,0.0023185716911534584
45,0.6441724300384521,-0.5212663412094116,-0.0406718924641609,0.5805721282958984,-0.659175455570221,0.0628203973174095,0.4262794256210327,-0.7982621788978577,-0.1003868654370307,0.6814941763877869,-0.7404520511627197,-0.0309414267539978,0.644236463071411,-0.5212508485249887,0.681497934711908,-0.7402965955283908,0.4288203528655032,-0.7981680367063807,47.84269906141146,-12.359842141866151,0.005002083905695484
46,0.6444844603538513,-0.5209885835647583,-0.0020435662008821,0.5857807993888855,-0.659144937992096,0.0943977385759353,0.4311423599720001,-0.7982690334320068,-0.0689802691340446,0.6814921498298645,-0.7402506470680237,-0.024304062128067,0.6443935689546307,-0.5210413612108564,0.6814746932277017,-0.7401989518475549,0.4311278657842542,-0.7983270814135767,47.572807736065755,-16.193479520742216,0.0077617009401498875
47,0.644619345664978,-0.5207675695419312,0.0188709944486618,0.5886051058769226,-0.6591104865074158,0.1143581196665763,0.4369004964828491,-0.7982113361358643,-0.0464484542608261,0.6815006732940674,-0.7400287389755249,-0.0238061808049678,0.6445448358434228,-0.5207865219590769,0.6814485258180947,-0.7401375240646638,0.4336263617080423,-0.7984690295487351,47.25133821419623,-19.288171312171443,0.008849113994647523
48,0.6446488499641418,-0.5205762386322021,0.0247170180082321,0.5901783108711243,-0.6592006683349609,0.1272921711206436,0.4373756349086761,-0.7984773516654968,-0.0174457114189863,0.6814238429069519,-0.7400228977203369,-0.0230621248483657,0.6446643707856544,-0.5205017993226704,0.681426694485311,-0.7401649190919866,0.4361121475039625,-0.7986037112283582,46.89782237942254,-21.210950086421292,0.007376848036258361
49,0.6447071433067322,-0.5204030275344849,0.0011577120749279,0.5906243920326233,-0.6596041917800903,0.0910079032182693,0.4376202225685119,-0.7987799048423767,-0.0803689435124397,0.6814097166061401,-0.7402562499046326,-0.0249425135552883,0.6447315482011887,-0.5202094619772821,0.6814169103729794,-0.7403199439503672,0.4384973251294077,-0.7987315051733236,46.53102681565645,-22.007733825965374,0.004366779035208735
50,0.6448197960853577,-0.5198641419410706,0.0314028449356555,0.5933893322944641,-0.6593969464302063,0.1120055168867111,0.4421081244945526,-0.7986887693405151,-0.0734298750758171,0.681367814540863,-0.7403107285499573,-0.028023699298501,0.6447351489317833,-0.5199367294318779,0.6814245110366046,-0.7406147485689474,0.4408324782082007,-0.7988432366849528,46.1623194116618,-22.12244423967931,0.001726602081005198
51,0.6447754502296448,-0.5195282101631165,-0.0357405617833137,0.5935669541358948,-0.6597929000854492,0.0341691300272941,0.4416248202323913,-0.7992879748344421,-0.1875629723072052,0.6813602447509766,-0.7410205006599426,-0.0294681601226329,0.6446756988533971,-0.5197101699425535,0.6814492976275348,-0.7410299647587985,0.443253113821169,-0.7989277090377122,45.79333595594714,-22.139007342879324,0.0004112654072867919
52,0.6446022391319275,-0.5194514989852905,-0.0559989362955093,0.5934995412826538,-0.6599794626235962,0.0110119814053177,0.4437549412250519,-0.799291729927063,-0.208113208413124,0.6813949346542358,-0.7417265176773071,-0.0297637898474931,0.6445657815929758,-0.5195471035162598,0.681483937141556,-0.7415197475253871,0.4458928083842522,-0.7989820322103078,45.41801028038162,-22.51954053393121,6.436788588829705e-05
53,0.6443291306495667,-0.5194386839866638,-0.0736344680190086,0.5940343141555786,-0.6602368950843811,-0.0117934104055166,0.4495201706886291,-0.7988625764846802,-0.2472542375326156,0.6816277503967285,-0.7419941425323486,-0.0298256706446409,0.644426908894065,-0.5194486918119823,0.6815158531643742,-0.7420249694293216,0.4488120409830128,-0.7990175649964291,45.02724555656255,-23.445883429144487,9.695700650074455e-05
54,0.6441587805747986,-0.5194353461265564,-0.0728818029165268,0.594272792339325,-0.6605819463729858,-0.0112741785123944,0.4527164101600647,-0.7988615036010742,-0.2446163296699524,0.6816536784172058,-0.7427690029144287,-0.0302876289933919,0.644282932941819,-0.5193988523396746,0.6815329059794286,-0.7424888589382844,0.4519794034503002,-0.7990557687654037,44.61370489413175,-24.812439745847858,0.0003628954508962768
55,0.6441153883934021,-0.5193825364112854,-0.0651134103536605,0.5950499176979065,-0.6604052186012268,-0.0042800894007086,0.4563896656036377,-0.798829197883606,-0.2362409383058548,0.6816142201423645,-0.742882490158081,-0.0303484853357076,0.6441529176740417,-0.5193688217386928,0.6815302212552031,-0.742868711197264,0.455304909140918,-0.799115892251814,44.17464819471829,-26.343401964807786,0.0008336285404119139
