Frame #,hand X,hand Y,body X,body Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
0,364.0188598632813,1351.424560546875,385.8655090332031,1839.43505859375,213.0,1179.5,213.00093532083335,1179.4985948291787,385.86771565569103,1839.434487951589,364.0188983737047,1351.4234801540697,,,26.61737050931345
1,363.6666564941406,1351.5,385.7940979003906,1839.4095458984375,212.5,1179.5,212.40714752022143,1179.55164174406,385.7861504829099,1839.4324372787964,363.7615090492172,1351.4164214871914,0.7289587581519896,,26.629519821949316
2,363.6666564941406,1351.5,385.8804626464844,1839.2701416015625,211.4366912841797,1179.5865478515625,211.90311869677785,1179.6002242019672,385.63541692164904,1839.4764095508756,363.5444917818786,1351.4008152971585,1.293530776392302,4.426966163610274e-05,26.65107866822252
3,363.22894287109375,1351.2962646484375,385.4350280761719,1839.47119140625,211.4172821044922,1179.802490234375,211.55758131909215,1179.640494800189,385.3627977880053,1839.599405327259,363.4005517448379,1351.3709400943746,1.8615869688630229,8.908685487420132e-05,26.68210511770357
4,363.22894287109375,1351.2962646484375,385.0862121582031,1839.7493896484375,211.4172821044922,1179.802490234375,211.40416955736143,1179.6729352432192,384.9506834370205,1839.812954085353,363.34818560059045,1351.3255455574315,2.477209923807564,0.00015649875347637022,26.72339194976703
5,363.4717102050781,1351.232666015625,384.63763427734375,1840.21484375,211.4366912841797,1179.5865478515625,211.43933527553844,1179.7021353127946,384.4241827188528,1840.1065031162157,363.3875124154288,1351.266743031381,3.0845451454030126,0.00024141317529084393,26.774801035523748
6,363.3915710449219,1351.30419921875,383.9932556152344,1840.520263671875,211.76904296875,1179.44287109375,211.63076833176973,1179.7322337277358,383.84858620357176,1840.453904282172,363.5002947560786,1351.198944985543,3.5431604512829296,0.00022791795283586957,26.833853709711796
7,363.5727233886719,1351.1424560546875,383.1768798828125,1840.9127197265625,211.93423461914065,1179.575927734375,211.93023406761964,1179.7609089145278,383.31600056780326,1840.8226561538247,363.6544216474266,1351.1288553499446,3.659603730721699,0.00015823490420319522,26.894847105223825
8,364.0,1351.0,382.58685302734375,1841.074462890625,212.40963745117188,1180.078369140625,212.28516566379983,1179.778736379399,382.9225931608251,1841.1811848135503,363.81185692498985,1351.065312198443,3.261409223552718,6.0304627631033073e-05,26.94920392561637
9,364.0,1351.0,382.5066223144531,1841.4183349609375,212.5,1180.0,212.64634440303,1179.777177972097,382.7427263747204,1841.5025132805604,363.9387455297249,1351.0177914772914,2.3008247087712874,7.98669693766091e-05,26.98755100409589
10,364.24029541015625,1351.0,382.79888916015625,1841.893310546875,212.9694976806641,1179.851806640625,212.97188752957808,1179.759725257706,382.8097516649436,1841.766278561933,364.01488886700633,1350.994279597259,0.9236854967439,0.00036489257010421667,27.002945762374956
11,364.0,1351.0,383.0946044921875,1841.983154296875,213.4172821044922,1179.802490234375,213.2296422063917,1179.7467868690596,383.110149911246,1841.9616382160343,364.0382755171139,1351.0000136445904,-0.5583473932539817,0.0008406557501832194,26.99363997248739
12,363.8977355957031,1351.102294921875,383.6285095214844,1842.1605224609375,213.4366912841797,1179.5865478515625,213.399309024713,1179.7698872050594,383.59022237488415,1842.0908516295424,364.02199237954824,1351.037395949194,-1.7848671890364898,0.0011700612059313983,26.96389218600345
13,363.8977355957031,1351.102294921875,384.1583557128906,1842.233642578125,213.4366912841797,1179.5865478515625,213.47278795479855,1179.858498752052,384.1697560759252,1842.171059752179,363.985173613137,1351.1060796614383,-2.480709204468212,0.001061582314430564,26.922547032595645
