Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,267.555542,1012.430542,911.7729492,862.3236694,447.5,987.5,675.6897583,942.1550903,447.4999658059369,987.4993346769952,911.7742163520096,862.3201919465795,267.55543332784436,1012.429834275871,172.79840271686427,,
2.0,267.5,1012.5,912.0,862.5,447.6610718,987.3389282,675.4909058,941.4272461,447.6001555078002,987.3987205106108,911.8814762847315,862.7296193761359,267.5557291775267,1012.5060655966404,172.8423239913978,2.6352764720110144,
3.0,267.6410217,1012.087158,912.3236694,863.2270508,447.8422546,987.5,675.3174438,941.6825562,447.6697362214549,987.2704109766464,911.9392746022344,863.1164440683044,267.55596580338556,1012.57032540152,172.91508220174583,4.365492620882492,0.0004157844335855064
4.0,267.5,1013.5,912.3236694,863.2270508,447.6825256,987.3174438,674.93396,941.5283203,447.6862341074997,987.0977646068652,911.9174564170892,863.4588289373592,267.5557355869973,1012.6119497030082,173.00843769126635,5.601329371231145,0.0006165930646435236
5.0,267.5,1012.5,911.0822754,863.9177246,447.6558228,986.8157349,674.6175537,941.670166,447.6414284709982,986.8819649516556,911.814190691376,863.7412582780289,267.55409686198277,1012.627406324487,173.1163181124275,6.472825269669329,0.0007695728463969076
6.0,267.5771179,1012.144287,912.0,864.5,447.5,986.5,674.595459,941.3618164,447.5416775996427,986.641076844698,911.6516836757168,863.9626170647697,267.5495517977463,1012.622271785123,173.23271806696616,6.983997272319016,0.0008498132432495029
7.0,267.6410217,1012.789734,911.6206665,864.1494141,447.5,986.5,674.1380615,941.6633301,447.4047849422327,986.4023520091174,911.4649889150076,864.1424728422215,267.54087036452006,1012.6062866896656,173.35138314335208,7.119904583155403,0.00036232389979165943
8.0,267.5,1012.5,911.1136475,864.0454712,447.2211304,986.0693359,673.6825562,941.6825562,447.2554060508448,986.192611049814,911.2909805073532,864.3175712552742,267.52847609137126,1012.586396565553,173.46625298749657,6.892190648669612,0.00010525413614078351
9.0,267.5,1012.5,910.7211914,864.2788086,447.0,985.9077759,673.5,941.5,447.11970775303905,986.0305846828228,911.157745398408,864.5261662359893,267.51488219779577,1012.5650375646424,173.5721396583788,6.353200252933675,3.090541479934707e-05
10.0,267.4228821,1012.855713,911.0,864.5,447.0,985.9077759,673.5,941.5,447.0198984607244,985.9227165219424,911.0751540624036,864.7886173976173,267.5034342384012,1012.544013352963,173.66547924770262,5.600375359429108,0.00010852659259678447
11.0,267.555542,1012.569458,911.1977539,864.9661255,447.0,985.9077759,673.3174438,941.3174438,446.970380342993,985.8634383006008,911.0333011276988,865.0968241175386,267.49658624579246,1012.5295922546036,173.74496504213658,4.7691476660378385,0.00025983656391637914
12.0,267.5,1012.5,911.5,865.7531128,447.0,985.9077759,673.3981323,941.3981323,446.97681523995504,985.8398583962644,911.0124323662998,865.4192260655958,267.4952901825098,1012.534184387222,173.811710589849,4.004732862745755,0.0003780087889984384
13.0,267.5,1012.5,910.7211914,866.2788086,447.0,985.9077759,673.3174438,941.3174438,447.0372590285826,985.838381257712,910.9973944864588,865.7181645612106,267.499552581186,1012.571847694941,173.8686012200662,3.4134378130318055,0.00038923735450466733
14.0,267.5,1012.5,910.9078979,865.6140137,447.0,985.9077759,673.5,941.5,447.1438587299781,985.849802311087,910.9862686096528,865.9680456526322,267.509088487402,1012.6492012636714,173.91879253219412,3.0114787276744437,0.0003018268065292552
15.0,267.555542,1012.569458,911.5,866.1798096,447.5,985.8422852,673.730896,942.3533936,447.28518305487125,985.8706712358896,910.9905000463326,866.1628653477362,267.52342868286786,1012.7568573893108,173.96378594842946,2.699604974120575,0.00018892531017041992
16.0,267.5,1012.5,910.7211914,866.2788086,447.5,985.8422852,673.730896,942.3533936,447.4497983025781,985.9007739349256,911.0299993821616,866.3120783699682,267.5415944382646,1012.866887782632,174.00203529228608,2.294960631397202,0.00012026921666671592
17.0,267.5769348,1013.442322,911.0,866.5,447.5,985.8422852,673.9077759,942.0,447.6296954847267,985.9385208767848,911.1246613112208,866.4325560817906,267.56158442217134,1012.9405710212814,174.0292908811539,1.6353353320698716,0.00012944048032174603
18.0,267.5,1013.5,911.0,866.5,448.0,985.9077759,673.9077759,942.0,447.82125621735383,985.9772038292244,911.2833166918202,866.5422040251254,267.5799774634616,1012.9460124166684,174.04117802084255,0.7132283813183449,0.00023355210109497754
19.0,267.6410217,1012.789734,911.5,866.5,448.0,985.9077759,674.7789307,942.0203857,448.02335982735735,986.0049421698864,911.4960333474858,866.6551933151585,267.5922473277952,1012.8761781357468,174.03673764473513,-0.2664225664454989,0.0004022745125028523
20.0,267.6410217,1012.789734,912.0,866.8850708,448.0,986.5,675.0073242,942.1721802,448.2335941751596,986.00939260522,911.735958078352,866.7782038420922,267.59424658842096,1012.7538857687872,174.02034301024895,-0.9836780691705372,0.0004989860628878481
21.0,267.5974731,1012.232727,912.0,866.5,448.5,985.8422852,675.0073242,942.1721802,448.4439374792779,985.9846564851428,911.9696371835752,866.9091513679416,267.58435103315605,1012.6194401240912,174.0003556265482,-1.199243022044243,0.0003929008615556151
22.0,267.5974731,1012.232727,912.1798096,867.5,448.5,985.8422852,675.0073242,942.1721802,448.6385818413348,985.934902291662,912.1685997641612,867.040336297961,267.5648518074417,1012.5098382902478,173.98548609894084,-0.8921716564424287,0.00016665790985197893
23.0,267.5,1012.5,912.3533936,867.269104,448.8448792,985.6897583,675.277771,942.5714111,448.7964889742991,985.8721421807496,912.316145223695,867.1658901548813,267.5415194260665,1012.442869963706,173.98136482993013,-0.2472761406426116,5.2640158802778935e-05
24.0,267.5,1012.5,912.3533936,867.269104,449.2211304,986.0693359,675.3720703,942.5814209,448.89842877942954,985.8120870754548,912.4086654300028,867.289291872496,267.52152583750217,1012.414030741886,173.98894393518566,0.4547463153318176,0.00012674058965888573
25.0,267.5,1012.5,912.3533936,867.269104,448.8448792,985.6897583,674.9777832,942.9222412,448.9349399905085,985.7728455281632,912.4541496884792,867.4252207850209,267.51087715848195,1012.404903771476,174.0045969205557,0.9391791222031998,0.00022261353401740176
26.0,267.5,1012.5,912.6466064,867.730896,448.8977356,986.1022949,674.8178711,943.1580811,448.910432125799,985.7756390370156,912.4705699813768,867.5949289191873,267.5125715737179,1012.3954642486556,174.0211844190521,0.9952499097835243,0.00018223097098209423
