Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,269.7837219,1009.656494,943.5,900.3481445,685.3302612,963.3700562,448.5,995.5,448.500396554339,995.500062350668,943.4977642436244,900.3485428905041,269.7846567525604,1009.6574491254008,173.64833030971957,,
2.0,269.7278748,1009.539063,943.7269287,900.1887817,685.2710571,963.6791382,447.8422546,995.5,448.3448110283352,995.4961396240128,943.6107290752911,900.5835593035115,269.8632317916905,1009.6283410805044,173.6604514952256,0.7272711303619417,
3.0,270.0081482,1009.352356,943.5,900.3481445,685.6825562,963.6825562,447.8422546,995.5,448.209356249786,995.493112613078,943.729514565538,900.846558075623,269.92682407412155,1009.6052237087824,173.68121446069324,1.2457779280583736,3.734018045241786e-05
4.0,270.1481628,1009.72937,944.0921021,901.3859863,685.6825562,963.6825562,448.5,995.5,448.1019697060157,995.4921603018598,943.856628855874,901.1482480155806,269.964463982292,1009.5889304337962,173.70867674376657,1.6477369844000125,5.915174864270851e-05
5.0,269.9600525,1009.793396,943.8199463,901.7203369,685.5,963.8422852,447.8422546,995.5,448.0186786096051,995.4947499893262,943.9893829262112,901.4776694858753,269.97198027173414,1009.5752055183848,173.74039679569162,1.9032031155029472,7.310103299970844e-05
6.0,269.6938477,1009.323303,943.8199463,901.7203369,685.5,963.8422852,448.5,995.5,447.9541084034206,995.5022653907376,944.1182766892204,901.8102107301638,269.9526677141696,1009.5581939822608,173.77287832262851,1.9488916162134728,7.274266176208998e-05
7.0,270.072998,1009.586792,944.5,902.0,685.5,963.8422852,447.8422546,995.5,447.9119940944277,995.5152427655858,944.2278480990324,902.1181044394776,269.9150049150328,1009.5334655685735,173.80201561173013,1.7482373460967435,2.1847703184911164e-05
8.0,270.064209,1009.536865,944.5,902.5,685.5,963.8422852,447.8422546,995.5,447.9069347018914,995.5324777700368,944.3019483368876,902.37727644843,269.8702201497049,1009.4990403207552,173.82394182725187,1.3155729313047004,1.7727147056069102e-05
9.0,269.7513428,1009.379028,944.2788086,902.7211914,685.6897583,964.1550903,447.8422546,995.5,447.9558579538346,995.5505873616964,944.331496168555,902.5719769419308,269.83070126217297,1009.456279547525,173.8361405240276,0.7319218065435962,7.258924422918427e-05
10.0,269.5039063,1009.73175,944.2788086,902.7211914,685.6897583,964.1550903,447.6825256,995.6825562,448.064661663478,995.5647158397364,944.3189358985068,902.6985381698304,269.80661623556944,1009.4114629132814,173.83860346350644,0.1477763687307742,0.00015268862217334648
11.0,269.7968445,1009.314758,944.2788086,902.7211914,685.6897583,964.1550903,447.8422546,995.5,448.2191081818152,995.5704278378475,944.276747381082,902.7659366440504,269.8005634571569,1009.3761102151104,173.8343570065793,-0.2547874156289254,0.0001866803743924121
12.0,269.9396362,1009.086792,944.2788086,902.7211914,685.6897583,964.1550903,449.3174744,995.6825562,448.3876952723456,995.5657552219571,944.2227576978164,902.7916162284444,269.8050655225273,1009.3634590442438,173.82866744700283,-0.3413735745880331,0.0001359931552340615
13.0,269.7968445,1009.314758,944.2788086,902.7211914,685.6897583,964.1550903,448.5,995.5,448.5361936096081,995.5520906294698,944.1750544361428,902.7947905671376,269.8061585932168,1009.381553435081,173.82696244012595,-0.1023004126125215,5.1589996633515086e-05
