Frame #,Hand Pink X,Hand Pink Y,Head Pink X,Head Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,939.5,955.5,268.4304504,1012.55188,683.4326782,990.9102783,446.944458,996.2677002,446.9477087150725,996.2737536680016,939.500382390609,955.4997508694788,268.4331505651301,1012.5518107065888,180.47796114433083,,
2.0,939.6236572,954.6688232,269.1158447,1013.03656,683.6889038,990.9587402,446.944458,996.2677002,449.6342341257677,989.8311730503616,939.5682240077682,955.0803603857707,268.747313987134,1012.7416851693048,181.5512883360721,64.39963150447625,
3.0,939.6236572,954.6688232,269.1158447,1013.03656,683.9455566,990.9081421,446.7212219,996.7211914,446.6675960324421,994.9741688907706,939.629870286352,954.6532144214304,268.9813751446301,1012.8996489515235,181.36464196382045,-11.198782335099509,0.7937666909805221
4.0,939.9944458,954.333313,269.1914063,1013.197876,683.7299805,990.8200073,446.7212219,996.7211914,433.9193069186508,1020.285319544674,939.679667767476,954.2131085672536,269.0789194054287,1013.0092635094616,176.83065368041943,-272.0392970040609,8.65481698536116
5.0,939.3763428,954.3311768,269.1923218,1013.143616,683.5,990.9615479,446.7212219,996.7211914,410.0995088366082,1068.7063337707832,939.7143360019876,953.7657508504824,269.0234452673392,1013.0757781369196,164.59213479705227,-734.3111330020298,36.145130885795254
6.0,939.2241211,953.3917236,269.0820923,1012.801025,683.666687,990.690979,446.7212219,996.7211914,377.59721716520113,1135.740632945974,939.729900286984,953.3360083667818,268.8413923462083,1013.121125581868,144.19266334060006,-1223.9682873871322,81.08478267572016
7.0,940.3585815,952.6414185,268.3988647,1013.078674,683.6008911,990.175415,258.6428528,1357.5,342.0010274114664,1210.2129296616954,939.719720039655,952.9659634641192,268.59309859387236,1013.1711519423932,121.37429410043788,-1369.1021544097312,95.733878629176
8.0,939.9944458,952.333313,268.3988647,1013.078674,683.7169189,990.0913086,275.7986755,1357.135254,309.94345992913543,1278.440126240732,939.6789395196744,952.6996548958044,268.3534843756366,1013.24310368988,101.44935372590368,-1195.496422472052,56.716848698604934
9.0,939.0055542,952.666687,267.4585876,1013.62207,683.3911133,990.0888672,275.7986755,1357.135254,286.30646256987495,1329.921432693014,939.6118017701536,952.5638545982972,268.18710404948456,1013.34041943198,86.17538761576567,-916.4379666082802,18.30489788831933
10.0,939.7636719,952.3403931,267.9115906,1013.440125,683.5119019,990.4008179,275.7986755,1357.135254,272.5680037832886,1360.975371131403,939.5333111927844,952.5573606629504,268.1267911398912,1013.4555788623996,75.40557391647754,-646.1888219572882,23.06351473046429
