Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.226697951555252,-0.5767300128936768,-0.3675561845302582,0.2660110592842102,-0.7184483408927917,-0.4395813345909118,0.3668923377990722,-0.919812560081482,-0.4811874330043793,0.3699182271957397,-0.8108206987380981,-0.2040076106786728,0.2266993366227324,-0.5767304673601896,0.366892376658451,-0.9198148819988414,0.369921485922634,-0.8108199759465315,-9.233220070522762,,
2,0.2234580814838409,-0.5749685168266296,-0.3010591864585876,0.265622466802597,-0.7200848460197449,-0.3672029078006744,0.3770483136177063,-0.9070802927017212,-0.4246705174446106,0.3755713105201721,-0.8149613738059998,-0.1932938694953918,0.2231320998243098,-0.5751045388326939,0.3702720334751759,-0.9146236348254216,0.3736171787648792,-0.8133090909541083,-9.080618337286372,9.156103994183376,
3,0.2196985036134719,-0.5736358165740967,-0.2974570989608764,0.2649634778499603,-0.7214345932006836,-0.3690262138843536,0.3762106299400329,-0.908539056777954,-0.437802106142044,0.3773847818374634,-0.816155195236206,-0.1897560507059097,0.2198183047703029,-0.5735644469383856,0.3729989325392613,-0.9103942955718856,0.3769813163332165,-0.8155636531925381,-8.866954184596267,12.819849161406331,0.001864309534770773
4,0.2154155373573303,-0.5732983350753784,-0.2917467057704925,0.2642790079116821,-0.7224869132041931,-0.3632180988788605,0.3760978579521179,-0.9056236147880554,-0.4414991736412048,0.379761129617691,-0.818254828453064,-0.1886903047561645,0.2169619218986384,-0.5721951050580085,0.3746943823147106,-0.9077644978488169,0.3797657514464834,-0.8174308517672443,-8.681475028939943,11.128749339379452,0.0009339896720524379
5,0.2144114673137664,-0.5700039267539978,-0.2715084254741668,0.2609179019927978,-0.7221790552139282,-0.3445776402950287,0.3734847903251648,-0.9071431756019592,-0.4398960769176483,0.3821730017662048,-0.8190122246742249,-0.1868990957736969,0.2146744740406723,-0.5710765021790353,0.3753570660383495,-0.9069003542110152,0.3818471676117262,-0.8188796377622058,-8.582685209298669,5.927389178476439,0.002434234454102248
6,0.2131789326667785,-0.569889485836029,-0.2681145071983337,0.2607622742652893,-0.7230867743492126,-0.3291414082050323,0.3735871911048889,-0.9088019132614136,-0.4311238825321197,0.3832702934741974,-0.8194370269775391,-0.1856523007154464,0.2129590634861703,-0.5702678814776814,0.3752689668585409,-0.9075489413596372,0.3832259641773424,-0.8199842139655024,-8.58541323544065,-0.1636815685188253,0.007294576947519974
7,0.2122848182916641,-0.5697762966156006,-0.2648825645446777,0.259451299905777,-0.7230808138847351,-0.3314581513404846,0.3735873699188232,-0.910646677017212,-0.4281825423240661,0.3838177621364593,-0.8201581239700317,-0.1852813959121704,0.2117330461086417,-0.5697872727121678,0.3748100947214729,-0.9092123524284876,0.3839984852939412,-0.8208683854639374,-8.66797621466853,-4.953778753672822,0.015645924796605516
8,0.2111416757106781,-0.5696575045585632,-0.2521430253982544,0.2592534720897674,-0.7232259511947632,-0.3084380626678467,0.373758465051651,-0.9122454524040222,-0.3915990591049194,0.3841051459312439,-0.8209089040756226,-0.1842869222164154,0.2108765628406394,-0.5696031423498134,0.3743008089080576,-0.9113424918082238,0.3843172576599838,-0.8216416608182777,-8.791235756688307,-7.395572521186651,0.016258072986826955
9,0.210924819111824,-0.56971675157547,-0.2643327414989471,0.2587999105453491,-0.7244129180908203,-0.3242544829845428,0.3741623163223266,-0.9140074849128724,-0.4053833186626434,0.3841478228569031,-0.8221924901008606,-0.1846287101507187,0.2102792272698642,-0.5696457332710534,0.3739282115066197,-0.9134870918273468,0.3843489158413202,-0.8223572803115803,-8.917771715905026,-7.59215755300314,0.009155138737513925
10,0.2096296697854995,-0.5700498223304749,-0.2688508927822113,0.2587166130542755,-0.7260173559188843,-0.3246816396713257,0.374132364988327,-0.9157278537750244,-0.404683381319046,0.3840194642543793,-0.8235517144203186,-0.1847786158323288,0.2098646631586515,-0.5698298961207089,0.3737500360730658,-0.9153606210060506,0.3842387247734286,-0.8230081685046918,-9.023359897111066,-6.335290872362371,0.0025845948135309804
