Frame #,body X,body Y,hand X,hand Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
22,363.3995361328125,1357.8109130859375,368.49407958984375,1867.096923828125,203.5,1191.5,203.63264078171895,1191.4316032032011,363.28639920086465,1357.7592163032416,368.318891832068,1867.146985573278,-1.5053992372645553,0.00014018909453197059,329.90766071536
23,363.365966796875,1357.7506103515625,368.4240417480469,1866.9864501953125,203.5,1191.5,203.49603356197207,1191.5722220709567,363.2847123823068,1357.7420117564338,368.322248123994,1867.1213466563752,-1.7889853477151971,0.00011328969315889224,329.8778442928981
24,363.2181396484375,1357.9044189453125,368.47991943359375,1866.98583984375,203.3600921630859,1191.8345947265625,203.3801118769511,1191.7098816975974,363.26875483721136,1357.7135852363424,368.28944031605704,1867.0896663173464,-1.9510133685651,7.434972745627264e-05,329.845327403422
25,363.1794738769531,1357.5220947265625,368.13433837890625,1866.9129638671875,203.28822326660156,1191.746826171875,203.29438647669937,1191.8293523843834,363.2356284310657,1357.6758360902902,368.210003374016,1867.0558414846817,-1.963612846127489,3.508356434490201e-05,329.8126005226532
26,363.1794738769531,1357.5220947265625,368.13433837890625,1866.9129638671875,203.28822326660156,1191.746826171875,203.24333641837248,1191.915682570001,363.18587697146745,1357.6332619120249,368.0875749282866,1867.0145918752876,-1.795319246280087,9.47939531030376e-06,329.7826785352152
27,363.1722717285156,1357.7203369140625,367.7278137207031,1867.2537841796875,203.2337951660156,1192.0462646484375,203.2272906816424,1191.9558800497634,363.1222206806747,1357.5899677092025,367.9363643540754,1866.9567375225913,-1.4327351520887532,1.2754652309139811e-05,329.75879961601373
28,363.1142883300781,1357.44287109375,368.0612182617187,1867.4013671875,203.2337951660156,1192.0462646484375,203.2431090273568,1191.9429842231416,363.04948215603906,1357.547968734115,367.7754264408649,1866.8797653708436,-0.909555129828732,5.53972380745353e-05,329.7436403638499
29,362.9498596191406,1357.583984375,367.4069213867187,1866.5064697265625,203.2337951660156,1192.0462646484375,203.28406206566993,1191.8822557719786,362.974604062314,1357.50781694433,367.62362370868686,1866.79561587675,-0.3219003734022863,0.00012578373886744251,329.73827535762655
30,362.7428588867187,1357.44287109375,367.4069213867187,1866.5064697265625,203.2337951660156,1192.0462646484375,203.33947669228735,1191.795379469516,362.9052799523177,1357.4703319592106,367.4955713159655,1866.7274988396823,0.1869487873818798,0.0001799170660310289,329.7413911707496
31,362.9130554199219,1357.5,367.4069213867187,1866.5064697265625,203.5,1191.5,203.39568684656217,1191.717520297686,362.8477944990778,1357.4382468956371,367.3987371761637,1866.6969649240953,0.4751552376023937,0.0001696314287830548,329.7493104247096
