Frame #,Shoulder Pink X,Shoulder Pink Y,Hand Pink X,Hand Pink Y,Elbow X,Elbow Y,Elbow X_smoothed,Elbow Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Shoulder Pink X_smoothed,Shoulder Pink Y_smoothed,angles,velocity,roughness
1.0,281.3952637,1049.418945,748.3499146,1227.391479,469.5758972,1214.870117,469.57609142977054,1214.870239379093,748.3505367176997,1227.3949350584385,281.3935308811166,1049.4203653678085,141.25054317970012,,
2.0,282.3588867,1048.343994,748.6230469,1227.317871,469.6959839,1214.888916,469.7796298009203,1214.6901634007418,748.5171972818102,1227.1523771994418,282.1833611737504,1048.7871517148972,141.1789807814113,-4.293743897329136,
3.0,283.5,1047.5,748.9429321,1226.810669,470.2373657,1214.237427,469.9872597341292,1214.5373228677092,748.68743184445,1226.9603616115442,282.93787924689553,1048.2570270491417,141.07390841889205,-6.304341751155107,0.0005614588513624443
4.0,283.58255,1047.181885,748.9263306,1226.122314,470.2652588,1214.116943,470.2056065467584,1214.4280970379273,748.8696576723075,1226.8504769601632,283.6410191126999,1047.8858280433733,140.9634827597801,-6.625539546716368,0.00044365475482334416
5.0,284.5456543,1047.802002,749.0737915,1226.761353,470.3566589,1214.328369,470.44244653368247,1214.3599581339386,749.0757898142375,1226.822775867703,284.30628351324805,1047.6537299815875,140.86327272260618,-6.012602230435391,0.00030088474016464216
6.0,284.7305603,1047.815796,748.6638794,1227.290039,470.5,1214.684448,470.7009712167137,1214.3129370387144,749.3119049848334,1226.846476429607,284.9691625461514,1047.4753805466803,140.7752903728295,-5.278940986601697,0.00024127593486912354
7.0,285.2696838,1047.5,749.4432983,1227.128662,470.651123,1214.314331,470.9721348962232,1214.2601726084904,749.5670715583136,1226.8769340532174,285.66769346905556,1047.2377629043187,140.6905218314718,-5.086112481460532,0.00012106235675554703
8.0,286.2432861,1047.140381,750.2026367,1226.691528,471.2808533,1214.069458,471.2320569860268,1214.1797699333024,749.8111488281802,1226.8783867853003,286.4214751210146,1046.844652448215,140.59469204016014,-5.749787478700341,0.00010403964767410655
9.0,287.4528198,1046.654053,750.2521362,1227.139648,472.0476074,1214.088623,471.4495703190295,1214.06081302557,750.0063025068571,1226.8391858490195,287.21983271444975,1046.24911315621,140.47548159043657,-7.152626983414052,0.00018352574913459553
10.0,287.6124268,1045.612427,750.1259766,1227.160156,471.6028137,1214.018677,471.6003202559349,1213.903750357429,750.1241706615785,1226.7752876122054,288.0239237232338,1045.4653441225262,140.32863796728776,-8.810617388928677,0.0006793162607157311
11.0,289.0625,1044.305176,750.0,1226.5,471.5138855,1213.694458,471.6765194942312,1213.7185609312078,750.1564109322264,1226.7228825510751,288.77992541636934,1044.5584726380036,140.16040488724238,-10.093984802722956,0.001207193158482255
12.0,289.8513489,1043.367065,750.5427246,1225.974365,471.6457214,1213.518555,471.68542146460715,1213.52153860463,750.1147577962274,1226.7206109107483,289.4377564878762,1043.6168321697053,139.98484270351065,-10.53373102390367,0.0011213432839519938
13.0,290.2448425,1042.22876,749.718811,1226.619995,471.6422729,1213.198364,471.64036139152097,1213.3301976320572,750.0241785834985,1226.7878408424338,289.96886455421713,1042.718045120375,139.8172069466999,-10.05814540864435,0.0005259408529779149
14.0,290.1118774,1041.70752,749.6859741,1227.279297,471.3767395,1213.260376,471.5521947714952,1213.1575128008624,749.9123508780914,1226.913423178174,290.37425178512984,1041.903356871141,139.667136747952,-9.004211924875563,0.00015650846928603844
15.0,290.0448303,1041.468994,749.7302246,1227.20752,471.1565857,1212.843384,471.4253405627125,1213.0076049855709,749.7985954772532,1227.063080593982,290.6781373568587,1041.1704708264765,139.5355190839996,-7.897059837143843,0.0003157394876477147
16.0,291.3179321,1040.734863,749.7285156,1227.218384,471.7902832,1212.83252,471.259995621299,1212.8740094842974,749.6879747682792,1227.1975367978582,290.91494236485283,1040.4849765995004,139.41613067126218,-7.163304764244458,0.0005582181790150924
17.0,291.3631897,1039.661865,749.6810913,1227.318848,471.1565857,1212.843384,471.0598019410382,1212.7409708596065,749.574065490835,1227.2877956276184,291.12237525381113,1039.8002138884865,139.29996899259524,-6.969700720016476,0.0004706874210268756
18.0,291.3612061,1039.299438,749.5629883,1227.437012,470.6859741,1212.498291,470.83910590826775,1212.5878358040964,749.4473812222093,1227.321903727952,291.34278237251095,1039.0736163833246,139.1792132638516,-7.245343724617896,0.00019154021418615948
19.0,291.5654297,1038.097778,749.2874756,1227.280029,470.6859741,1212.498291,470.623016862196,1212.3954534039715,749.3033185308515,1227.304956246261,291.623408103314,1038.2749203545038,139.04914168475548,-7.804294745767493,4.683005922015992e-05
20.0,291.7236633,1037.493164,749.2033081,1227.172974,470.2979431,1212.225342,470.4403581245164,1212.1527048974358,749.1456214581158,1227.2547941286025,292.0090748657091,1037.3884830799716,138.9080783920442,-8.463797562677655,0.00010254464147561668
21.0,292.6875,1036.448486,748.9598389,1227.190063,470.5,1211.959229,470.3147621819256,1211.86137622578,748.9849324613734,1227.1951509080886,292.5309333294629,1036.4129590291875,138.75617577827413,-9.114156826203724,0.00021481544216021996
22.0,293.1210938,1035.531738,748.7528076,1227.152832,469.7959595,1211.630859,470.25742863852395,1211.5374338826607,748.8341270805597,1227.1485857416294,293.19810032243026,1035.3595406891932,138.5938703150956,-9.738327790712448,0.00027545330948565964
23.0,293.5419617,1033.74939,748.543457,1227.085449,470.3132324,1211.013428,470.2630191620264,1211.2071291726595,748.7028330980199,1227.1310461963628,293.99493661375334,1034.248175078934,138.4207641541554,-10.386369656411604,0.0002879170606362125
24.0,295.2590027,1033.391357,748.71698,1226.936768,470.4427185,1210.869751,470.3110780621308,1210.898649506346,748.5939135728621,1227.1485315974512,294.8841814903769,1033.1022234018365,138.2354780554947,-11.11716591964182,0.00030082524857900564
25.0,295.6811218,1031.888062,748.4782715,1227.39563,470.4455566,1210.594116,470.3740749860708,1210.63287862006,748.503892180663,1227.1964186832492,295.81672775390723,1031.944739635334,138.03654656388133,-11.935889496801906,0.0003435854038676321
26.0,297.2002258,1031.001221,748.4414673,1227.276978,470.5474854,1210.36438,470.428302321212,1210.4171357841756,748.4266651388409,1227.2622314295368,296.74645424401206,1030.7981319080104,137.8238476430527,-12.76193524971859,0.00040179090551119214
27.0,297.5486755,1029.548706,748.392334,1227.363525,470.4450684,1210.087891,470.4617449249501,1210.243478914231,748.3580409547689,1227.3305161583282,297.6438938665713,1029.6842917331091,137.59973221939055,-13.446925419728473,0.00041921576159847175
