Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.3003976941108703,-0.4703800976276397,-0.3636635243892669,0.3534814417362213,-0.4525854885578155,-0.4525932669639587,0.3491527438163757,-0.4714386761188507,-0.5823363661766052,0.311841070652008,-0.5111269950866699,-0.8594383001327515,0.3535241478632168,-0.4525917022783898,0.3003932923072832,-0.4703728325382943,0.3118029486738271,-0.5110812941378685,324.00431551804235,,
2,0.3003976941108703,-0.4703800976276397,-0.3636635243892669,0.3534814417362213,-0.4525854885578155,-0.4525932669639587,0.3491527438163757,-0.4714386761188507,-0.5823363661766052,0.311841070652008,-0.5111269950866699,-0.8594383001327515,0.357848873195332,-0.4535175297791405,0.2979713882426063,-0.4712825137392789,0.3204335111251847,-0.5040196801187498,323.626010410164,-22.698306472701688,
3,0.2807128429412842,-0.4822589755058288,-0.8280079364776611,0.3449415564537048,-0.4559870660305023,-0.6144111752510071,0.3492103517055511,-0.4597021639347076,-0.5851003527641296,0.3010540604591369,-0.4957272708415985,-0.6732813119888306,0.3617919019687857,-0.4541902419837928,0.2964307220214116,-0.4719673946260856,0.3286294381875431,-0.4976288557394266,323.20550262070344,-25.230467367632627,0.0008905331663635355
4,0.2945597469806671,-0.471321702003479,-1.0050874948501587,0.3717572093009949,-0.4559865295886993,-0.6815351843833923,0.379099577665329,-0.4614335894584656,-0.5253198742866516,0.3384800553321838,-0.4944446980953216,-0.4695864021778106,0.3648407020445519,-0.454415900856837,0.2962653067033982,-0.4723575001020941,0.3356101485963399,-0.4925114126155187,322.78759436779416,-25.07449517455711,0.0005593721698914636
5,0.3055740594863891,-0.4680570960044861,-0.9561587572097778,0.3801864683628082,-0.4522604048252105,-0.6567181348800659,0.3964060842990875,-0.4569990336894989,-0.4193064570426941,0.3746777176856994,-0.4809890985488891,-0.2517735660076141,0.366470594647885,-0.4541000919838492,0.2974438389622388,-0.472566087894244,0.3403743676636916,-0.4890548672952456,322.3609481336072,-25.59877405121597,0.0004839275277164568
6,0.3019618391990661,-0.4686290919780731,-0.951540231704712,0.374767929315567,-0.4525493085384369,-0.610863208770752,0.3838256299495697,-0.4569413363933563,-0.4299686253070831,0.3517530560493469,-0.481118232011795,-0.3121254742145538,0.3665212705044358,-0.4532462039047412,0.2995598126284916,-0.4727386954256502,0.3423345855249119,-0.4872339680488731,322.08338954318253,-16.653515425481373,0.0039158308949375125
7,0.3011330664157867,-0.4696880578994751,-0.919289767742157,0.3593795895576477,-0.4525496661663055,-0.5749871134757996,0.3412510752677917,-0.4610652029514313,-0.4472702741622925,0.3198382258415222,-0.4916920065879822,-0.4096187353134155,0.3654456607651818,-0.4519282781258268,0.3021227641529589,-0.4728636124061298,0.3417851747513982,-0.4865303016211533,322.31340180569583,13.800735750797912,0.079714315078209
8,0.304098904132843,-0.4765624403953552,-0.8991718292236328,0.3575273752212524,-0.4515068829059601,-0.5746957063674927,0.3459685146808624,-0.4573055803775787,-0.4712331891059875,0.3416716158390045,-0.4854384362697601,-0.4820479154586792,0.3641431085866655,-0.4502743055678368,0.3047617741949329,-0.4727255902893709,0.3397037642244871,-0.4860849174570583,323.397217873303,65.02896405643128,0.41348126245206346
9,0.3092400431632995,-0.477392703294754,-0.894969642162323,0.3575104773044586,-0.4482404887676239,-0.5676460862159729,0.3424925208091736,-0.4559553265571594,-0.4218455255031585,0.3280187547206878,-0.4912479817867279,-0.3623514175415039,0.3634881859243525,-0.4484657865710504,0.3072793190330937,-0.4720537305063727,0.3371218755582373,-0.4850319719886697,325.46194005928714,123.88333115904744,1.079820354837016
10,0.3094276785850525,-0.4716772139072418,-0.993378221988678,0.3646427094936371,-0.4470948874950409,-0.6165576577186584,0.3581887483596802,-0.4540013670921325,-0.4441246688365936,0.334736555814743,-0.4844552874565124,-0.338510662317276,0.3639098474865029,-0.4467255087580133,0.3096287176235511,-0.4707431787265196,0.3346296603374055,-0.4828391367707858,328.4380806127677,178.56843320883286,1.7596960364854206
11,0.3117162585258484,-0.4685718715190887,-1.0393773317337036,0.366838276386261,-0.4441312849521637,-0.6304048299789429,0.3490791618824005,-0.4513088166713714,-0.4416677355766296,0.3335372805595398,-0.4829376935958862,-0.2979830801486969,0.3652574549689665,-0.4452751499708183,0.3118651090306734,-0.4689765415255904,0.3322732634729873,-0.4794996151796623,332.2147237646045,226.59858911020933,2.020575020940324
12,0.3119231164455414,-0.465543121099472,-1.057622313499451,0.3661951124668121,-0.4435076117515564,-0.6487512588500977,0.3443655669689178,-0.4498438835144043,-0.4377977252006531,0.3323326706886291,-0.4738236665725708,-0.2501122057437897,0.3669341429781805,-0.4442753206179809,0.3140732771191587,-0.4671674753055314,0.329761709964923,-0.4755092246905134,336.6797416920988,267.9010756496564,1.804055452650199
13,0.3177861273288727,-0.4636184275150299,-1.001775145530701,0.3696486055850982,-0.4431109130382538,-0.6269092559814453,0.343483030796051,-0.4458470642566681,-0.4479928612709045,0.3315868079662323,-0.4700376689434051,-0.3370504975318908,0.3681478405572564,-0.4437778507359308,0.3162874878864393,-0.4657858697559048,0.3267977821740523,-0.4716473344604863,341.6140104960839,296.05612823910633,1.3241527065569152
14,0.3161851763725281,-0.4642866551876068,-0.8804622292518616,0.3688642680644989,-0.4437403082847595,-0.5895680785179138,0.3429355323314667,-0.4397469758987427,-0.5003100633621216,0.3321965932846069,-0.460576057434082,-0.5178662538528442,0.3681637670767775,-0.4437168480273576,0.3184353331269834,-0.4651788828089388,0.3233496180819489,-0.4686558649972348,346.6677703206574,303.2255894744094,0.7517201907193112
15,0.3192688226699829,-0.465176910161972,-0.9979144334793092,0.3702939450740814,-0.4442432820796966,-0.6240300536155701,0.3401135802268982,-0.4413194060325622,-0.5025336146354675,0.3105306625366211,-0.46664759516716,-0.4663425087928772,0.3665123942940599,-0.4439469265636235,0.3203245916568675,-0.4654693671118846,0.3197132706105605,-0.4669643754267394,351.51860099831026,291.0498406591728,0.2688473983459894
16,0.3234457373619079,-0.4657681882381439,-1.080336332321167,0.369457483291626,-0.4467535316944122,-0.6610146760940552,0.3384080827236175,-0.4472628235816955,-0.509860634803772,0.3132449090480804,-0.4695408940315246,-0.461549311876297,0.363116588135425,-0.4443129439672262,0.3216791509597309,-0.4665544698102892,0.3163204353421809,-0.4665979905791763,212.01522155192183,-8370.202766783306,4166.240812719562
17,0.3218801617622375,-0.471173346042633,-0.988962471485138,0.3493393957614898,-0.4439514279365539,-0.6078869104385376,0.3162858188152313,-0.4472306370735168,-0.5227195024490356,0.3082109689712524,-0.470120370388031,-0.5845051407814026,0.3582781402393705,-0.4447161625095759,0.3222233531718581,-0.468182623310459,0.3134237339592671,-0.4672932270428039,129.74526392554267,-4936.197457582749,4434.645310590877
18,0.3242424130439758,-0.4702751338481903,-1.04587984085083,0.3509358167648315,-0.4431928098201751,-0.6439597010612488,0.3227662742137909,-0.4473781883716583,-0.512116014957428,0.3105099499225616,-0.4703578650951385,-0.4696097075939178,0.3525062549606611,-0.4451432512538743,0.3217912103174338,-0.47006289365046,0.3108966511751738,-0.4687033822160044,81.66062508256192,-2885.078330578845,3768.8974566266656
19,0.3234776556491852,-0.4716706871986389,-1.0276638269424438,0.3444590270519256,-0.4486121535301208,-0.6388805508613586,0.3156154453754425,-0.4471441209316253,-0.5505560636520386,0.3100486695766449,-0.4707006514072418,-0.5883234739303589,0.3462943735606383,-0.4456570317360495,0.3204119472760789,-0.4719528912975426,0.3082924979936361,-0.4705374234643354,53.89261835089313,-1666.0804039001275,3048.2015328496755
20,0.3147569596767425,-0.473411351442337,-1.030959963798523,0.3399274051189422,-0.4486779272556305,-0.6435229778289795,0.3095698356628418,-0.4474089741706848,-0.5608292818069458,0.3086932003498077,-0.4707556664943695,-0.601539134979248,0.3400086901877787,-0.4463708715422669,0.3183218289133209,-0.4736918687868342,0.3051249805348209,-0.4725639194686271,38.19815395569889,-941.6678637116544,2481.2773002437016
21,0.314595103263855,-0.4752616882324219,-1.0100330114364624,0.340189516544342,-0.4447472691535949,-0.6217994689941406,0.31297567486763,-0.4461084604263305,-0.5467197299003601,0.3091351985931396,-0.4689162373542785,-0.5843834280967712,0.3339478024164708,-0.4473995715914173,0.3158857060120218,-0.4751888079675736,0.3012168877807725,-0.4745222139070147,29.85106316250912,-500.82544759138625,882.6936588433207
22,0.3146431148052215,-0.4758971929550171,-1.04081130027771,0.332547515630722,-0.4447024762630462,-0.6382144093513489,0.2992453575134277,-0.453360766172409,-0.5374512672424316,0.303290992975235,-0.4763958752155304,-0.5658212304115295,0.3284815026015908,-0.4487604423869767,0.3134741512192608,-0.4763982391841213,0.2969283271547552,-0.4760482186453145,26.168290782955893,-220.96634277319367,316.77744179880955
23,0.3112721145153045,-0.477662980556488,-1.000572919845581,0.3234920501708984,-0.4458113610744476,-0.6082084774971008,0.278116375207901,-0.4584914743900299,-0.5575360059738159,0.2875321209430694,-0.4783192574977875,-0.6472562551498413,0.3241073323731021,-0.4502633003687757,0.3113681162209086,-0.4773044546058557,0.293100727330675,-0.476719482312033,25.421935275292743,-44.78133045978901,117.15353697688563
24,0.307732492685318,-0.4784108698368072,-0.9852843284606934,0.3128602504730224,-0.4562498927116394,-0.6121253967285156,0.2583065330982208,-0.4714077115058899,-0.5947524309158325,0.2791931331157684,-0.4832567572593689,-0.7004900574684143,0.3213190196112539,-0.4515010607536559,0.3097147312194415,-0.4779164307489113,0.290680101751007,-0.4762353111008641,26.20146874316219,46.772008072166926,44.33942885329191
25,0.3080686628818512,-0.4782255291938782,-0.8711508512496948,0.3138439953327179,-0.4548067152500152,-0.562038004398346,0.2641604542732239,-0.4662751257419586,-0.6101379990577698,0.2852157652378082,-0.4793422818183899,-0.8127426505088806,0.3203500290655414,-0.4520046298833573,0.308516150389861,-0.4782657971402393,0.2902088193825877,-0.4746168601823387,27.26688174459118,63.924780085739386,15.409504628410406
26,0.308134377002716,-0.478060632944107,-0.9281716346740724,0.3257591426372528,-0.4540677964687347,-0.5802762508392334,0.2826935052871704,-0.4429197311401367,-0.5017664432525635,0.2921370267868042,-0.4652526080608368,-0.5092449188232422,0.32100549360749,-0.451483560423477,0.3076509077846334,-0.478396979837523,0.2915132836866068,-0.4722560966422825,27.740361750438947,28.408800350865917,3.798951865077393
27,0.3082758784294128,-0.477944940328598,-0.969641089439392,0.3270615041255951,-0.4540090560913086,-0.5797950029373169,0.2898698449134826,-0.4396931827068329,-0.4982998371124267,0.2957004606723785,-0.4670371413230896,-0.5150406956672668,0.3227442100973847,-0.4499928698638641,0.3069397950973861,-0.4783463904379427,0.2937874618720192,-0.4697446556357912,27.270629767778612,-28.183918959620087,0.6254062597335804
28,0.3074564635753631,-0.4778240323066711,-0.9868191480636596,0.3267177641391754,-0.4432122409343719,-0.5856121182441711,0.2977448403835296,-0.4413611590862274,-0.4892042279243469,0.3039834499359131,-0.467581957578659,-0.4652058780193329,0.3249461353070085,-0.4479178750475754,0.3062371585681396,-0.4781210144528149,0.2959945769364469,-0.4675986051520067,25.96926210783046,-78.08205959688912,0.9553132991607491
29,0.3050827383995056,-0.4776872098445892,-0.939761221408844,0.3263295888900757,-0.4417409002780914,-0.5711904168128967,0.2958988845348358,-0.4425865709781647,-0.4957830905914306,0.3007290959358215,-0.4637115597724914,-0.5138514041900635,0.3271555508096981,-0.4457875624644218,0.3055011259704956,-0.4776908998888788,0.2973357404586342,-0.4660638422343799,24.229205668699123,-104.4033863478802,1.3808315464555008
30,0.3050785064697265,-0.4775671362876892,-0.950560748577118,0.328719288110733,-0.4408508241176605,-0.578149139881134,0.2984984219074249,-0.4432032704353332,-0.4631169438362121,0.2991473376750946,-0.4651411771774292,-0.404016762971878,0.3291697024358389,-0.4440378356205613,0.3048104669165134,-0.4770013344657021,0.2975444765359905,-0.4650840289729478,22.494810314600333,-104.06372124592744,0.9049449367296933
31,0.3041783273220062,-0.4754809737205505,-0.919281542301178,0.3326186537742615,-0.4469813406467438,-0.557721734046936,0.301021933555603,-0.4510385692119598,-0.4684531688690185,0.2930678725242615,-0.4656516313552856,-0.4664907455444336,0.3309994939502386,-0.4428821753757563,0.3043319628729126,-0.475998198652489,0.2968942396133806,-0.4644002349663448,21.059787837216064,-86.10134864305614,0.2708513815398728
32,0.3043164312839508,-0.4746767282485962,-0.9753501415252686,0.3326665163040161,-0.4448223710060119,-0.5904923677444458,0.2974982857704162,-0.4501715302467346,-0.4810692071914673,0.2934353947639465,-0.4659650027751922,-0.4483953714370727,0.3327789260467108,-0.4423535979336317,0.3042623908864381,-0.4746555175467725,0.2959725395606247,-0.4637211030886098,20.00577020125064,-63.24105815792535,0.0860218063209671
