Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Left_Hip (X)_smoothed_smoothed,Left_Hip (Y)_smoothed_smoothed,Left_Knee (X)_smoothed_smoothed,Left_Knee (Y)_smoothed_smoothed,Nose (X)_smoothed_smoothed,Nose (Y)_smoothed_smoothed,angles,velocity,roughness
11,0.5701202750205994,-0.678473711013794,0.0875804349780082,0.4770928919315338,-0.6775833964347839,-0.037796251475811,0.5756582617759705,-0.5684259533882141,0.0146231036633253,0.4794223308563232,-0.5703003406524658,-0.015104035846889,0.5159896612167358,-0.3895176649093628,0.2129031717777252,0.4794015490299637,-0.5703158992370864,0.4770872836302186,-0.6776353215421659,0.5160184236694143,-0.3893905724587193,0.4794180012160647,-0.570296299610164,0.4771438563334109,-0.6776623449173268,0.5158737029135826,-0.3895754933692886,190.2114923424367,-0.8013225224061671,0.0005228315378914955
12,0.5701179504394531,-0.6784798502922058,0.0894021242856979,0.4770875573158264,-0.6775864958763123,-0.0369694605469703,0.5756662487983704,-0.5684291124343872,0.0148938214406371,0.4794465899467468,-0.5703092217445374,-0.0153821166604757,0.5162543654441833,-0.389497697353363,0.214207038283348,0.479430198266179,-0.5703437815223563,0.4770766696889477,-0.6776313665099065,0.516212322647142,-0.389405653536328,0.4794213483678119,-0.57030979857154,0.4771158695992588,-0.6776499755012749,0.5159995566574459,-0.3895052503488978,190.209537507238,-0.1172901119230118,0.00046468382798313417
13,0.5701161026954651,-0.6785183548927307,0.1027085036039352,0.4770728647708893,-0.6776041388511658,-0.030686667189002,0.5756035447120667,-0.5684715509414673,0.016110910102725,0.479450523853302,-0.5703449845314026,-0.0166188236325979,0.5164045095443726,-0.3894231617450714,0.2089098840951919,0.4794609828918732,-0.5703604048226689,0.4770611246326223,-0.677651196257873,0.5164028645414269,-0.3893994717407595,0.4794364373213789,-0.5703260962331788,0.4770933187892995,-0.677650437819227,0.5161540208143334,-0.3894631751274077,190.2157850747309,0.3748540495735142,0.0003622015753542643
14,0.570139467716217,-0.678573727607727,0.1024559810757637,0.4770525395870209,-0.6777029037475586,-0.0252053197473287,0.5755080580711365,-0.5684765577316284,0.0159141514450311,0.4794575870037079,-0.5703509449958801,-0.0164312589913606,0.5166105628013611,-0.3893947601318359,0.2059082239866256,0.4794898600801739,-0.5703693138109304,0.4770329647470628,-0.6776941389560209,0.5165836672293385,-0.3893563190949447,0.4794576839064977,-0.5703414409488332,0.4770689661110232,-0.6776678738658612,0.516322525408863,-0.3894219844773607,190.22632789887743,0.6325694487924238,0.00023028170196593827
15,0.570171594619751,-0.6785820722579956,0.1039624586701393,0.4770236015319824,-0.6777388453483582,-0.021732872352004,0.5754157304763794,-0.5684892535209656,0.0157869718968868,0.4795011878013611,-0.5703594088554382,-0.0163091272115707,0.5167595148086548,-0.3893178403377533,0.2046126872301101,0.4795128407856182,-0.5703735576706895,0.4769886436461717,-0.6777525311820667,0.51675341735409,-0.3892787650291087,0.479480009868148,-0.570354007797748,0.4770369286446371,-0.6777016954719262,0.516494424769247,-0.3893665069322067,190.23765120927297,0.6793986237323679,0.00010695053804216957
16,0.5701855421066284,-0.6786020398139954,0.1038073822855949,0.4769671261310577,-0.6778541207313538,-0.0201422683894634,0.5752139687538147,-0.5685058832168579,0.0152392489835619,0.4795234501361847,-0.5703846216201782,-0.01576385833323,0.5169788599014282,-0.3891381025314331,0.2018005102872848,0.479525134371394,-0.5703748230095154,0.4769297736153938,-0.6778142563972539,0.5169156885534444,-0.3891821007365151,0.47949845518045,-0.5703630420029372,0.4769942958502804,-0.6777466924211148,0.516664185386802,-0.3892941606557222,190.24795014339347,0.6179360472299322,3.0613943357227403e-05
17,0.5701744556427002,-0.678609311580658,0.1053147539496421,0.476816862821579,-0.6778908967971802,-0.0182698424905538,0.5751484632492065,-0.5685058832168579,0.0151806864887475,0.4795251786708832,-0.5703867673873901,-0.0157048813998699,0.5170202851295471,-0.3889643847942352,0.1846420466899871,0.4795213101735829,-0.5703736986974156,0.4768625686697536,-0.6778662166842788,0.5170773482584838,-0.389086425914854,0.4795079478768396,-0.5703683419430072,0.4769418414646143,-0.6777944903939085,0.5168312680421528,-0.3892118495031401,190.25807763201385,0.6076493172230357,3.95148150003059e-06
18,0.5701608657836914,-0.6786134839057922,0.1040910258889198,0.4767807126045227,-0.6778926253318787,-0.0166653972119092,0.5750570297241211,-0.5685009360313416,0.0137844691053032,0.4794986248016357,-0.570384681224823,-0.014307384379208,0.5171732306480408,-0.3889144361019134,0.1815842390060424,0.4794963572247631,-0.5703704654819611,0.4767957047859573,-0.6778974847517787,0.5172456583142803,-0.3890086108849054,0.4795035342020268,-0.5703701015404535,0.476883557327646,-0.6778356884339108,0.516998611195427,-0.3891307598556545,190.27163417424023,0.8133925335829417,1.9895057519330775e-06
19,0.57015460729599,-0.6786224842071533,0.1035606488585472,0.476716548204422,-0.6778987646102905,-0.0177644491195678,0.574840784072876,-0.5684807896614075,0.0125955706462264,0.4794681072235107,-0.5703549981117249,-0.0131125003099441,0.5174405574798584,-0.3889883458614349,0.176692396402359,0.4794471204630934,-0.5703657341706763,0.476737469251577,-0.6779013545885778,0.5174250898311982,-0.388957087322449,0.4794810556032784,-0.570368926480106,0.4768252062428855,-0.6778619616718508,0.5171701949920634,-0.3890611209452818,190.2940695483628,1.3461224473547873,2.6547765560946964e-05
20,0.5701586008071899,-0.6786264777183533,0.0989391431212425,0.4767079651355743,-0.6778753399848938,-0.0180031396448612,0.5745565295219421,-0.5684792995452881,0.0100902905687689,0.4794252216815948,-0.5703567266464233,-0.0105998422950506,0.5176634788513184,-0.3889912962913513,0.1658378988504409,0.4793735468797411,-0.5703605542118144,0.4766934517582155,-0.6778762991915388,0.5176154038389366,-0.3889313374670663,0.479438039275787,-0.5703657958919204,0.4767725165822403,-0.6778677049924212,0.5173486531664719,-0.3890088827384614,190.331102670463,2.2219873260110035,0.00013014423292675227
