Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.2340826690196991,-0.5773522257804871,-0.4085299372673034,0.2820099890232086,-0.7282962203025818,-0.447458416223526,0.4385742545127868,-0.9166138768196106,-0.4602051377296448,0.3654904067516327,-0.807996392250061,-0.1870445013046264,0.2340836902639195,-0.5773434232900507,0.4385776347570371,-0.9166013483535342,0.3654918883603293,-0.8079959904796588,1.409059870145967,,
2,0.2260642796754837,-0.5773616433143616,-0.3929138779640198,0.2815585434436798,-0.7276516556739807,-0.4349332451820373,0.4406932890415191,-0.916908323764801,-0.4683313071727752,0.3666730225086212,-0.8094483017921448,-0.1886689215898513,0.228559204575299,-0.5773419727073612,0.4402897975294786,-0.916524311858296,0.3669616472212614,-0.8090441847397891,1.2945928773755042,-6.868019566227761,
3,0.221083328127861,-0.5773602724075317,-0.3809881806373596,0.2812252640724182,-0.7271372079849243,-0.4298641085624695,0.4424137771129608,-0.9166333079338074,-0.4705291092395782,0.3671519160270691,-0.8100835084915161,-0.1911582499742508,0.2236749301561134,-0.5773615639364766,0.4418644166061943,-0.916432720090232,0.3684250233096014,-0.8100127650145467,1.125574068243365,-10.14112854792835,0.0014879503341790378
4,0.2183129042387008,-0.5774027109146118,-0.3683964908123016,0.2809391021728515,-0.7268698215484619,-0.4200482666492462,0.4433834850788116,-0.91623055934906,-0.4653058350086212,0.3695864677429199,-0.8111960887908936,-0.1911691576242447,0.2198762943620642,-0.5774178293155505,0.4431950222662018,-0.9163237927502832,0.3698487232678926,-0.8108481868135998,0.9404991036871924,-11.10449787337036,0.0013698644125084022
5,0.2176373749971389,-0.5773172378540039,-0.372629314661026,0.2783973515033722,-0.7260415554046631,-0.421037882566452,0.4437186121940613,-0.9159026741981506,-0.4725776612758636,0.3719715774059295,-0.8114901781082153,-0.1913694739341735,0.2173133915527358,-0.5775107150682052,0.4442183563036556,-0.91620079026988,0.3711725598652959,-0.8115368224232941,0.7632423505559188,-10.635405187876412,0.0010242273860363138
6,0.2170113623142242,-0.5773892998695374,-0.3741602003574371,0.2778469324111938,-0.7260512709617615,-0.4236496984958648,0.4447456002235412,-0.9159086346626282,-0.4742712378501892,0.3734444379806518,-0.8123298287391663,-0.1915602385997772,0.21586665831821,-0.5776170351194853,0.4449086377381937,-0.9160626768738628,0.3723418799483591,-0.8121051836742311,0.6070052671651984,-9.374225003443224,0.0007736145760951912
7,0.2162731438875198,-0.5775781273841858,-0.3816318809986114,0.2777752876281738,-0.7261235117912292,-0.4344171285629272,0.4452157020568847,-0.9159027934074402,-0.4838469326496124,0.3738863170146942,-0.8126378655433655,-0.1926277130842209,0.2152577034260931,-0.5776884067417802,0.4452648818336132,-0.9158960528646172,0.3733481540103274,-0.8126070561960129,0.4761243766949073,-7.852853428217467,0.00045043831800568147
8,0.2154996395111084,-0.5776760578155518,-0.3999671936035156,0.277787297964096,-0.7263364195823669,-0.453250914812088,0.445478081703186,-0.9158273935317992,-0.5029035806655884,0.3738012015819549,-0.8127020001411438,-0.193929523229599,0.21517358299017,-0.5776587699955296,0.4453053217183402,-0.9156763737527582,0.3742419776666537,-0.8131009027520038,0.3674907794783052,-6.5180158329961255,0.0010189341640235519
9,0.2156008332967758,-0.5776764750480652,-0.4056217074394226,0.2777958214282989,-0.726966142654419,-0.4606341123580932,0.4454623460769653,-0.9157602787017822,-0.5080965161323547,0.3741726875305176,-0.8128581643104553,-0.1942543536424636,0.2153519880752322,-0.5774623621740256,0.4450716990834171,-0.915376842167886,0.3751040821263896,-0.8136234366830307,0.2732767136936462,-5.652843947079541,0.001150048835382887
10,0.2155551463365554,-0.5775015950202942,-0.4033163785934448,0.2777584493160248,-0.7270275950431824,-0.4600843489170074,0.4451338052749634,-0.914338231086731,-0.509513795375824,0.3753340542316437,-0.8143425583839417,-0.1981556266546249,0.2156144415363999,-0.577057351297248,0.4446345016027734,-0.9149774539832614,0.3759940190278137,-0.8141706665056746,0.1851911653022988,-5.285132903480845,0.0007869529083529204
