Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
1.0,343.3418884,1220.777832,429.0,1698.0,400.2113953,1060.788574,499.2690735,1236.646606,521.0,1009.809509,499.28082440401346,1236.64295330673,520.998014451776,1009.8095399314202,429.00351111027305,1697.991616029028,176.8075780403788,,
2.0,347.5,1221.5,430.894165,1698.105835,404.2113953,1060.788574,503.3721008,1236.418579,522.0,1013.0,502.9269794371391,1236.5277041986974,523.9633378101706,1010.5045701802856,430.8098969693569,1697.951471057666,176.65825105122497,-8.959619349229229,
3.0,347.5,1221.5,430.894165,1698.105835,407.1360474,1061.074829,506.0270386,1236.418945,522.0,1013.0,506.5637680394784,1236.3762676335266,526.882743400074,1011.050725433862,432.64392864873616,1697.8503218279116,176.41588175977145,-14.54215748721083,0.004328435008613761
4.0,357.5,1223.5,434.7333374,1697.542847,411.1136475,1060.95459,510.3059387,1236.305908,532.3650513,1010.476196,510.1705302389004,1236.1561089467702,529.6279182228483,1011.3766736514016,434.4940411912851,1697.6415686500657,176.10335928920952,-18.751348233715817,0.006701850618044965
5.0,361.5,1223.5,436.4311218,1697.391113,414.7106934,1060.836426,513.5,1235.5,532.3650513,1010.476196,513.7176325776784,1235.8392151997868,532.0155394181096,1011.501344157307,436.2974332359811,1697.2966503682624,175.71759786339192,-23.14568554905634,0.010169799609435317
6.0,366.1594238,1223.710205,438.5,1696.5,418.8639526,1060.489746,517.5,1235.5,536.9781494,1011.0,517.1686687624732,1235.4043829504942,533.9205671520277,1011.4830304731922,437.9616830033509,1696.8026897342006,175.24557917040474,-28.321121579230635,0.015589286988417756
7.0,370.0,1223.666626,439.8251343,1696.415283,421.4833374,1060.599976,520.5,1235.0,536.9781494,1011.0,520.4873053553806,1234.841118775444,535.3955453157735,1011.3595891160822,439.4043702661003,1696.1570183610174,174.68644915109556,-33.54780115855078,0.015763131011465495
8.0,373.5,1223.5,440.7106934,1694.836426,424.5,1059.5,523.730896,1234.353394,536.9781494,1011.0,523.6440849074836,1234.1556638134605,536.7046871771121,1011.1231681488832,440.5849628986121,1695.3633747149431,174.0688181185082,-37.057861955241265,0.015409185615978604
9.0,376.0,1222.5,441.6256409,1694.420532,427.5,1058.5,526.6466064,1233.269043,536.9781494,1011.0,526.6180779986591,1233.375572583132,538.2378761511759,1010.735365826449,441.51359876057813,1694.4331312052486,173.4530360927329,-36.94692154651818,0.010013222299321674
10.0,376.0,1222.5,441.6256409,1694.420532,430.5,1057.758301,529.269104,1232.646606,536.9781494,1011.0,529.3921768378156,1232.548230116952,540.3357853598519,1010.1669997625788,442.2369478892016,1693.393416242934,172.9150189007513,-32.2810315188957,0.0036640878013704924
