Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.1712620109319687,-0.5098739266395569,-0.5301657915115356,0.1656634658575058,-0.676916778087616,-0.560540497303009,0.3588306307792663,-0.7988008856773376,-0.4395391941070556,0.3021889925003052,-0.74754399061203,-0.2399862855672836,4.1418881937683025,0.1712595683751828,-0.5098751617752001,0.3588344410895328,-0.7988093592161595,0.3021869772133117,-0.747548311165117,4.14234028032005,,
2,0.1718241870403289,-0.5079402923583984,-0.4637508690357208,0.1648513525724411,-0.6693127155303955,-0.4991480410099029,0.1920351982116699,-0.8643258810043335,-0.4458711743354797,0.302079439163208,-0.7476125955581665,-0.2173395603895187,-25.277025134421436,0.1707684599407543,-0.5090363494490739,0.2859912809435402,-0.8300110441655644,0.3007667869470609,-0.7485383701524378,-1.012784170348483,-309.30746704011193,
3,0.1719181388616562,-0.5079348683357239,-0.4822914898395538,0.1787608712911605,-0.6916269063949585,-0.5052181482315063,0.1808394938707351,-0.8812639117240906,-0.4409512281417846,0.3011955618858337,-0.7498001456260681,-0.2086008042097091,-26.75566036669212,0.1699744549619269,-0.5084045929389396,0.2239951408626184,-0.8563599868377793,0.2992452410205414,-0.7494897210407908,-8.357896243939004,-440.70672441543127,2.398022894275751
4,0.1706985235214233,-0.5078356862068176,-0.4659676551818847,0.1699061691761016,-0.6841571927070618,-0.4767149686813354,0.1693663001060485,-0.8796661496162415,-0.4134279191493988,0.2979293763637543,-0.750581681728363,-0.20132976770401,-27.865737967279436,0.168692294315907,-0.5081246108560306,0.179762185199343,-0.8747773581202788,0.2975958116183421,-0.7503610611061947,-15.53068155509284,-430.3671186692302,1.4827829415896174
5,0.1655388474464416,-0.507859468460083,-0.4748929142951965,0.1639658957719802,-0.6795908808708191,-0.4905166625976562,0.1668949723243713,-0.8802222013473511,-0.4471862614154815,0.2945588529109955,-0.7511292695999146,-0.1995352208614349,-27.73091914214623,0.166909646803497,-0.5082421745993189,0.1546405696766191,-0.8847193336776888,0.2958859019995357,-0.7511205036506973,-21.2529329450146,-343.33508339530556,1.1630046725005991
6,0.1633648723363876,-0.5086896419525146,-0.4801391661167145,0.1615357249975204,-0.6767600178718567,-0.4980759918689728,0.1640490293502807,-0.8790246248245239,-0.4620724320411682,0.293275237083435,-0.7519026398658752,-0.2004658430814743,-28.002715303497116,0.1647551137296067,-0.5087055740650943,0.1454217868800285,-0.8877465618970519,0.294233339787194,-0.751759336830521,-25.137664087122275,-233.08386852646052,2.0865986149561033
7,0.1616252213716507,-0.5100177526473999,-0.4823765456676483,0.1582119464874267,-0.6759349703788757,-0.5027517676353455,0.1605191230773925,-0.8787078857421875,-0.4731496572494507,0.2925605475902557,-0.7526411414146423,-0.1992496997117996,-28.526070114787487,0.1624121932653893,-0.5093960488636776,0.1466575925958709,-0.8864468284976081,0.2927417271824419,-0.7523000848192845,-27.325922168034836,-131.29548485475368,4.8867611702635605
8,0.1600836664438247,-0.5106026530265808,-0.4850797355175018,0.1567576676607132,-0.675105631351471,-0.5054760575294495,0.1613485068082809,-0.8786078691482544,-0.4892109036445617,0.2920405864715576,-0.7527624368667603,-0.1985706090927124,-28.389780130631287,0.1600451782666929,-0.5101723170582209,0.1528506332292282,-0.8833752565137221,0.2914633304088828,-0.7527944669216536,-28.21432634460978,-53.304250594496665,6.501579569224247
9,0.1590295881032943,-0.511012613773346,-0.4863947629928589,0.1551932990550995,-0.6737335920333862,-0.507168173789978,0.1633526980876922,-0.8787907361984253,-0.4977130591869354,0.2904154360294342,-0.753239095211029,-0.1972107142210006,-27.80234520261243,0.1577776602314476,-0.5109106949234277,0.1598057667392051,-0.8803874498396075,0.2904023963866005,-0.753310196796731,-28.276602975620303,-3.7365978606313632,5.231302058168877
10,0.1562520712614059,-0.5112181305885315,-0.4868219494819641,0.1545038223266601,-0.6734967827796936,-0.5076845288276672,0.1642202883958816,-0.8788617849349976,-0.4973469376564026,0.2895673215389251,-0.7536667585372925,-0.1960889995098114,-27.56345898021503,0.1557112542390203,-0.5115259561248401,0.1650780959022157,-0.8784296109455074,0.2895383055060833,-0.7539082561086108,-27.94279696232595,20.028360797661193,2.958330043838554
