Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder X,Shoulder Y,Elbow X,Elbow Y,Shoulder X_smoothed,Shoulder Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
44.0,577.387207,1445.225586,716.6175537,1241.329834,663.5968018,996.37323,616.4436646,1211.971802,663.528597245344,996.3400067538142,577.3173997367671,1445.2499708932382,716.6113764441063,1241.3849290689318,23.13541408652451,-1.6616829939900413,4.221593706569552e-05
45.0,577.3795166,1445.310181,716.5,1241.5,663.5316772,996.2781372,616.5,1212.146362,663.3853904411341,996.3190811445138,577.59988192359,1445.309703335249,716.569936384016,1241.4253013930154,23.10497724961728,-1.8262102144336725,2.999811820683287e-05
46.0,578.0,1445.5,716.5,1241.5,663.1091919,996.2416992,616.5563354,1211.971802,663.2352527764144,996.3014492981612,577.9298414438424,1445.373738782222,716.537110283998,1241.4568976830533,23.071822357135247,-1.9892935489220775,2.275892611663707e-05
47.0,578.3795166,1445.310181,716.5,1241.5,663.1091919,996.2416992,616.8369141,1212.148682,663.0954325339527,996.2934004309824,578.2888553339063,1445.4318416491983,716.5017874709741,1241.469720127257,23.035659038820008,-2.1697990989143534,2.033071886684923e-05
48.0,578.7266846,1445.569946,716.5,1241.5,662.8719482,996.3521729,617.4436646,1211.971802,662.982085342931,996.2965846245376,578.6547037386854,1445.4759243754322,716.4538378091006,1241.4605050942173,22.99604496474149,-2.376844444711068,2.1910125490989743e-05
49.0,578.7266846,1445.569946,716.5,1241.5,662.8719482,996.3521729,617.5,1212.146362,662.9048533973684,996.3088369797276,579.0043844125545,1445.5021322099844,716.3882205071819,1241.4334179150817,22.952906135088643,-2.588329779170806,2.545913735852529e-05
50.0,579.4326782,1445.394287,716.3533936,1241.269043,662.8590698,996.293335,617.5,1212.146362,662.8644153469345,996.3262747164548,579.3157815407586,1445.511587656173,716.3086198573591,1241.3977961058504,22.907285203369913,-2.7372559031238097,2.5526589242728584e-05
51.0,579.6470337,1445.598022,716.2756958,1241.250977,662.8590698,996.293335,617.4436646,1211.971802,662.853715327505,996.3449970975914,579.5697896406685,1445.5097049183164,716.2280253403762,1241.3639031922935,22.861828777493496,-2.727385552584991,1.6528611669222798e-05
52.0,579.6975708,1445.604858,716.1589355,1241.453491,662.9277954,996.416687,617.3763428,1212.331177,662.8619405464894,996.3621015850608,579.7544379386966,1445.504287831727,716.164802775049,1241.339089199479,22.820491183657072,-2.4802556301854395,6.786259590099373e-06
53.0,580.0232544,1445.317871,715.7710571,1241.296265,662.9277954,996.416687,617.3763428,1212.331177,662.8793503815803,996.3768582790192,579.8694074181367,1445.502619274917,716.1350433885161,1241.326712809089,22.78733832862316,-1.9891713020346913,2.6182789319878634e-05
