Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder X,Shoulder Y,Elbow X,Elbow Y,Shoulder X_smoothed,Shoulder Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
1.0,513.4393921,1422.477295,725.8225098,1234.593018,596.727417,1191.474121,593.375,1192.53125,596.7274301094811,1191.4740153631178,725.8222748864978,1234.5934522568912,513.4394457372515,1422.4779593978276,268.64336001872306,,
2.0,513.4393921,1422.477295,725.8225098,1234.593018,596.5614624,1191.1698,593.375,1192.53125,596.628158751619,1191.4069378506658,725.8239787145028,1234.5663414370576,513.2762459667543,1422.4116082849896,268.6387664570802,-0.2756136985726698,
3.0,512.9724121,1422.273193,725.8225098,1234.593018,596.5038452,1191.225586,593.375,1192.53125,596.5546404195072,1191.3489152090565,725.7955284782633,1234.5672558833212,513.1476992177696,1422.3284546902837,268.63738325699984,-0.0829920048204257,5.15321068110879e-06
4.0,512.9724121,1422.273193,725.8225098,1234.593018,596.5,1191.28418,593.375,1192.53125,596.524949189063,1191.3023137099726,725.7157951517773,1234.617276578422,513.0801373237603,1422.2168543995374,268.64924987220513,0.7119969123175451,7.613357472310789e-05
5.0,512.9724121,1422.273193,725.7729492,1234.32373,596.3141479,1191.444458,593.375,1192.53125,596.5440925212635,1191.262148060477,725.5802363522188,1234.72280155871,513.0842854463133,1422.0746071983128,268.6833418203405,2.0455168881221653,0.0003088184733267382
6.0,513.0484009,1421.983887,725.6224976,1234.726929,596.6691895,1191.342163,593.375,1192.53125,596.6029414628524,1191.2210379602268,725.4043512768242,1234.8704455773604,513.1522552112375,1421.9110656383973,268.74348058485407,3.608325870814042,0.0007344842449659625
7.0,513.5,1421.5,724.8830566,1235.374268,596.84021,1191.058716,599.0,1193.0,596.6825207099315,1191.17450556949,725.2196126334792,1235.0295193602265,513.2614421644527,1421.7446991136107,268.8255322958122,4.923102657487561,0.0011694623228692563
8.0,513.5,1421.5,724.8830566,1235.374268,596.84021,1191.058716,599.0,1193.0,596.7622131663267,1191.1222067117685,725.0615268749884,1235.1639669882086,513.3840152599624,1421.59585807059,268.9182963205967,5.565841487070884,0.0011187415467039013
9.0,513.5,1421.5,724.8830566,1235.374268,596.84021,1191.058716,594.0,1193.0,596.8273508892639,1191.0658672953327,724.9556598188984,1235.2471461677733,513.4967585351726,1421.478957658662,269.00791792844484,5.3772964708878135,0.000605014292547738
10.0,513.5,1421.5,725.0,1235.0,596.84021,1191.058716,594.0,1193.0,596.8721486904071,1191.0076520382186,724.9098026359236,1235.2695823444512,513.5860795768647,1421.399090989085,269.0828171107737,4.493950939731803,0.00017003428401860348
