Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
12,0.1669469475746154,-0.5000409483909607,-0.4337494969367981,0.1631525456905365,-0.6641464829444885,-0.4777487218379974,0.1588471084833145,-0.8638842105865479,-0.5291756987571716,0.2873803973197937,-0.7527048587799072,-0.2000053226947784,-26.76032623924526,0.1667177948042056,-0.5001457560044108,0.1587814710633762,-0.863706176476875,0.2873856984555125,-0.752701646381501,-26.762102787190233,-1.0518101150898218,0.0019329642025123904
13,0.1667895019054412,-0.5001842379570007,-0.4332018196582794,0.1631563752889633,-0.6641482710838318,-0.4771505296230316,0.1587342619895935,-0.8638626337051392,-0.5261351466178894,0.2873590886592865,-0.7527357935905457,-0.1992934197187423,-26.788938548564587,0.1664580901858108,-0.5003330107362771,0.1586035354815367,-0.8638448309396144,0.2872667858679051,-0.7528785922767525,-26.778298533291753,-0.9717447660911916,0.0006183406818838442
14,0.1662830263376236,-0.5004964470863342,-0.4331987202167511,0.1630079597234726,-0.6643742918968201,-0.4745337665081024,0.1587414592504501,-0.8638542890548706,-0.5080476403236389,0.2871833443641662,-0.7529611587524414,-0.1984709799289703,-26.777846383334236,0.1661092188294322,-0.5005544414735573,0.1585442154308968,-0.8640720812009274,0.2871672003342172,-0.7530342785567606,-26.79048996693009,-0.7314860183001315,0.00010248353204142757
15,0.16572867333889,-0.5008795857429504,-0.4336403906345367,0.1627795845270156,-0.6646727919578552,-0.475343257188797,0.1587153375148773,-0.8638379573822021,-0.5136605501174927,0.2870700657367706,-0.7532341480255127,-0.198528915643692,-26.78693755001214,0.1656862512741156,-0.5008103113283081,0.1585273838605585,-0.8643321705043938,0.2870628663821813,-0.7531855710831294,-26.799418219553132,-0.5356951573826052,1.269341410686763e-05
16,0.1650071740150451,-0.5012177228927612,-0.430159717798233,0.1627605259418487,-0.6651586890220642,-0.471263974905014,0.15863898396492,-0.8652700185775757,-0.5110732913017273,0.2868993580341339,-0.7532893419265747,-0.1983662992715835,-26.808777838581666,0.1652358294366856,-0.5010936055283978,0.1584962312405811,-0.8645632237283255,0.2869431535837978,-0.7533422757333119,-26.807290392245815,-0.4723303615609353,1.8305257069422578e-05
17,0.1646104007959365,-0.5014582276344299,-0.4297679364681244,0.1627489328384399,-0.665213942527771,-0.4717319309711456,0.1584109514951706,-0.8649240732192993,-0.5128695964813232,0.2868564426898956,-0.7534980773925781,-0.1982355862855911,-26.8517907649766,0.1648160091770897,-0.5013942200316983,0.1584222388379973,-0.8647132836058327,0.2868083606045811,-0.753505850562617,-26.81626111995082,-0.5382436623003173,1.161674945579096e-05
18,0.1643268913030624,-0.5015878081321716,-0.4301182329654693,0.162555456161499,-0.6652500629425049,-0.4720476865768432,0.158272385597229,-0.8648943305015564,-0.5126784443855286,0.2867012619972229,-0.7535895705223083,-0.1984957307577133,-26.85638167550711,0.1644750891618185,-0.5017012079990207,0.1583028431699665,-0.8647573620205777,0.2866664920806282,-0.7536703539619529,-26.827699035815584,-0.6862749518858635,3.3834492318932886e-06
19,0.1642251163721084,-0.5017783641815186,-0.4305512011051178,0.1625455468893051,-0.6652555465698242,-0.4722612202167511,0.157928928732872,-0.8645314574241638,-0.5147705674171448,0.2864668071269989,-0.7538829445838928,-0.198675662279129,-26.86240799385584,0.1642381456052186,-0.5020014004596796,0.15815155342339,-0.8647036126554984,0.286529696368965,-0.7538251048741675,-26.84210371925733,-0.8642810065047968,6.920922972098056e-06
20,0.1641187965869903,-0.5023027658462524,-0.435161143541336,0.1625491231679916,-0.6656453013420105,-0.4724290668964386,0.1579251289367675,-0.8644956946372986,-0.5076239109039307,0.286337286233902,-0.7540774941444397,-0.1987127512693405,-26.87292120769372,0.1641046284945801,-0.5022774555143111,0.1579864373102629,-0.8645847161197846,0.2864101910243954,-0.7539590814633367,-26.859279526245057,-1.0305484192635816,1.4774755188444048e-05
21,0.1641027778387069,-0.5026651620864868,-0.4355159699916839,0.162584587931633,-0.6657399535179138,-0.4712985157966614,0.1578540802001953,-0.864310622215271,-0.491259753704071,0.2863371968269348,-0.7540829181671143,-0.1988408714532852,-26.91800646063379,0.1640547122214815,-0.5025100641262623,0.1578226190891568,-0.8644417341250256,0.2863164223606654,-0.754065797631415,-26.878473821968512,-1.1516577434073128,1.7201995131375036e-05
