Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.0,726.8201904,1275.5,518.8139038,1395.294434,590.9215698,1210.121948,662.2547607,1011.270996,590.9198564556399,1210.1223397208305,518.8060860220221,1395.2972546569574,726.820013287933,1275.5004672296404,85.58669727883608,,
2.0,726.5,1275.5,512.9968262,1396.386841,589.3313599,1210.052979,661.3634644,1011.645935,589.5933787361105,1210.0393253431848,512.8851725745984,1396.207984677511,726.7231007734151,1275.4228443622403,86.11265817756097,31.557653923493376,
3.0,726.5,1275.5,507.1472168,1397.016724,588.1791382,1209.974976,660.8225708,1011.994995,588.2817380787864,1209.9629462162936,507.0189702954645,1397.119780241762,726.6388741378402,1275.342856283796,86.93858567337273,49.555649748705264,0.04498997968393674
4.0,726.5,1274.5,501.0,1397.907837,586.9333496,1209.692993,660.8353271,1011.997986,586.9967325449494,1209.9008719844717,501.27446225989337,1398.0319503953212,726.5694740499702,1275.2558252614251,87.92519940948722,59.19682416686953,0.05466684396426573
5.0,726.5,1275.5,495.5,1399.5,585.8285522,1210.264771,660.7157593,1011.914124,585.7359933858107,1209.8629061141437,495.7067431630692,1398.9468729767823,726.5028186394503,1275.153284067694,88.9862839440047,63.6650720710486,0.05626692516975785
6.0,726.5,1275.5,490.2348633,1399.534058,584.6270752,1209.772949,660.5649414,1011.987,584.4845958839362,1209.8627533104593,490.3498324053657,1399.8701374437726,726.4168361094601,1275.0270010930694,90.06942776739291,64.98862940329275,0.05308104113599714
7.0,726.4857178,1274.842896,485.5,1400.5,582.9171143,1210.154419,661.0271606,1011.644897,583.2195368332764,1209.9176332312584,485.2150105744782,1400.8071394438527,726.2885890052876,1274.87805728754,91.14405944601452,64.47790071729685,0.011624331005446954
8.0,725.9155884,1274.603394,480.1551208,1401.689819,581.5615234,1209.700195,660.3892212,1011.419373,581.9142205248843,1210.0423209197536,480.2980141166756,1401.7575460722385,726.1032952943511,1274.7219430906591,92.19261184288868,62.91314381244945,0.0014611928804888897
9.0,726.0,1274.5,475.6825256,1403.317505,581.5615234,1209.700195,660.3943481,1011.355103,580.5451581562555,1210.2385307394206,475.5902416329996,1402.714094189222,725.8597768356619,1274.583111084847,93.20342828701789,60.64898664775228,0.0008015430565345106
10.0,725.730896,1274.353394,471.3174744,1403.682495,578.4359131,1210.841553,660.3943481,1011.355103,579.1025245762271,1210.487142602822,471.0886664896588,1403.667707460953,725.572038660613,1274.483281169809,94.16579536191736,57.74202449396853,0.0024821201866836754
11.0,725.2270508,1274.32373,466.8414917,1404.158447,578.4359131,1210.841553,659.0649414,1011.134216,577.5990207880872,1210.7513548775696,466.80184620039427,1404.6111281744147,725.2676537630214,1274.4319200792345,95.06817859538792,54.14299400823353,0.004747294058212823
12.0,725.0,1274.5,462.5,1405.5,575.4784546,1211.027222,658.8344727,1011.108826,576.0695632592508,1210.9900427869318,462.7503816048063,1405.5350841890647,724.9821331878127,1274.4234271191324,95.89977364700162,49.89570309682222,0.007461179296556991
13.0,724.5,1274.5,458.8200073,1406.5,574.3358154,1211.286011,658.6286011,1011.197632,574.5612351260313,1211.172426644654,458.9622714269343,1406.422443487506,724.749059529451,1274.441021419714,96.65346994221412,45.22177771274954,0.010488302360832912
14.0,724.5,1274.5,455.6825256,1407.317505,572.921814,1211.331055,658.7858887,1011.080322,573.1208063567668,1211.287055374327,455.46798316977583,1407.2485710493208,724.5891509194087,1274.4643842420835,97.32772000418755,40.45500371840632,0.013177758648276775
