Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.2036615461111068,-0.5018481612205505,-0.4691812992095947,0.1793083846569061,-0.6718096137046814,-0.5136487483978271,0.2110876590013504,-0.8573178052902222,-0.4361277818679809,0.2836640775203705,-0.7441011071205139,-0.2443889528512954,-17.078694019802043,0.2036609869533706,-0.5018488161960822,0.2110838508575573,-0.8573167838732239,0.2836625840490785,-0.7441033835953901,-17.078898393179642,,
2,0.2036622315645218,-0.5017968416213989,-0.4694534540176391,0.1880652606487274,-0.6705589890480042,-0.5057474970817566,0.2068729400634765,-0.8604323267936707,-0.4481510818004608,0.2836783826351166,-0.7474638223648071,-0.2282749265432357,-17.528008254343746,0.2034919916070563,-0.502043106370935,0.2074850516766983,-0.8587170053088146,0.2838493155866566,-0.7472170149499394,-17.249528845719446,-10.237827152388236,
3,0.2036476880311966,-0.5019056797027588,-0.4629567265510559,0.189322367310524,-0.6704103350639343,-0.4997360110282898,0.2034438103437423,-0.8606432676315308,-0.4916762113571167,0.2837459146976471,-0.7518140077590942,-0.220195472240448,-17.803759144516974,0.2032285736477023,-0.5023315401384117,0.2042382984543011,-0.8600907618993988,0.2840652477835805,-0.7500150408642904,-17.515103038628126,-15.934451574520809,0.004507156917616287
4,0.2033012062311172,-0.5026580095291138,-0.4824445247650146,0.1903493553400039,-0.6704637408256531,-0.5055996179580688,0.2007543593645095,-0.8611657023429871,-0.4987718462944031,0.2844396829605102,-0.7529438138008118,-0.2162604331970214,-18.368851790056908,0.2028065626055079,-0.5027787128938795,0.201613557108368,-0.8614357314278525,0.284325517269196,-0.7522703498772427,-17.823014104247438,-18.474663937158695,0.0049421152256057125
5,0.2017588168382644,-0.5032914876937866,-0.5123026967048645,0.1901215463876724,-0.6708420515060425,-0.5341366529464722,0.199664756655693,-0.861780047416687,-0.532162606716156,0.2844337224960327,-0.7535641193389893,-0.2175786644220352,-18.61510491966824,0.2022091882842836,-0.5034020236723717,0.1997416972343457,-0.8627603887233156,0.284622896222378,-0.7538958047114498,-18.13575756946768,-18.76460791321442,0.004341424338587444
6,0.2013659626245498,-0.5040553212165833,-0.5050540566444397,0.1898667961359024,-0.6717199087142944,-0.5323175191879272,0.1985084861516952,-0.8628332614898682,-0.5143377780914307,0.2848187983036041,-0.7548437714576721,-0.2147628217935562,-18.861796912591416,0.201466255663763,-0.504171273479573,0.1986034771574373,-0.8640437186391531,0.2849298468877082,-0.7549396588248798,-18.427390159042744,-17.49795537450396,0.0034064153559900737
7,0.2010683119297027,-0.5055476427078247,-0.5059142112731934,0.1898349970579147,-0.673924446105957,-0.5298303961753845,0.1982022523880005,-0.8651159405708313,-0.4971996247768402,0.2854668796062469,-0.7552018761634827,-0.2116524130105972,-19.135118235093387,0.2006412337865647,-0.5050225117819971,0.1980589487899793,-0.8652053747703119,0.2852085496527494,-0.7555385596682284,-18.682047279839473,-15.27942724780374,0.0006563387409700988
8,0.1998776197433471,-0.5058559775352478,-0.5068734288215637,0.1897811293601989,-0.6748165488243103,-0.5288845300674438,0.1982596665620803,-0.8672122955322266,-0.484358936548233,0.2857447564601898,-0.7553113102912903,-0.2111258953809738,-19.25094697257491,0.1998157358303058,-0.5058782764502096,0.1979004096276241,-0.8661184650038237,0.2854255842804863,-0.7558581926668838,-18.892933352014936,-12.653164330527744,0.0018267941958995252
9,0.1985408067703247,-0.5063909292221069,-0.5047584772109985,0.1897499859333038,-0.6751171946525574,-0.526601254940033,0.1982317268848419,-0.8674659729003906,-0.4721439778804779,0.2857423424720764,-0.7558249831199646,-0.210698515176773,-19.31854682364414,0.1990729744711198,-0.506665078100566,0.1979105053853695,-0.8666622931379315,0.2855651117098008,-0.756045227239116,-19.06096633000586,-10.081978679455544,0.003477791497687181
10,0.1983411461114883,-0.5073733329772949,-0.5030989646911621,0.1893255114555359,-0.6756086349487305,-0.5181117057800293,0.1983042359352111,-0.8669798374176025,-0.4590315222740173,0.2853766083717346,-0.7564736604690552,-0.2105267196893692,-19.26525615885159,0.1984783607292394,-0.5073237660224773,0.1979111196688585,-0.8667805942029525,0.2856325541940253,-0.7562013148462043,-19.192624244333345,-7.899474859649018,0.004137051580393201
11,0.1978840231895446,-0.5082473158836365,-0.5090245604515076,0.1887156963348388,-0.6757306456565857,-0.5179107785224915,0.1980598121881485,-0.8668492436408997,-0.4523922502994537,0.285382479429245,-0.7563351988792419,-0.2101275026798248,-19.399219822390503,0.1980629185699019,-0.5078160803397072,0.1977932822952226,-0.8665093143964336,0.2856462004168802,-0.7563789829276206,-19.296942153623572,-6.259074557413626,0.003637541162605234
12,0.1978915333747863,-0.5082047581672668,-0.5122632384300232,0.188654214143753,-0.6750591993331909,-0.5200480818748474,0.1973099410533905,-0.8655450344085693,-0.4602957665920257,0.2854771018028259,-0.7564018964767456,-0.2106332927942276,-19.53053181223352,0.1978188331460068,-0.5081304716023778,0.1975237085460766,-0.8659628021196286,0.2856238652204232,-0.7565905785159807,-19.382367457593116,-5.125518238172617,0.002532965504587645
13,0.1978981792926788,-0.5081594586372375,-0.5106126070022583,0.1885982751846313,-0.6745278835296631,-0.5197440385818481,0.1971755474805832,-0.864678144454956,-0.4605900347232818,0.2858763635158539,-0.7568814158439636,-0.2108457833528518,-19.595890757569933,0.1977091033397681,-0.508283141890162,0.1971304643147725,-0.8652911788413755,0.2855752236648278,-0.7568209809102132,-19.454622315047622,-4.335291447270393,0.0014676157604397555
