Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,angles,velocity,roughness
1705.0,338.0,1240.5,773.6221924,698.4416504,418.1045837,933.7526855,216.0158691,913.2525024,215.81359595410703,913.4957205511812,337.9976444905946,1240.4790508002986,775.2196583935728,708.7593423546473,91.63119635503972,-80.73482622735469,0.5008336560904327
1706.0,338.0,1240.5,773.6221924,698.4416504,416.9863281,956.1325073,217.5129242,920.9439697,217.418686149018,921.3682348010406,337.88987365534894,1240.294055678632,775.7731722317739,713.3844920782875,90.87331176044025,-45.47307567596846,0.7073642364167774
1707.0,338.0,1240.5,773.6221924,698.4416504,414.6973572,978.598938,218.277298,928.71698,218.5687481945471,929.0765974697229,337.76474224501,1240.016838577975,775.5124637171575,711.3654494250371,90.6747234542503,-11.91529837139683,0.8073809958648722
1708.0,338.0,1240.5,773.6221924,698.4416504,411.3896179,1000.477295,219.1731567,936.5122681,219.3159912937929,936.6430896781416,337.67628164004236,1239.7647630365334,775.2763059317116,702.9829679884423,90.99160415591896,19.01284210011994,0.7956440618772201
1709.0,338.0,1240.5,773.6221924,698.4416504,407.0755005,1022.276184,219.6604309,944.257019,219.7239549220234,944.0717479544628,337.69877488683727,1239.7176619726033,775.4099657177215,689.0811929389367,91.75304095892814,45.68620818055052,0.7012766482595543
1710.0,338.0,1240.5,773.6221924,698.4416504,401.3431091,1044.060791,219.6696472,951.2127686,219.84934546282483,951.3431142497948,337.9076559766989,1240.0777008920672,775.7168848405865,672.3252234752691,92.81807231094302,63.90188112089305,0.536645658003545
1711.0,338.0,1240.5,773.6221924,698.4416504,395.3616943,1064.210449,219.8151398,958.4920044,219.73376917156185,958.419258042216,338.34229246583277,1240.9857136496082,775.5483268773423,658.5147152325575,93.92277027727845,66.28187798012533,0.3036116569664252
1712.0,338.0,1240.5,773.6221924,698.4416504,388.0484314,1084.194824,219.6100922,965.1268921,219.40378234602863,965.251719424611,338.9560867605628,1242.4007086322836,774.0312197808671,657.0746594200077,94.64363903454984,43.25212543628339,0.1010105875487379
1713.0,338.0,1240.5,773.6221924,698.4416504,380.1167908,1103.44165,218.8402405,971.9232178,218.87479088694147,971.7900369784162,339.5711655470933,1243.975951141122,770.4238714672728,679.7948984238676,94.379402845891,-15.854171319530508,0.3071179796138608
1714.0,338.0,1240.5,773.6221924,698.4416504,371.2091675,1121.508789,217.9971466,977.928772,218.15360981222452,977.991046430468,339.8671516674817,1244.9960126403507,764.5425089895745,737.2922575619751,92.33524641225652,-122.64938601806818,1.7637261983564037
