Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),corrected_angles,Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
1,0.5914189219474792,-0.7283790707588196,0.1398064047098159,0.4518144726753235,-0.7175875902175903,-0.0067338184453547,0.5755214095115662,-0.5820909142494202,0.0295106284320354,0.4535985291004181,-0.5838967561721802,-0.0301452204585075,0.527198314666748,-0.3495538830757141,0.2275692373514175,196.67133050936133,0.4535971373416803,-0.5838967728191304,0.4518135416795849,-0.7175894790647371,0.527198856315269,-0.3495531065260662,196.6719134718203,,
2,0.5914222002029419,-0.7283198237419128,0.142773762345314,0.4519679844379425,-0.7174935936927795,0.0140957776457071,0.5755026936531067,-0.5810947418212891,0.0154984295368194,0.4534908533096313,-0.5823710560798645,-0.0160997118800878,0.5275353789329529,-0.3495044410228729,0.2435050755739212,196.99337473947872,0.4535990010024779,-0.5831566577897493,0.4519415161191192,-0.7175512604393478,0.5275171277525745,-0.3494340993546779,196.74063519469016,4.1233033721920265,
3,0.5914801359176636,-0.7283206582069397,0.1474071592092514,0.452083945274353,-0.7174950838088989,0.0243926513940095,0.5755104422569275,-0.5808503031730652,0.0097536137327551,0.4535065293312073,-0.5820595026016235,-0.0103390412405133,0.5279133319854736,-0.3494073152542114,0.2725833356380462,197.13351192775824,0.4536142938080192,-0.5825164940439105,0.4520575292350417,-0.7175197641858837,0.5278027946210663,-0.3493060571518112,196.83884181524377,5.892397233216684,0.0004346795957104348
4,0.5915838479995728,-0.7283323407173157,0.1487795710563659,0.4521421790122986,-0.7174950242042542,0.0356286242604255,0.5755106210708618,-0.5807546377182007,0.0056547508575022,0.4535624384880066,-0.5819823741912842,-0.0062165176495909,0.5280807614326477,-0.349163144826889,0.2837596237659454,197.1478066531145,0.4536499681200313,-0.5820409626048964,0.4521522930654378,-0.7174982191665816,0.5280310849553757,-0.3491652525272369,196.93536819168372,5.791582586397226,0.0002742135286424806
5,0.5916438698768616,-0.7283778786659241,0.1506691724061966,0.4522349834442138,-0.717473566532135,0.0307333171367645,0.5755290389060974,-0.5806716084480286,0.0067657651379704,0.453759104013443,-0.5818630456924438,-0.0073131676763296,0.5282592177391052,-0.3490297496318817,0.2731885612010956,197.09929392204415,0.4537029536712278,-0.581744810068911,0.4522197909120922,-0.7174877238744748,0.5281902902404229,-0.3490149444824121,197.00991892170913,4.4730438015244545,0.0002268157240244788
6,0.5917589664459229,-0.7284060120582581,0.1513185501098632,0.4522583484649658,-0.7175301313400269,0.0343300253152847,0.5755298733711243,-0.5805999040603638,0.0064326776191592,0.4538505673408508,-0.5817707777023315,-0.006955818273127,0.5282644033432007,-0.348822146654129,0.2762176096439361,197.04377541746135,0.4537623319286019,-0.5816019387241775,0.4522573175893147,-0.7174890072846878,0.5282828193869425,-0.3488637546847537,197.05395320224625,2.6420568322271265,0.0004976287370866357
7,0.5917627215385437,-0.7284166812896729,0.1517069786787033,0.4522579312324524,-0.7175576090812683,0.0355968736112117,0.5755142569541931,-0.5805403590202332,0.0071360589936375,0.4538512825965881,-0.5817013382911682,-0.0076527260243892,0.5282670259475708,-0.3487024307250976,0.27217498421669,197.04061904811016,0.4538145770827456,-0.5815660497398167,0.4522648361795233,-0.7175050075042492,0.5283219825386019,-0.3487218639059296,197.0687328265124,0.8867774559683994,0.0012868842427271282
8,0.5917598605155945,-0.728417158126831,0.1520457863807678,0.4522410929203033,-0.7175832986831665,0.0347195230424404,0.5754557251930237,-0.5804898738861084,0.0077820708975195,0.4538350701332092,-0.5816312432289124,-0.0082960687577724,0.5282838940620422,-0.3485530912876129,0.2704646587371826,197.0425622177795,0.453848107441644,-0.5815897046805247,0.4522439720687647,-0.7175429373786478,0.5283262369700884,-0.3485970228672799,197.06160694030825,-0.4275531722481673,0.0017896314792535198
9,0.5917863845825195,-0.728549063205719,0.1519349813461303,0.452159583568573,-0.7176283001899719,0.038046583533287,0.5753287672996521,-0.5805021524429321,0.0071203289553523,0.4538053870201111,-0.5816466808319092,-0.007613961584866,0.5282880663871765,-0.3484550416469574,0.2723285257816314,197.02034059487323,0.4538550166301599,-0.5816355839669869,0.4521969410524319,-0.7176144541133911,0.5283134678382071,-0.3484918731827561,197.04223107412255,-1.162551971141852,0.0014643834548010895
10,0.5917876362800598,-0.7287417650222778,0.151821419596672,0.4521130919456482,-0.7177160978317261,0.0483299680054187,0.5752410292625427,-0.5805042386054993,0.0055295070633292,0.4538092315196991,-0.5816863775253296,-0.0060084960423409,0.5283073782920837,-0.3483971953392029,0.2716819047927856,196.99589094315937,0.4538306959396912,-0.5816799966762953,0.4521258559662683,-0.7177331788271281,0.5282972569970387,-0.3484034007051529,197.0198211967277,-1.3445926436918398,0.0007665622988136247
