Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder X,Shoulder Y,Elbow X,Elbow Y,Shoulder X_smoothed,Shoulder Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
44.0,515.1443481,1354.144409,709.2312622,1169.846924,654.1853638,919.9804077,595.0535889,1132.170654,654.1956439257144,919.9543308864804,515.1083259760965,1354.2593763345742,709.2271196489708,1170.3071738566036,30.05650157168208,3.945651777566823,0.00033100276784609525
45.0,514.4621582,1354.259766,708.5,1170.5,653.9402466,920.1521606,594.2787476,1132.278687,653.8907311816082,920.1228807284992,514.3434123704667,1354.3148077435358,709.0890853264725,1170.5316995017874,30.13319984399301,4.601896338655891,0.0002188532031113189
46.0,513.5595093,1354.363037,708.7033081,1171.130005,653.6765747,920.5178833,593.8659058,1132.345215,653.5857172430887,920.3615419694244,513.5459615186874,1354.4354265479346,709.0186043201273,1170.8035017372374,30.224417442165493,5.473055890348846,0.0002611343225997257
47.0,512.6205444,1354.664551,709.0,1171.5,653.1280518,920.6478271,593.1809692,1132.333374,653.2887222452615,920.6512203651712,512.7598701524432,1354.596339418206,709.0180265143352,1171.0558039627208,30.331099603523512,6.400929681481173,0.00038448456284304527
48.0,511.9303894,1354.774292,709.2756958,1171.250977,652.9893799,920.9414673,593.1809692,1132.333374,653.0113862144227,920.9746473568024,512.0288042917718,1354.7699536670502,709.0624585892268,1171.2433254077937,30.44982197670338,7.123342390792047,0.00046318240308135255
49.0,511.3651733,1355.048828,709.5,1171.5,652.8250732,921.1859741,592.1310425,1133.348755,652.7641777671219,921.3146167892984,511.38852318751685,1354.9339335719644,709.1165123976444,1171.3562260804713,30.57329717960632,7.408512174176494,0.00037748657382041394
50.0,511.004425,1355.090454,709.2756958,1171.250977,652.5,921.3666382,591.7269287,1133.451782,652.5535643326605,921.6511332553386,510.8630978162204,1355.0784511462305,709.1545830664227,1171.417646794336,30.692539160744627,7.154518868298325,0.00017235430167808184
51.0,510.3595276,1355.528564,709.1125488,1171.290039,652.3927002,922.2181396,591.7163696,1133.780884,652.3811261275124,921.9622409398108,510.4652078655593,1355.2102194832594,709.171792269637,1171.4698117933185,30.79934938101787,6.408613216394556,5.998438387420779e-05
52.0,510.1443787,1355.144409,709.1044312,1171.574341,652.2796021,922.5444336,591.0120239,1133.885498,652.2434740851116,922.231151583436,510.1980077333197,1355.3511331332977,709.1810120293886,1171.5572834653033,30.888070918777036,5.323292265549995,0.00019907572632302828
53.0,510.1252747,1355.391479,708.9658813,1171.753784,652.0,922.5,591.0529175,1133.97644,652.132394388032,922.4557959704944,510.05710116209485,1355.5304914572955,709.2006480214767,1171.7140308628018,30.95621500032743,4.088644893023599,0.0005253867975514073
54.0,510.0473022,1355.628418,709.1019897,1171.686279,652.0,922.5,591.1762695,1133.988525,652.0356009457291,922.6526599502996,510.0332378126201,1355.7735029650796,709.2418948290637,1171.9563826883668,31.004040793829866,2.869547610146199,0.0008303736546424555
55.0,510.0881653,1356.120483,709.399292,1172.201416,651.9893799,922.9414673,590.9441528,1134.262085,651.9392690390978,922.8510823459546,510.11589694789654,1356.0922605252483,709.3025503249239,1172.2810583981648,31.033473589406345,1.765967734588756,0.0009574723294306348
56.0,510.4216919,1356.457886,709.439209,1172.815674,651.9893799,922.9414673,590.9441528,1134.262085,651.8331190246229,923.0817326172648,510.2965934749217,1356.483767044335,709.3696868800679,1172.6685845916495,31.04687905516326,0.8043279454148689,0.0008985604219843986
57.0,510.5,1357.0,709.5,1173.5,652.0,923.0,590.9782715,1134.617798,651.7160841967946,923.3652127547404,510.5708423309046,1356.9345215248445,709.4280861110035,1173.0923449039697,31.046084866319912,-0.0476513306008286,0.0007459668885983253
58.0,510.9138184,1357.555542,709.5,1173.5,651.3301392,923.7423706,591.1008301,1135.252075,651.5978724818888,923.7055566520248,510.9384301581276,1357.428070927787,709.4688424231268,1173.528530154604,31.031919570162245,-0.849917769460049,0.0005970881160306918
59.0,511.5,1358.0,709.555542,1173.620117,651.2322388,924.5842896,591.463562,1135.921875,651.4935599888884,924.0920678312764,511.40236217785184,1357.951748424873,709.4943256415191,1173.9592982062925,31.004526850163757,-1.6435631999092948,0.0004993990443808977
60.0,512.0133057,1358.43335,709.6283569,1174.065186,651.5,924.5,591.553772,1136.094971,651.4149034472211,924.5076532320218,511.9671382160184,1358.499786620324,709.518594526708,1174.3678786032524,30.964359254697253,-2.4100557279901835,0.0004473578613333224
61.0,512.4781494,1359.094238,709.4542236,1174.798584,651.4031982,924.62677,591.8441772,1136.150391,651.3657475181485,924.9353499721964,512.6361443805902,1359.0720159961834,709.5634762448883,1174.7342566378402,30.913078745780847,-3.076830534984367,0.0004035673055473298
62.0,513.321228,1359.586914,709.5,1175.5,651.4054565,925.1384277,592.5706787,1136.983643,651.3442807491016,925.3579340672989,513.4079369496271,1359.669859448957,709.6510775283552,1175.0406398407613,30.853476132633205,-3.576156788858569,0.0003317474199961009
63.0,514.3763428,1360.204346,709.8874512,1175.709961,651.4279785,925.7948608,593.0591431,1137.408569,651.3482706883816,925.756141951994,514.2732530728339,1360.292358607185,709.7952140787827,1175.284877542951,30.78834399450816,-3.907928287502642,0.00023058553223137578
64.0,515.2330933,1361.063232,709.6175537,1175.329834,651.4031982,926.62677,593.409668,1137.972046,651.3784039909397,926.1137679370844,515.2150457853099,1360.9342928015833,709.995464910581,1175.489216028083,30.71917722801389,-4.150005989656194,0.0001342383615280596
65.0,516.1654663,1361.639893,710.5,1175.5,651.4031982,926.62677,593.887085,1138.032837,651.4376912281643,926.4283100024032,516.2110140150285,1361.5868507813393,710.236593568418,1175.6934942370854,30.645738584801293,-4.406318592755838,7.445178817073322e-05
66.0,517.1856689,1362.172241,710.5,1175.5,651.4031982,926.62677,594.2979736,1138.337036,651.527503770722,926.7164161097422,517.2363607562994,1362.2391874584364,710.4939107426173,1175.9348208670576,30.566865392117172,-4.732391561047251,5.5046522031024475e-05
67.0,518.3480225,1362.746338,710.9359131,1175.94873,651.4505005,926.5858765,594.9639893,1138.524292,651.6428571044218,927.0061117650624,518.2661705507588,1362.8787513977331,710.7421775179434,1176.226993192951,30.48194375795868,-5.095298049509651,6.121867674922854e-05
68.0,519.3765869,1363.623413,710.9215698,1176.784302,651.9199829,927.3800049,595.5783081,1139.457886,651.7708100678043,927.3197657739124,519.2781155039372,1363.490767596878,710.9630800837326,1176.5531081162069,30.39193739024488,-5.400382062827873,7.086185620951455e-05
69.0,520.2870483,1364.048584,711.1155396,1177.182251,652.0650024,927.4050293,595.7809448,1139.750488,651.894270453364,927.6592865504398,520.2547315258679,1364.0589656387724,711.1473826048931,1176.8753643499713,30.299200693344737,-5.564201814008598,6.277050892026564e-05
70.0,521.0723877,1364.453979,711.1155396,1177.182251,651.9893799,927.9414673,596.5,1139.958374,651.9989087045398,928.0015881003092,521.1831274755137,1364.567945595316,711.2921636638923,1177.1543613140725,30.206283388512073,-5.575038289959835,3.583932039070772e-05
71.0,521.9375,1365.161987,711.5,1177.5,652.0,928.5,596.5663452,1140.035767,652.0780200018173,928.3051377852815,522.0516895125922,1365.00597393559,711.3969449397206,1177.3653942702908,30.11470705923542,-5.494579756599123,1.083578785016142e-05
72.0,522.8204956,1365.480225,711.5,1177.5,652.1809692,928.666687,597.2425537,1140.43457,652.13290227754,928.5240143071804,522.8465600832616,1365.3674735548425,711.4622724461253,1177.504485640098,30.02460051649155,-5.406392564632299,1.9279360633806103e-06
73.0,523.6832275,1365.614624,711.5,1177.5,652.1809692,928.666687,597.62146,1140.557739,652.1706437701888,928.6234398984728,523.5514054408575,1365.6540951626882,711.4909855841559,1177.584794220367,29.935293811714224,-5.358402286639503,2.5373934704601764e-06
74.0,524.2345581,1365.649414,711.5,1177.5,652.1809692,928.666687,597.6699829,1140.582031,652.2016369771469,928.5905990043916,524.1509119337064,1365.8725970842772,711.4897103966324,1177.6277538754607,29.846325354744735,-5.338107418169358,2.7245144270120324e-06
75.0,524.5200195,1366.08667,711.444458,1177.620117,652.2796021,928.5444336,597.9056396,1140.715454,652.2371185462122,928.4379578847792,524.6348728653832,1366.0303408761526,711.4687272775972,1177.653822213435,29.758300379481433,-5.28149851579812,1.781994207692252e-06
76.0,525.1270142,1366.201782,711.4350586,1177.719238,652.1881104,928.1992798,598.0952148,1140.641235,652.2863602850941,928.1996490277412,524.9997544138366,1366.1322180690188,711.4404369592714,1177.6767636503134,29.673329592989944,-5.098247189489342,3.97004605026145e-06
77.0,525.1856689,1366.172241,711.4350586,1177.719238,652.2573242,927.8065796,598.5637207,1140.684692,652.3539742949673,927.9223245589033,525.2474862247292,1366.1810713001755,711.4174832693853,1177.7025843114825,29.594974204333177,-4.701323319406043,2.0829498148919738e-05
78.0,525.3093872,1366.193848,711.4350586,1177.719238,652.5625,927.4602051,598.5637207,1140.684692,652.4387244816396,927.6527379686534,525.3828552715185,1366.1796929036925,711.4111000358754,1177.7312658336675,29.52773742554474,-4.034206727306255,8.093173362781525e-05
79.0,525.4121704,1366.074341,711.4350586,1177.719238,652.5625,927.4602051,598.6400146,1140.763306,652.5348336251024,927.4262293717532,525.410794518653,1366.1319380239925,711.4294437044917,1177.7589339083347,29.47624038136949,-3.089822650514975,0.0002220375589104692
80.0,525.2870483,1366.048584,711.3745728,1177.766357,652.6107788,927.1715088,598.7702637,1140.898071,652.6346716038521,927.2603628208012,525.3349360120656,1366.0428326846604,711.4754226656323,1177.7797818579347,29.44425833086399,-1.9189230303300775,0.00045767534093407643
81.0,525.2277222,1366.077515,711.5,1177.920044,652.6107788,927.1715088,598.7521362,1140.842773,652.7307017743591,927.1550230596388,525.158452994932,1365.9187363474805,711.5443842014271,1177.7883635911596,29.433793493499945,-0.6278902418426213,0.000742288174000426
82.0,525.0,1365.661743,711.6063232,1177.745972,652.8804321,927.2518311,598.5922241,1140.170898,652.8165828171062,927.0971984767068,524.8866758879651,1365.7674925162034,711.623241943195,1177.782215406881,29.444388625829088,0.6357079397486132,0.0009705369736537692
83.0,524.5,1365.5,711.6063232,1177.745972,653.0,927.0,598.4841919,1140.015747,652.8891198191992,927.0674475878488,524.5294143051135,1365.5974298189324,711.6926922065204,1177.763512035023,29.47291938744369,1.7118456968760398,0.0010273919153778793
