Frame #,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
11.0,430.6666565,764.0,547.2147217,935.4230957,549.1633301,737.9172363,395.5,905.0,465.5,1313.5,547.210347176826,935.4122914077884,549.157889412969,738.0313228906305,465.4999753170916,1313.4999806283192,168.38349282985507,-0.5239817882062425,8.615327226819889e-05
12.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.5,905.0,465.5,1313.5,547.2136071757399,935.4149860288876,549.1176693363997,737.9809534901249,465.4999930969907,1313.4999898705016,168.37292414399104,-0.6341211518417822,6.179978419475209e-05
13.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.5,905.0,465.5,1313.5,547.2151265185936,935.4187186460136,549.08912077618,737.9404587765623,465.500029412887,1313.5000122865224,168.36291190578493,-0.6007342923669512,2.691236132859356e-05
14.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.5,905.0,465.5,1313.5,547.2141114953281,935.423834867985,549.0730869958367,737.914301420281,465.50008005103103,1313.5000467176503,168.35512566906203,-0.4671742033735881,5.980645963672781e-06
15.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.2110108109805,935.4306989018088,549.0674529145306,737.9022668747396,465.5001295436742,1313.5000845418597,168.35023637416788,-0.2933576936493409,5.028788212406091e-06
16.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.5,904.5,465.5,1313.5,547.20752421969,935.4385684544656,549.0685988622832,737.900903460913,465.500150169286,1313.50010812597,168.34793506327222,-0.1380786537396261,1.222445015545549e-05
17.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.5,904.5,465.5,1313.5,547.206464899866,935.4446085559608,549.0728503168594,737.9055800755609,465.500106750287,1313.5000928645854,168.34715192557476,-0.0469882618472183,1.4460872208833863e-05
18.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.3333435,904.0,465.5,1313.5,547.2113359619985,935.4435059077246,549.0774135879869,737.9120894419818,465.49996948009255,1313.5000146893424,168.34637743931097,-0.0464691758276103,9.090534003933032e-06
19.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.3333435,904.0,465.5,1313.5,547.2255113042684,935.4281113274872,549.0806892933077,737.9174548976782,465.49973452670537,1313.499863541409,168.34402712343552,-0.1410189525267924,2.8257029340280437e-06
20.0,430.6666565,764.0,547.2147217,935.4230957,549.0793457,737.9160767,395.3333435,904.0,465.5,1313.5,547.2511274576372,935.3912743208102,549.0821306251595,737.9200668132238,465.4994477450392,1313.4996604860562,168.33881308128102,-0.3128425292703696,3.2802654230020064e-06
21.0,430.5,765.5,547.3174438,935.3174438,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.2881077833227,935.3285327792246,549.0818980162054,737.9194730291292,465.49922126689665,1313.4994722483582,168.33006057038895,-0.5251506535239514,1.1657575419567333e-05
22.0,430.5,765.5,547.3174438,935.3174438,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.3337687273778,935.2408775884278,549.0805213763742,737.9161338617918,465.49922808156794,1313.4994131707558,168.31788933973374,-0.7302738393127584,2.16988914583999e-05
23.0,430.5,765.5,547.3174438,935.3174438,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.3831143918985,935.136468517442,549.0786828686803,737.9113095745306,465.49965924899226,1313.4996230837205,168.30322101029893,-0.8800997660887333,2.5029984568833177e-05
24.0,430.5,765.5,547.5,934.8444214,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.429824685151,935.0296977598211,549.0771295800929,737.9070599835165,465.50063584710784,1313.5002130500457,168.28761008335198,-0.9366556168168928,1.8553996090138097e-05
25.0,430.5,765.5,547.5,934.8444214,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.4680055977348,934.9366509176452,549.0766496341606,737.9061756975968,465.5020857262603,1313.501181668542,168.27288924144628,-0.8832505143419667,7.779721457650263e-06
26.0,430.5,765.5,547.5,934.8444214,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.4941374149802,934.8689486033868,549.0780150372735,737.9117927648767,465.5036226832031,1313.502322860772,168.26068450733277,-0.7322840468106051,2.512720093127276e-06
27.0,430.5,765.5,547.5,934.8444214,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.5080146245263,934.8300105607526,549.0818179050027,737.9265226771074,465.5044958982258,1313.5031682390147,168.2519856385354,-0.5219321278428879,7.88260044273637e-06
28.0,430.5,765.5,547.5,934.8444214,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.5121445268509,934.8156899881546,549.0882052219225,737.9511960952846,465.50369639691615,1313.5030246174715,168.24695789663105,-0.3016645142605512,1.930016910669255e-05
29.0,430.5,765.5,547.5,934.8444214,549.0793457,737.9160767,395.5,904.0,465.5,1313.5,547.5102642835853,934.817719427138,549.0966448133357,737.9837737122606,465.5002954652466,1313.5011667522974,168.24503465827885,-0.1153943011314595,2.6943177483175705e-05
30.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.5,1313.5,547.5059284415925,934.8274039221128,549.1059601094671,738.0193644974307,465.49402858449554,1313.4972125756851,168.245212206255,0.0106528785681803,2.510768885985424e-05
31.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.5,1313.5,547.5016696674846,934.838066449476,549.1147608196333,738.0518851153308,465.4860203459387,1313.4916343898285,168.2464401508783,0.0736766773985664,1.6401596472856483e-05
32.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.5,1313.5,547.4987800641502,934.8459415250106,549.1220332376361,738.0765350636447,465.4793892193316,1313.4862515672642,168.24799411099522,0.0932376070153395,7.436184830492547e-06
33.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.5,1313.5,547.4975262877057,934.8498822281488,549.1274393802149,738.091423847586,465.47933181988105,1313.4844403014258,168.24970982982654,0.102943129879236,2.2705182329299708e-06
34.0,430.5,765.5,547.5,934.8444214,549.1253052,738.0874634,395.5,904.0,465.5,1313.5,547.497553476375,934.850467485397,549.1311232566123,738.0975251019282,465.4922604166841,1313.4907456803148,168.25198803426775,0.1366922664726644,6.045455955575663e-07
