Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
11.0,714.5,1241.0,520.333313,1431.666626,599.4683838,1205.767944,654.5422363,989.6619873,654.5593171079714,989.973697841738,714.5158840395345,1241.1671147320412,520.1832871105448,1432.1250638101772,329.66639953585695,0.1704986495906268,0.0004433212036000912
12.0,714.5,1241.0,520.2788086,1432.278809,599.5,1206.5,654.7347412,989.8896484,654.4759932126213,990.2840696458657,714.6187774677101,1241.262687077539,520.3258806497499,1432.4752868587982,329.658886842253,-0.4507616162356953,0.0004472441172781798
13.0,714.9264526,1241.34314,520.7211914,1432.721191,599.6865234,1206.759399,654.5081787,990.5491943,654.4247883263487,990.6002843848352,714.7350417210793,1241.4031573375369,520.4817632585681,1432.8434466131464,329.6468477303973,-0.7223467113419701,0.00031889664891835746
14.0,715.0,1241.786377,520.5,1433.0,599.6865234,1206.759399,654.5710449,990.9797363,654.4364705992417,990.8571857902066,714.8647226357322,1241.5858044927804,520.6639825626086,1433.2396057443216,329.63798190393925,-0.5319495874846325,0.0001369294860860311
15.0,715.1220703,1242.079834,520.5,1434.0,599.7359009,1206.846313,654.5710449,990.9797363,654.5473246317332,990.9836502503308,715.0158509172452,1241.8011425640036,520.8836823288643,1433.658455072377,329.6403923451604,0.1446264732703639,4.663507934712465e-05
16.0,715.1220703,1242.079834,521.5,1434.5,599.8881226,1207.457153,654.5454712,991.2297974,654.7859425879944,990.9301012100104,715.2015249922466,1242.0408203996903,521.1455044181176,1434.089832092398,329.66054420968356,1.2091118713885862,0.0001712586399914446
17.0,715.1220703,1242.079834,521.5,1434.5,599.843811,1207.668945,654.7426758,991.3382568,655.155334421924,990.694388278585,715.4303380536034,1242.2989753137815,521.4469865859268,1434.5300739351192,329.7014106586717,2.4519869392884175,0.000485965656009248
18.0,715.1220703,1242.079834,521.5,1434.5,599.9893188,1208.05127,654.7426758,991.3382568,655.6194007844438,990.3354047775824,715.6949589975429,1242.5656510392378,521.7819495899171,1434.9841985318333,329.76143301560654,3.6013414160902357,0.0007843258042605953
19.0,716.5,1242.944458,522.5,1435.5,599.7366333,1208.987671,657.4058228,988.2753906,656.105541352694,989.9624569734922,715.9683881767166,1242.8201847202574,522.1438255956839,1435.45814029189,329.8346829066097,4.394993460190335,0.0008279868743041079
20.0,716.5,1243.317871,522.5,1436.0,599.8442993,1208.94812,656.3746338,989.9203491,656.5273669516199,989.698023308322,716.2139828585377,1243.0342224747828,522.5268773345142,1435.9505170320544,329.9123329624786,4.65900335213405,0.0005708963669030928
21.0,716.5,1243.5,522.7211914,1436.721191,600.2254639,1209.188843,657.3725586,988.7843018,656.8144688667902,989.632642915858,716.4033256223714,1243.1848656073266,522.9252088375569,1436.451619523181,329.98489372232467,4.353645590763335,0.00022309257316641088
22.0,716.5,1243.317871,523.0,1436.5,600.0617065,1209.403931,656.5258179,990.3791504,656.9294892529321,989.7982896176646,716.5282660047297,1243.2676778529217,523.3298821086522,1436.9474417065924,330.0441924278747,3.5579223330012155,6.982328254803523e-05
23.0,716.5,1243.0,524.222229,1437.658081,600.0,1209.695923,656.5258179,990.3791504,656.8659108236475,990.1690781532618,716.5998662623361,1243.2989469334111,523.727655955416,1437.4233862583874,330.084516319416,2.4194334924800387,0.000231482511678033
24.0,716.5,1243.317871,524.2893066,1438.163574,600.0,1209.695923,656.5258179,990.3791504,656.6369167201066,990.6773570058064,716.6383114212341,1243.306428949007,524.1049314037415,1437.8669184044388,330.10322882409224,1.1227502805729728,0.0005909309066941577
25.0,716.6466064,1243.269043,524.2893066,1438.163574,600.1463623,1209.827148,656.5258179,990.3791504,656.2699340708596,991.2309201724788,716.6618905020225,1243.3164520427672,524.4529936113589,1438.2694808506126,330.10135755793283,-0.1122759695647346,0.0009037541273382903
26.0,716.6466064,1243.269043,524.2893066,1438.163574,600.3295288,1210.0,657.0,993.0,655.811301190549,991.7305338314612,716.6803966486692,1243.3448327245796,524.7673731324592,1438.6248760171302,330.0839164033617,-1.046469274268702,0.000959776944516252
27.0,716.6466064,1243.269043,525.3086548,1438.864258,600.3295288,1210.0,654.656311,992.1809082,655.3296288776183,992.093639024958,716.6941949858568,1243.393592602731,525.0426592415774,1438.9245633460978,330.05912556512857,-1.4874502939869672,0.0007134638781901303
