Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
1.0,715.5,1243.5,551.7911377,1448.702271,658.3911133,992.3911133,602.9536743,1211.766235,658.3888824104959,992.3917088756474,715.5000481332253,1243.5019908203194,551.7907682597854,1448.7013846060613,334.0379069301979,,
2.0,716.1798096,1243.5,551.8989868,1448.484863,658.0,992.104187,602.9536743,1211.766235,658.391467630378,992.0493901342676,715.7715350671627,1243.5068005703938,551.7611472640851,1448.44520755266,334.02087310467556,-1.0220295313399674,
3.0,716.1798096,1243.5,551.8010254,1447.900513,658.3644409,991.9111328,602.9536743,1211.766235,658.3784302214978,991.7161171992426,715.9980259646752,1243.509384821368,551.7303790035376,1448.2233916564198,333.99695794594,-1.4349095241345822,2.36763733958446e-05
4.0,716.1798096,1243.5,551.8010254,1447.900513,658.4767456,991.5,603.0864258,1211.261353,658.3349482274682,991.4059327657708,716.1514863689058,1243.507043153939,551.7004848519517,1448.057509049356,333.9739336116075,-1.3814600599494042,1.4005418452232543e-05
5.0,716.1798096,1243.5,551.5,1448.0,658.6286621,991.2615967,602.7868042,1211.246094,658.2520348316126,991.1393951251528,716.2278278362163,1243.4979274289935,551.6765942770218,1447.9518547211692,333.95606871648795,-1.0718937071726486,1.2329057517030977e-05
6.0,716.1798096,1243.5,551.5908813,1448.030273,658.0,990.5,602.8475342,1210.799683,658.1335612932984,990.9370618575864,716.2428527533717,1243.482359964181,551.6621873094604,1447.8970525107052,333.94412891888874,-0.7163878559526893,2.3764041012456206e-05
7.0,716.1798096,1243.5,551.5908813,1448.030273,658.0,990.5,602.8475342,1210.799683,657.9972431563262,990.808223063256,716.2227849114421,1243.4643303663747,551.6534443867729,1447.8808074093652,333.9364630138076,-0.4599543048675514,4.938036144758257e-05
8.0,716.1798096,1243.5,551.5908813,1448.030273,657.6936646,990.9008789,602.6835938,1210.648071,657.8673620547692,990.7433620842498,716.195100519931,1243.45252311843,551.6370711723896,1447.898967618574,333.93043335448584,-0.3617795593061146,5.046296360452513e-05
9.0,716.1798096,1243.5,551.5908813,1448.030273,657.6936646,990.9008789,602.6835938,1210.648071,657.7642592527247,990.7179642194284,716.1821457323914,1243.4599423243578,551.5935589127865,1447.960442743619,333.9235010912332,-0.4159357951573383,2.405114703381213e-05
10.0,716.1798096,1243.5,551.5908813,1448.030273,657.6936646,990.9008789,602.6835938,1210.648071,657.6968637685245,990.7060188956176,716.1974911183821,1243.5012600314994,551.5050372913477,1448.083349904706,333.9137650915691,-0.5841599798486641,5.652071492025894e-06
