Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
20,0.2593042254447937,-0.5354831218719482,-0.5311295390129089,0.4260466396808624,-0.6361888647079468,-0.4243108332157135,0.5894235372543335,-0.6528804898262024,-0.1313539445400238,0.4272127556530733,-0.6361177230579729,0.2595394889608494,-0.5358271113602812,0.5868922954537408,-0.6528241953974376,154.9102865458817,7.103751462339005,0.005246791253454817
21,0.2592071890830993,-0.5351523160934448,-0.5293436646461487,0.4228444397449493,-0.6347323656082153,-0.4246071279048919,0.5830406546592712,-0.6530537009239197,-0.1451774537563324,0.4240894034660905,-0.6353246978886282,0.2593357040114805,-0.5352673960742951,0.5758422811750816,-0.6530922822417535,155.10897463200743,11.92128516754451,0.010832042259405766
22,0.2590862810611725,-0.5351173281669617,-0.527397096157074,0.423404335975647,-0.6347850561141968,-0.4132053256034851,0.5741539597511292,-0.653024435043335,-0.0948716849088668,0.4216847286593037,-0.6346738625466672,0.2590619895156155,-0.5346688964704464,0.5690645261970732,-0.6536492211404058,155.3642190901285,15.31466748726416,0.013194252629472407
23,0.2588352859020233,-0.534559965133667,-0.5377975106239319,0.423304408788681,-0.6345388889312744,-0.4165434539318084,0.5634524822235107,-0.6534150838851929,-0.091812789440155,0.4198950584589171,-0.6341934678512013,0.2587924987129385,-0.5340378791116211,0.5657133191691884,-0.6544810441003654,155.63930485182905,16.505145702033133,0.009887720702899928
24,0.2587969899177551,-0.533367931842804,-0.5461216568946838,0.4174379706382751,-0.6340558528900146,-0.4214672446250915,0.5645686984062195,-0.655363917350769,-0.1049041524529457,0.4186085988877874,-0.6338969271373546,0.2585971702204717,-0.5333991158357658,0.5647321913963276,-0.6555025076144638,155.89524856471317,15.356622773047093,0.004085976950915082
25,0.2587192058563232,-0.5324059724807739,-0.5508589744567871,0.4172286987304687,-0.6337909698486328,-0.4217051863670349,0.563387930393219,-0.6576743721961975,-0.0832683444023132,0.4177810029571815,-0.6337917845717463,0.2585391750583714,-0.5327948365328046,0.5650993114395438,-0.656579070254733,156.10055237525424,12.31822863246407,0.0011522887833518825
26,0.2584052085876465,-0.5320385098457336,-0.5653528571128845,0.4178306758403778,-0.6337642669677734,-0.4345847070217132,0.5707287788391113,-0.658844530582428,-0.090985469520092,0.4174346103159562,-0.633880027015959,0.2586676230558095,-0.5322682639262956,0.5659918509969273,-0.6575784131591778,156.23800719906532,8.247289428664999,0.0031074173932379213
27,0.2583330571651459,-0.5317038893699646,-0.5629698038101196,0.4179566204547882,-0.6337822079658508,-0.4321446716785431,0.5744093656539917,-0.6585981249809265,-0.0954855978488922,0.4176209418608083,-0.6341497351536364,0.2590042562019417,-0.5318442875810049,0.5669376719954433,-0.6584200121342134,156.30713190999535,4.147482655801582,0.007296038038552274
28,0.2594526708126068,-0.5316873788833618,-0.5626453161239624,0.418365478515625,-0.6347190737724304,-0.4321461617946625,0.5684426426887512,-0.6584904193878174,-0.0765407979488372,0.41838141837381,-0.6345658368328583,0.2595315108516054,-0.5315204760414407,0.5678831309471729,-0.6590867375890793,156.3215782226475,0.8667787591292608,0.009609549620334
29,0.2606048882007599,-0.5312831997871399,-0.5502694845199585,0.4184517860412597,-0.6350049376487732,-0.4141435027122497,0.5611135959625244,-0.6590043902397156,-0.0438855327665805,0.4197084260108916,-0.6350675492647921,0.2601940367258603,-0.5312712508567609,0.5690569478168004,-0.6595913157962331,156.30211031079705,-1.168074711027316,0.008325527082138759
