Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
13,0.2905854880809784,-0.5162161588668823,-0.5146676898002625,0.2608916759490967,-0.6535345911979675,-0.5495468378067017,0.3383930921554565,-0.8137633800506592,-0.4733574092388153,0.3066614270210266,-0.7419776320457458,-0.1835658699274063,0.2906984031506608,-0.5160786898311701,0.3382710283568535,-0.8138271641249287,0.3066589887402244,-0.7420833848166803,5.124764828884337,-3.465570348824354,0.001207986756506372
14,0.2907699048519134,-0.5161147713661194,-0.5159136056900024,0.260486364364624,-0.6535544991493225,-0.5539159178733826,0.3380333483219147,-0.8137580156326294,-0.4825829863548279,0.3066480457782745,-0.7423312067985535,-0.1836288124322891,0.2908389361877629,-0.5161165486120933,0.3380135129836129,-0.8137362423793522,0.3067732331160315,-0.7425008736620289,5.067108580385843,-3.4593749099096627,0.0006122092988850426
15,0.291240781545639,-0.5161191821098328,-0.5203647613525391,0.2603122889995575,-0.6539480686187744,-0.5609456896781921,0.3378263115882873,-0.8136119842529297,-0.4914173781871795,0.3069800734519958,-0.7429155111312866,-0.1835142523050308,0.2910585923014789,-0.5162266953959298,0.3377353662364167,-0.8136437977065588,0.3070335589062686,-0.7429373738172034,4.99572038441366,-4.283291758330936,0.00017771611688403995
16,0.2912496924400329,-0.5161999464035034,-0.5213846564292908,0.2601702511310577,-0.6547191739082336,-0.5644492506980896,0.337451159954071,-0.8136311769485474,-0.4967810213565826,0.3070583939552307,-0.743323028087616,-0.1836217194795608,0.2913853359741675,-0.5164203304782483,0.3374874543418508,-0.8135860703902388,0.3075205759662422,-0.7433743360530222,4.898210586745416,-5.850587860094638,0.0002643827107698311
17,0.2915047109127044,-0.5166080594062805,-0.55026775598526,0.2601379454135895,-0.6553830504417419,-0.5918447971343994,0.3370120227336883,-0.8136471509933472,-0.5133696794509888,0.3078494966030121,-0.7439287304878235,-0.183733731508255,0.2918222641687469,-0.5166932836576801,0.3373182696559192,-0.8135933055974782,0.3082644930766053,-0.7437822851223517,4.767252683659061,-7.857474185181328,0.0009811755544183553
18,0.292082130908966,-0.5170547962188721,-0.5443070530891418,0.2603501379489898,-0.6556292772293091,-0.5749920606613159,0.3370082080364227,-0.8135527968406677,-0.4849330186843872,0.3088738918304443,-0.7442501187324524,-0.183710440993309,0.2923401389945846,-0.5170222681381211,0.3372560895951036,-0.8136830191540394,0.3092284806389447,-0.7441312916466255,4.6030186332658785,-9.85404302359095,0.0019019138293108566
19,0.292699933052063,-0.5173934698104858,-0.5401546955108643,0.2606302201747894,-0.6558672785758972,-0.5767489671707153,0.337101399898529,-0.8135331273078918,-0.5005956292152405,0.3100520074367523,-0.7444784045219421,-0.1835786402225494,0.292878153212848,-0.5173693153949217,0.3372974869156998,-0.8138530300685687,0.310314872562128,-0.7444008446641768,4.4133456212309214,-11.38038072209742,0.0023054702491508428
20,0.293845385313034,-0.5178417563438416,-0.5271945595741272,0.2612831890583038,-0.6561049818992615,-0.5525278449058533,0.3375769853591919,-0.8138982057571411,-0.4525122344493866,0.3124024569988251,-0.744604766368866,-0.1823783963918686,0.293358597286472,-0.5176919456744394,0.3374085835989402,-0.8140773965512671,0.311396747920966,-0.7445848690942597,4.21126722301153,-12.124703893163511,0.0018422835912990318
21,0.2940531969070434,-0.5180930495262146,-0.5256538391113281,0.2615149319171905,-0.6561816930770874,-0.5490700006484985,0.3378154635429382,-0.8146042227745056,-0.4469848871231079,0.3129037916660309,-0.7446396350860596,-0.1822484284639358,0.2937132552421567,-0.5179541121595548,0.3375396402523907,-0.8143107513143857,0.3123654137726695,-0.7446903001706962,4.01051288966962,-12.04526000051457,0.0009087970718684521
22,0.2940573692321777,-0.5180943012237549,-0.5244269967079163,0.2615973949432373,-0.6559632420539856,-0.5500712394714355,0.3378390669822693,-0.8147322535514832,-0.4543582201004028,0.3132954835891723,-0.7446373105049133,-0.1822795867919922,0.2939097845678586,-0.5181332843717872,0.3376456929100556,-0.8145028513955106,0.3131721093471551,-0.7447308783797646,3.820639207733695,-11.3924209161555,0.0002308141791592895
