Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
1.0,398.0,902.6231689,467.8533325,1312.853394,551.8700562,734.4915161,433.6378479,765.300415,548.9500122,934.9000244,548.9505142528815,934.9005641651056,551.8695513864261,734.4914787128757,467.85310957394495,1312.8530908738428,168.72412811970582,,
2.0,398.2416687,902.5,467.5,1312.5,551.8700562,734.4915161,433.6378479,765.300415,548.9500122,934.9000244,548.9667960293318,934.885944251002,551.8919313808817,734.4856104220661,467.99543414930423,1312.7261090694903,168.7307510232976,0.3973742155073978,
3.0,398.2416687,902.5,468.0,1312.844482,551.8700562,734.4915161,433.6378479,765.300415,548.9500122,934.9000244,548.9732458860947,934.8784204872528,551.9170085094307,734.4926563225192,468.1702404297661,1312.6170669630717,168.74538380739904,0.8779670460853595,3.2079092889296856e-05
4.0,398.3900757,902.8581543,468.5,1312.5,552.2051392,734.4487305,433.6378479,765.300415,548.9500122,934.9000244,548.9598971334425,934.8846300924016,551.9485721854819,734.5215717443756,468.3929563561271,1312.5396781527938,168.77200044753937,1.5969984084199496,0.00010125341541873912
5.0,398.3900757,902.8581543,468.5,1312.244385,551.8700562,734.4915161,433.6378479,765.300415,548.9500122,934.9000244,548.9186698658744,934.9103166430828,551.9928297876083,734.573926762383,468.65387209473494,1312.5000542208104,168.81452748711715,2.5516223746666356,0.00024398814768765702
6.0,398.5101929,902.8639526,469.0,1312.5,552.09375,734.588562,433.6378479,765.300415,548.9500122,934.9000244,548.8454965189673,934.958785520471,552.0571384140211,734.6423368744402,468.92188565302627,1312.4940559185457,168.87495150182824,3.625440882665316,0.00046912472124801917
7.0,398.6231995,903.0,469.0,1312.5,552.0588379,734.7548828,433.6378479,765.300415,548.6256714,935.053833,548.7420550801837,935.0290843865404,552.1456919678262,734.7123704624869,469.15457793008574,1312.507639814392,168.95200394418538,4.623146541428582,0.0006321706062254768
8.0,398.6231995,903.0,469.6581116,1312.777832,552.027771,734.9074097,433.6378479,765.300415,548.6256714,935.053833,548.6160886402026,935.1149193618792,552.2541597018907,734.7681675715253,469.3111087417976,1312.5222308134792,169.04054002446796,5.312164816954805,0.0006300835178831756
9.0,398.6231995,903.0,469.5,1312.5,552.2677002,734.944458,433.6378479,765.300415,548.6256714,935.053833,548.4806251151273,935.2051741472474,552.3671222920734,734.7993902596903,469.36555525208337,1312.5228370787406,169.13189143983894,5.481084922258788,0.00041902571416690775
10.0,398.6231995,903.0,469.5,1312.5,552.7211914,734.7211914,434.1092834,764.5847168,548.2984009,935.5268555,548.3527523054146,935.2868026065534,552.4618631477057,734.8054064204666,469.3161797005219,1312.5037458028066,169.21531240028355,5.00525762667678,0.00015130158655816427
