Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,Right_Hip (X)_smoothed_smoothed,Right_Hip (Y)_smoothed_smoothed,angles,velocity,roughness
11,0.2255245149135589,-0.5740252733230591,-0.2944155931472778,0.2642065286636352,-0.7285723090171814,-0.3467993438243866,0.38526052236557,-0.9137393832206726,-0.3830848634243011,0.3885256946086883,-0.8201739192008972,-0.1849743276834488,0.2257042200489696,-0.57362794462726,0.3811244862081084,-0.9161182660312868,0.3884382306469941,-0.8198606572598225,0.2266198348763088,-0.5736258181758722,0.379800863648464,-0.9177437616044924,0.3876884267538844,-0.8196038931377986,-8.888940869359871,-13.29513337483384,0.11936308976090745
12,0.225468635559082,-0.5735688805580139,-0.2909856140613556,0.2634536325931549,-0.7285711765289307,-0.3471864461898803,0.3809579908847809,-0.917663037776947,-0.3858038485050201,0.388272076845169,-0.8199917078018188,-0.1849575787782669,0.2253712234250623,-0.5733663287714549,0.3839716988126719,-0.9142944581685224,0.3882881424967296,-0.8198934251608279,0.2261011618740215,-0.5735249081387114,0.3813546790173175,-0.9165107218915696,0.3879744629384452,-0.8197616265971381,-8.919946755993033,-1.860353197989717,0.10545402795207948
13,0.2253131866455078,-0.5724906325340271,-0.2830616533756256,0.2630849778652191,-0.7284287214279175,-0.3416996002197265,0.3848164081573486,-0.9134631752967834,-0.3864865303039551,0.3881432116031647,-0.8198803067207336,-0.1846729516983032,0.2250929735054847,-0.5730757987348118,0.3876240149657343,-0.9121864109088093,0.3880976475114454,-0.8199559398770188,0.225686670455642,-0.573346205896693,0.3837621223704331,-0.914915132507633,0.3880532109934721,-0.8198720777314213,-8.766092972637681,9.231227001321116,0.09524287289212653
14,0.2249046415090561,-0.5725481510162354,-0.2803556025028229,0.2629276514053345,-0.7284315824508667,-0.3368176221847534,0.3912192583084106,-0.9089956283569336,-0.3864729404449463,0.3879399299621582,-0.8200584650039673,-0.1837265938520431,0.2248668820333994,-0.5728211001802876,0.3919583727471706,-0.9097758899597792,0.3879078549920087,-0.8200340439837969,0.2253551969672511,-0.5731357696289469,0.3869775036624377,-0.9129473781324308,0.3880068035219299,-0.8199549745507375,-8.438723974175463,19.64213990773306,0.08726274868853824
15,0.2245925664901733,-0.572594404220581,-0.2726303040981293,0.2628626227378845,-0.7287083268165588,-0.3226666152477264,0.3975198268890381,-0.9063816666603088,-0.3741505742073059,0.3877298533916473,-0.820079505443573,-0.1823309063911438,0.2247016512379719,-0.5726455123908771,0.3966519836934113,-0.90717279357479,0.3877432135284994,-0.8201158580741095,0.2250954369976071,-0.5729386619975596,0.39082299435988,-0.9106744459379332,0.3878999890618979,-0.8200241481766686,-7.960676438011688,28.682852169826543,0.07738835296992155
16,0.2245189696550369,-0.5726196765899658,-0.2701029479503631,0.2628594040870666,-0.7292139530181885,-0.316249132156372,0.4016247689723968,-0.905170440673828,-0.3678582906723022,0.3876399993896484,-0.8202160000801086,-0.1818973571062088,0.2246103719181262,-0.5725602958240009,0.4012574226052794,-0.9045586869834648,0.3876162205684387,-0.8201918435539564,0.2249054198179109,-0.572786274986951,0.3950007702841387,-0.908226361576502,0.3877783699448125,-0.8200873872765343,-7.368511147855556,35.5299174093679,0.06216267072600989
17,0.2245268523693084,-0.5726259350776672,-0.2706724405288696,0.2628582119941711,-0.7296344041824341,-0.3185398578643799,0.4083104431629181,-0.900583803653717,-0.3665384352207184,0.3875397145748138,-0.8202853798866272,-0.1819971799850464,0.2246010277903432,-0.5725493865704921,0.4053396693729456,-0.9021166290129732,0.3875306406968653,-0.8202549985057165,0.2247877677660517,-0.572690767169561,0.3991545732663718,-0.9057601369408872,0.3876698948668324,-0.8201470088294959,-6.709594611233253,39.53499219733816,0.04176757674259202
18,0.2245751917362213,-0.5726566314697266,-0.2715219557285309,0.2628540694713592,-0.7298576235771179,-0.3208537995815277,0.4090514183044433,-0.8995053172111511,-0.3672061860561371,0.3875048458576202,-0.8202657103538513,-0.1819437146186828,0.2246694790721208,-0.5725823281689214,0.4086011535465733,-0.8999809946642989,0.38748366073076,-0.8203012973635903,0.2247433959052881,-0.5726470186966759,0.4029538201658382,-0.9034215427970784,0.3875880980760992,-0.8202015410567715,-6.035009817117902,40.4750876469211,0.02095806126633019
19,0.2248030304908752,-0.5726907253265381,-0.2841531038284302,0.2629871964454651,-0.7304150462150574,-0.3315066397190094,0.4095554053783417,-0.8993658423423767,-0.3690680861473083,0.3874450027942657,-0.8203157186508179,-0.1819983571767807,0.224797965652282,-0.572627373412977,0.4109373709971184,-0.8982199353046136,0.387467157303772,-0.8203298519533173,0.2247666639020703,-0.5726391050479456,0.4061630569816061,-0.9013194098893652,0.3875357119328621,-0.8202479357645257,-5.391190938170357,38.62913273685267,0.0063590130411783985
20,0.2250612825155258,-0.5727005004882812,-0.2891278564929962,0.2630734741687774,-0.7306993007659912,-0.3344356417655945,0.411703884601593,-0.8977302312850952,-0.3702207207679748,0.3874253332614898,-0.8203665018081665,-0.181453064084053,0.2249592031502793,-0.5726606129631278,0.4124134913913467,-0.896848886113629,0.3874682207500393,-0.8203428591791941,0.2248438736186258,-0.5726478423117628,0.408671756068819,-0.8995190315821111,0.3875076876726102,-0.8202836616594379,-4.813429923482487,34.66566088127222,0.001793447972718529
21,0.2251836210489273,-0.5726930499076843,-0.2964678406715393,0.2631300985813141,-0.7307469844818115,-0.3425481021404266,0.4138107001781463,-0.8950004577636719,-0.3724842071533203,0.3873894214630127,-0.8203886151313782,-0.1812704056501388,0.225123900399237,-0.5726702185184461,0.413203006872931,-0.8958534903243623,0.3874696563416847,-0.8203457542947613,0.224955340829039,-0.5726569908234236,0.4104862842511547,-0.8980493275924928,0.3874933786883632,-0.8203083840053119,-4.322797971689507,29.4379171075788,0.005748036873577863
22,0.2252930551767349,-0.5726855397224426,-0.3056502938270569,0.2631401717662811,-0.7307389974594116,-0.3539605140686035,0.4140172898769378,-0.8945997953414917,-0.3811454772949219,0.3874618113040924,-0.8203818202018738,-0.1812920272350311,0.225268200561736,-0.5726563737990382,0.4135372193524667,-0.8951952212501669,0.3874518526501097,-0.8203473214875358,0.225079699067936,-0.5726569184875354,0.4117045407939464,-0.896909965838356,0.3874784593438652,-0.8203250401552312,-3.925915913125423,23.81292351384504,0.012959211276120338
23,0.2254060804843902,-0.5725891590118408,-0.3062983155250549,0.2631401121616363,-0.730732262134552,-0.3585142195224762,0.4141461253166199,-0.8941613435745239,-0.3903088569641113,0.387451022863388,-0.8203703165054321,-0.1814882606267929,0.2253781210706328,-0.5726279707897701,0.4136744744899758,-0.8948012125131254,0.3873971724657128,-0.8203586992908402,0.2251983819378321,-0.5726454495297932,0.412488759195618,-0.8960712204511248,0.3874475663606511,-0.8203399185593997,-3.616309965686947,18.576356846308563,0.018094916984885676
24,0.2254566401243209,-0.5725237131118774,-0.3054027557373047,0.2631300389766693,-0.7307227253913879,-0.3583049178123474,0.4137802720069885,-0.8944882154464722,-0.392407476902008,0.3874363005161285,-0.8203201293945312,-0.1815456598997116,0.2254502179718072,-0.5725973758725162,0.4138651427916726,-0.8945661954158193,0.3872963998015374,-0.8203904935632514,0.2252986873027772,-0.5726262625650583,0.4130357721822908,-0.8954739134428056,0.3873882050009461,-0.8203613277909246,-3.3769836325439373,14.359579988580586,0.018442398260151083
