Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
1,0.5474963188171387,-0.916066586971283,0.0971779897809028,0.3900502622127533,-0.9106723070144652,0.0506143718957901,0.5361742973327637,-0.7585977911949158,-0.0003922147734556,0.4028336107730865,-0.7577833533287048,-1.4369132259162145e-05,0.4796834290027618,-0.5024538636207581,0.3871521651744842,0.4028364909215429,-0.7577841516868615,0.3900489524620019,-0.91067471528544,0.4796785383973395,-0.502452997932147,191.96819017297295,,
2,0.5474776029586792,-0.9185594916343688,0.0975258201360702,0.3909564912319183,-0.910572111606598,0.0380144193768501,0.5364167094230652,-0.7583116292953491,-0.0026308072265237,0.4032143056392669,-0.7577515244483948,0.0022655921056866,0.4812995195388794,-0.505145788192749,0.3494102358818054,0.4034512465128817,-0.757847768452626,0.3913524860919585,-0.910836343575444,0.4810487887821831,-0.5041169897568806,192.17423857227857,12.362903958336917,
3,0.54746013879776,-0.9197822213172911,0.0947035625576973,0.3923810422420501,-0.910862147808075,0.0235519409179687,0.5364246368408203,-0.7582213282585144,-0.0038740576710551,0.4038845002651214,-0.7577502131462097,0.0035364658106118,0.4825339913368225,-0.5067538022994995,0.3369008004665375,0.4042083179122867,-0.757850266303805,0.3926588322150133,-0.9109222331342242,0.4823916906853603,-0.5055344163915814,192.46510800540236,17.452165987427293,0.0035973038889918207
4,0.5478039383888245,-0.9200713634490968,0.1015510559082031,0.3937092125415802,-0.9111317992210388,0.0099746929481625,0.5369083881378174,-0.7581978440284729,-0.0021514005493372,0.4054673314094543,-0.7577422857284546,0.00186357810162,0.4836326837539673,-0.5070552229881287,0.2872077226638794,0.4052131262470831,-0.757738395329088,0.3939552265092841,-0.910867124046208,0.4836769363939962,-0.5065402437703076,192.73580474922724,16.241804629493117,0.0019634922701026575
5,0.5480820536613464,-0.9214037656784058,0.1093170046806335,0.3955614268779754,-0.9109373688697816,0.0111946845427155,0.5370340943336487,-0.7582063674926758,-0.0007555197225883,0.4062178432941437,-0.7577774524688721,0.0005237917066551,0.4843724071979522,-0.5069928765296936,0.3105272650718689,0.4065100517465824,-0.757477387334394,0.3952114291151581,-0.9106283400168802,0.4848754038397884,-0.507091769809109,192.9053575192459,10.173166201120123,0.0031717267301616535
6,0.5490521192550659,-0.9223434329032898,0.0990371480584144,0.3968315422534942,-0.9101301431655884,0.0141392014920711,0.5370315313339233,-0.758259117603302,-0.0052723451517522,0.4071300327777862,-0.7576770186424255,0.0051247025839984,0.4857697784900665,-0.5068318843841553,0.3127026259899139,0.4080667271149,-0.757062713353048,0.3963916166395024,-0.9101976976471392,0.4859548014196374,-0.5072558847278342,192.9261309962543,1.2464086205034164,0.01149681302144704
7,0.5506088733673096,-0.9224583506584167,0.0758227705955505,0.3976234197616577,-0.9094566702842712,0.0174970552325248,0.5378780961036682,-0.7572713494300842,-0.0097582703456282,0.4093116223812103,-0.7562363147735596,0.0096273208037018,0.4870643317699432,-0.5067464113235474,0.3506506979465484,0.4097720525838961,-0.7565249023441795,0.3974702973805826,-0.9096053132627246,0.4868820364029302,-0.5071606518008187,192.79107407763203,-8.103415117336112,0.03230114913649514
8,0.5514779686927795,-0.9228988885879515,0.0684375762939453,0.3981154859066009,-0.909442901611328,0.0191645137965679,0.5390823483467102,-0.7568765878677368,-0.0127306124195456,0.4120338261127472,-0.7554877996444702,0.012606100179255,0.488421231508255,-0.5066369771957397,0.3661081492900848,0.4114582720479817,-0.7559197524259507,0.3984382932786354,-0.9089138200050972,0.4876379589944282,-0.5069410725209837,192.5339452818266,-15.42772774832656,0.04646607026510378
9,0.5523390173912048,-0.9228276610374452,0.0713054984807968,0.3987772464752197,-0.9080889225006104,0.0275051407516002,0.54039466381073,-0.756748616695404,-0.0131685668602585,0.4141546785831451,-0.7551224231719971,0.0130445100367069,0.4884292185306549,-0.5065656304359436,0.3378762006759643,0.4129514841598255,-0.7553072401238589,0.3992944400977016,-0.9082059483291935,0.4882365093338913,-0.5067011225984155,192.21782586833055,-18.96716480976238,0.03995158186155076
10,0.5530723333358765,-0.922771155834198,0.0682957172393798,0.4001112878322601,-0.907109558582306,0.0510664954781532,0.5409383773803711,-0.7565260529518127,-0.0204118154942989,0.4147097170352936,-0.7546743750572205,0.0203110668808221,0.4883730411529541,-0.5065253376960754,0.3631469011306762,0.4141319525601486,-0.7547332535933882,0.4000329947172742,-0.907566329065996,0.4887316799932293,-0.5064994057470245,191.91310358141317,-18.283337215042938,0.020165176637859952
