Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.0,403.2176819,900.9251709,473.5,1307.5,558.1455688,733.5057373,439.5,761.2416382,552.5,935.0,552.4991894392704,935.0013918367844,558.1455664180816,733.5057151931818,473.5000240475038,1307.4999919238037,169.63131768777947,,
2.0,403.3768005,901.0,474.1360474,1307.721069,558.1455688,733.5057373,439.5,761.2416382,552.5,935.0,552.4951950113523,935.0028015902597,558.175602277729,733.5235843864193,473.6294466290968,1307.6092419360418,169.64443799168305,0.7872182342146061,
3.0,403.3768005,901.0,474.0,1308.0,558.1455688,733.5057373,439.5,761.2416382,552.5,935.0,552.4904501579073,935.0038843541024,558.1773597322714,733.534760844459,473.7257751234257,1307.7057645740797,169.66021974262517,0.9469050565274983,3.5416501694985016e-06
4.0,403.3768005,901.0,473.6349182,1307.769897,558.1455688,733.5057373,439.5,761.2416382,552.5,935.0,552.4868732488641,935.003796652536,558.1279574481553,733.5329053691789,473.77254393065056,1307.784520007452,169.6684179994211,0.4918954077561466,1.4803205255686642e-05
5.0,403.5,901.5,473.777771,1307.658081,558.1455688,733.5057373,439.1418457,761.3900757,552.5,935.0,552.4873249905465,935.0016399309508,558.0159806643189,733.5133629199105,473.774503101354,1307.8495318731752,169.6614265484033,-0.4194870610677981,0.00010355398904378733
6.0,403.5,901.5,473.6349182,1307.769897,558.1455688,733.5057373,439.5,761.2416382,552.5,935.0,552.4948234408207,934.9969141539674,557.8472446171758,733.4759649550907,473.750009305642,1307.9082486077664,169.63600757362056,-1.5251384869651474,0.000294755778078387
7.0,403.3603516,901.3603516,473.5,1308.0,557.7095337,733.8762207,439.5,761.2416382,552.5,935.0,552.5109993536237,934.9901462924942,557.6464489999921,733.428506963048,473.7192517766054,1307.9645803281692,169.59400260117818,-2.520298346543086,0.0005667379326103799
8.0,403.2176819,900.9251709,473.829071,1308.093994,557.0,733.2476196,438.8641968,761.3086548,552.5,935.0,552.5339747377726,934.9835117011876,557.4505510200233,733.3875892115839,473.69572070297903,1308.0165911961917,169.54182683744966,-3.130545823710804,0.0006113920280480475
9.0,403.170929,901.0939941,473.6936951,1308.099121,557.300415,732.9382935,438.1358032,761.3086548,552.5,935.0,552.556292206049,934.9811306650828,557.2948045304429,733.3727145684552,473.6838922329844,1308.0593654198292,169.48880981402078,-3.1810214057327357,0.0003851793543945804
10.0,403.170929,901.0939941,473.6936951,1308.099121,557.0,733.2476196,438.5,761.5,552.5,935.0,552.5639792446985,934.9886570483826,557.1992606141089,733.395121451188,473.6818066311548,1308.089191958478,169.44501237822203,-2.6278461479250836,0.0001237134635747312
