Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
11,0.314547598361969,-0.4540875554084778,-0.4177680909633636,0.5025234818458557,-0.5326666235923767,-0.4177691042423248,0.7507045269012451,-0.5482283234596252,-0.2110005021095276,160.90165737597647,0.5024360992377319,-0.5326765621628297,0.3146779157775278,-0.4540337550699224,0.7509483099738563,-0.5482108092700763,160.83679056025298,0.5443321819672065,0.002365797813321057
12,0.3149347007274627,-0.45410817861557,-0.4200294911861419,0.5026193261146545,-0.5326715111732483,-0.4239512383937835,0.750810980796814,-0.5483793020248413,-0.2254188805818557,160.90755162573055,0.5025696705036136,-0.5326790856932061,0.3148706545988514,-0.4541312546219061,0.751056363466649,-0.5482857439099836,160.85632540100275,1.1720904449862246,0.0015186012458503395
13,0.3151354193687439,-0.4541381597518921,-0.4290751814842224,0.5026684999465942,-0.5326694846153259,-0.4351743757724762,0.7508447766304016,-0.5483881235122681,-0.2314051538705825,160.90210003888797,0.5026717980703312,-0.5326747270845694,0.3150384532569149,-0.4541943855173862,0.7510599836588975,-0.5483414400005178,160.8782929491062,1.3180528862068286,0.0006860888814521512
14,0.3153057098388672,-0.4541983604431152,-0.430555909872055,0.5027123689651489,-0.5326722264289856,-0.4377357065677643,0.7509288787841797,-0.5483826994895935,-0.2331762462854385,160.90081216963847,0.5027275157335694,-0.5326675938911382,0.3151770924783508,-0.4542348385464838,0.7509714034800035,-0.5483793678269608,160.8977959591043,1.1701805998853845,0.00019070534911358708
15,0.3153285086154938,-0.4542571008205414,-0.4291002154350281,0.5027283430099487,-0.5326693058013916,-0.4378346800804138,0.7509143948554993,-0.5483839511871338,-0.2388038039207458,160.9175129942903,0.5027393379054652,-0.5326609559399677,0.3152803754566622,-0.4542625500058014,0.7508046582060306,-0.5484038545582816,160.91299606084283,0.9120061043125816,2.5860296370468338e-05
16,0.315319687128067,-0.4542933702468872,-0.4287520945072174,0.5027483701705933,-0.5326536893844604,-0.4377532005310058,0.7506032586097717,-0.5484222769737244,-0.2401281893253326,160.95140062947144,0.5027206462414782,-0.5326573201090653,0.3153467230237382,-0.4542839026730508,0.7505731790338785,-0.5484215590525978,160.9242241228577,0.6736837208927682,1.8184366825693187e-05
17,0.3153163492679596,-0.4542950689792633,-0.4292831718921661,0.5026078224182129,-0.5326539278030396,-0.4392598867416382,0.7502661943435669,-0.5484447479248047,-0.2439075261354446,160.94484801869976,0.5026891315473402,-0.532658437350188,0.3153801481059179,-0.4543019146341757,0.7502920863430896,-0.5484397034472245,160.932924781691,0.5220395299983238,3.056536947583886e-05
18,0.3153842091560364,-0.4543260037899017,-0.4293849468231201,0.5026090741157532,-0.5326539874076843,-0.4410321414470672,0.7499876022338867,-0.5484535694122314,-0.2635823488235473,160.95176835955613,0.5026608722980339,-0.5326651864682569,0.3153879994508606,-0.4543174955162428,0.7499801022101515,-0.5484642389339653,160.94080217510535,0.472643604859968,2.343849814820841e-05
19,0.3154211342334747,-0.4543547332286834,-0.4310157299041748,0.5026167631149292,-0.5326769948005676,-0.4447778761386871,0.7496671676635742,-0.5484699010848999,-0.2684303224086761,160.95337138114223,0.5026459006932262,-0.5326775287192641,0.3153785726408649,-0.4543309325426698,0.749659766974162,-0.5484982871758848,160.9492092496406,0.5044244721153746,9.220218524206092e-06
20,0.3153339922428131,-0.4543551504611969,-0.435304194688797,0.5026229619979858,-0.532712996006012,-0.4548248946666717,0.7494593858718872,-0.5484977960586548,-0.2928487956523895,160.95556296199356,0.5026464358940996,-0.5326947481772745,0.3153600055602905,-0.4543431196188612,0.7493567040670447,-0.5485410265305068,160.95872161218006,0.570741752367212,1.7057255131067759e-06
21,0.3153370320796966,-0.4543558955192566,-0.4348587691783905,0.5026898384094238,-0.5327228903770447,-0.4515942931175232,0.7491631507873535,-0.5485734939575195,-0.2782421112060547,160.98074289289548,0.5026582313895647,-0.5327159234517976,0.315339959238713,-0.4543561418522862,0.7490978915012384,-0.5485875814828887,160.96892744391354,0.6123499040091929,8.500882872924367e-07
22,0.3153232336044311,-0.4543537497520447,-0.4346701800823211,0.502699077129364,-0.5327216386795044,-0.4513710737228393,0.7486673593521118,-0.5487050414085388,-0.2770240902900696,161.0213574759165,0.5026742256669264,-0.5327402964356537,0.3153253284746201,-0.4543729990213991,0.7489077840445036,-0.5486305067398356,160.97855221626853,0.5774863412989362,9.099893400031604e-07
23,0.3153532743453979,-0.4543930292129516,-0.4429819285869598,0.5027656555175781,-0.5327723622322083,-0.4642738699913025,0.7487878799438477,-0.5486802458763123,-0.302280455827713,161.00402912197137,0.5026888973192106,-0.532767308224383,0.3153219448462305,-0.4543967184079339,0.7488024285214113,-0.5486625607156587,160.9859564453069,0.4442537423022941,1.250042936649975e-06
