Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,262.5797729,1012.301392,285.0,917.0,447.5,991.5,681.0753174,961.9246826,447.50144963742065,991.498733321672,285.00111168759463,917.002685855476,262.58186890573876,1012.301188456748,31.04691963731898,,
2.0,262.5797729,1012.301392,285.0,917.0,447.6825256,991.3174438,681.4765625,962.2838745,447.74526017018104,991.455279582235,307.3600385163748,916.9122775427492,262.6320344911333,1012.2953854994556,32.384607579207454,80.26127651330853,
3.0,262.5797729,1012.301392,285.0,917.0,448.1551208,991.6897583,681.6819458,962.7233276,447.9552436223641,991.4136869357544,351.1935438514694,916.8266312372186,262.7692429188924,1012.2868765884044,37.05361921530914,280.1406981661012,5.548858777813177
4.0,262.5797729,1012.301392,285.0,917.0,448.1551208,991.3102417,681.5971069,963.7883911,448.1047385850302,991.377677826211,429.32643108630936,916.759332557515,263.04897181648477,1012.273737612466,55.15888976946551,1086.316233249382,78.79709965464318
5.0,262.5797729,1012.301392,285.0,917.0,448.1551208,991.3102417,681.4365234,964.2327881,448.18058977067784,991.3532816688652,540.0626864647098,916.7332149328716,263.47385206510177,1012.255238305204,92.04543721857722,2213.1928469467025,260.6008321549768
6.0,264.5703125,1012.194031,929.9042358,915.7598877,448.1551208,991.3102417,681.1560669,964.3121948,448.1845549203492,991.3463455507678,667.2793979253555,916.7713982530072,263.9910128139236,1012.2309371591896,122.29581368391396,1815.0225879202048,240.45510664798843
7.0,265.2043762,1012.037048,929.5,916.9319458,448.1551208,991.3102417,681.4758301,964.2285156,448.1310718402049,991.358802579344,787.7242836090157,916.8813606335932,264.51506360231883,1012.1984625654884,143.0195765516412,1243.4257720636338,151.68955649973452
8.0,265.2190552,1011.983704,929.5,916.9319458,448.1551208,991.3102417,681.1243286,965.055542,448.0436167610488,991.3864262015318,881.6641635013973,917.0447856978022,264.9664092904939,1012.1515986950508,156.5087735924863,809.3518224507068,90.25737089971479
9.0,265.2536316,1012.388428,929.4134521,917.8573608,447.8422546,991.5,680.6856079,965.6359253,447.9505297385789,991.4196455086508,940.1242007341756,917.2237605969834,265.30135417572427,1012.0818866016476,165.05778242315472,512.9405298401048,136.16691847503225
10.0,265.3252869,1012.211487,929.7496338,917.512146,447.8422546,991.5,680.7375488,965.5643311,447.8797546358194,991.4472390757728,965.3991458598566,917.3788316832572,265.5187291234118,1011.9848494680824,170.3469245257153,317.34852615363536,100.33851344126946
