Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
1.0,374.6515198,1233.113647,467.8869934,1696.113037,423.9393921,1067.735962,519.8955688,1245.164673,543.0670776,1015.400391,519.8968506253148,1245.1638204449407,543.0673606150631,1015.3998602605756,467.8869828028466,1696.1130313439685,179.17942149459975,,
2.0,375.0,1233.5,468.1699219,1696.169922,423.7729492,1068.32373,520.0925903,1245.379639,543.3574219,1015.5,519.978659409059,1245.217386791846,543.2174879182063,1015.4301250578328,467.99894359648465,1696.1355482468578,179.18726736571867,0.4707522671350261,
3.0,375.0,1233.5,468.1699219,1696.169922,424.0,1068.4021,520.2592773,1245.351807,543.5297852,1015.452393,520.0553340118784,1245.267416023708,543.3508742848921,1015.4530129313016,468.0929868225284,1696.154466426615,179.19799350324806,0.6435682517633268,4.147967297645699e-06
4.0,375.0,1233.5,468.1699219,1696.169922,424.0,1068.4021,519.8955688,1245.164673,543.5,1015.5,520.1250715222205,1245.3132706374993,543.4592677688019,1015.4649973042248,468.15801192685063,1696.1675517104488,179.2074796247647,0.5691672909978251,2.0873326123978726e-06
5.0,375.0,1233.5,468.1699219,1696.169922,424.0,1068.4021,520.1846924,1245.396362,543.5,1015.5,520.1894869899428,1245.356716127627,543.5462536826648,1015.468680191888,468.19243494925945,1696.1744806098884,179.21328423042957,0.3482763398926636,4.538816265695483e-06
6.0,375.0,1233.5,468.1699219,1696.169922,424.2893066,1068.163574,520.333313,1245.333374,543.5819092,1015.54718,520.2509738525173,1245.3992482259046,543.6236287321304,1015.473021689426,468.20223701052686,1696.176448420693,179.21512372063447,0.1103694122940623,1.2185400928544681e-05
7.0,375.0,1233.5,468.1699219,1696.169922,424.2893066,1068.163574,520.1846924,1245.396362,543.5,1015.5,520.3107144827331,1245.4400979241036,543.7040221653659,1015.4911759791734,468.1968246361824,1696.1753389728829,179.21452491000406,-0.0359286378244405,2.3469382235845282e-05
8.0,375.0,1233.5,468.1699219,1696.169922,424.3986816,1068.130737,520.4310913,1245.608887,543.8929443,1015.422241,520.3686433558718,1245.4764551700096,543.7945196750675,1015.5356568819706,468.1852436561379,1696.1729672805488,179.21374734594417,-0.0466538435932761,1.95975351666185e-05
9.0,375.0,1233.5,468.1699219,1696.169922,424.3986816,1068.130737,520.5,1245.5,543.8929443,1015.422241,520.4246321750314,1245.505336112913,543.8944953549478,1015.6118270730756,468.17396410182255,1696.1706392745357,179.2145391964595,0.0475110309196225,7.174966978191349e-06
10.0,375.0,1233.5,468.1699219,1696.169922,424.0,1068.4021,520.5,1245.5,543.9937744,1015.62085,520.4798332966548,1245.5252672123677,543.9975381610569,1015.7130572167628,468.166308229511,1696.1690413796969,179.21727569117215,0.1641896827590017,2.3189957578285968e-06
