Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
11.0,399.5,905.5,471.5,1307.0,546.46875,737.625,428.5,765.5,547.5,934.1798096,547.5545762165982,934.2219173788914,547.0116032290264,737.6817437845756,471.45829757826897,1307.0436644146894,168.23306312207978,2.9008820366055943,0.0009079143281286624
12.0,399.5,905.5,471.5,1307.0,546.46875,737.625,428.5,765.5,547.5,934.1798096,547.4774863152805,934.2467690401172,547.0013937486056,737.7698503963558,471.55767158648456,1307.0941456989524,168.28057570862293,2.850755192588963,0.0004384307979418652
13.0,399.5,905.5,471.5,1307.5,547.4423218,738.3910522,430.0,765.0,547.269104,934.3533936,547.4145390586579,934.2844978314316,546.9054019016786,737.8327786353099,471.69086316966934,1307.1516234198189,168.31703544626802,2.1875842587053285,0.00011528200606605814
14.0,399.5,905.5,472.0,1307.155518,547.4423218,738.3910522,430.0,765.0,547.269104,934.3533936,547.3792550200449,934.3314663079008,546.7326902600769,737.8427680317061,471.8482111344314,1307.21047610141,168.33440757637362,1.0423278063359476,0.0001566781606948124
15.0,399.0,905.5,472.0,1307.155518,546.0,737.5,430.0,765.0,547.269104,934.3533936,547.3765156889528,934.3811095048756,546.5137802781543,737.7950042849255,472.0161888878386,1307.26961584178,168.3298605602673,-0.2728209663797543,0.0005083288448045975
16.0,398.5,905.5,472.0,1307.155518,546.0,737.5,430.0,765.0,547.5,934.5,547.3999346271318,934.4273920592166,546.2934139162734,737.7088509470466,472.1786436757435,1307.3294353475344,168.30717093692363,-1.361377400619972,0.0008314124930844149
17.0,398.0,905.333313,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.4354064347066,934.4669933060328,546.1128102516404,737.6142296647046,472.31952515866095,1307.38772508286,168.2749375099963,-1.9340056156391936,0.0007998084228078602
18.0,398.0,905.333313,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.4678679447554,934.499835229255,545.9942926401857,737.5360297318348,472.4265237040864,1307.4391021172808,168.24274013581055,-1.9318424511453711,0.0004522478380241382
19.0,397.8533325,904.8533325,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.4871671227404,934.527603753159,545.9381254128191,737.4863661701419,472.49464101702455,1307.4780863833112,168.21772850755917,-1.5006976950826356,0.00012848490169721228
20.0,397.7843018,904.3725586,472.5,1307.5,546.0,737.5,430.0,765.0,547.5,934.5,547.4908651485637,934.5506331615449,545.9293557874306,737.4651485306831,472.5272997613648,1307.5022476578056,168.20303623103268,-0.8815365915893381,5.3761540892037556e-05
