Frame #,Right_Knee (X),Right_Knee (Y),Right_Knee (Z),Left_Knee (X),Left_Knee (Y),Left_Knee (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Left_Hip (X),Left_Hip (Y),Left_Hip (Z),Nose (X),Nose (Y),Nose (Z),corrected_angles,Left_Hip (X)_smoothed,Left_Hip (Y)_smoothed,Left_Knee (X)_smoothed,Left_Knee (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,angles,velocity,roughness
11,0.5845900774002075,-0.730015754699707,0.1846682429313659,0.4421395361423492,-0.7206027507781982,0.0318323746323585,0.5682702660560608,-0.5800800323486328,0.0337032377719879,0.4470058381557464,-0.5807859897613525,-0.0338863171637058,0.5225589871406555,-0.3265009522438049,0.3162157833576202,194.55436643850348,0.4469948287290825,-0.5808156264184419,0.442122843248672,-0.7205837775128962,0.5225110089710261,-0.3264935021642908,194.60232691244295,-2.436594228883564,0.00015302474679712626
12,0.5846021771430969,-0.7300537824630737,0.1847244352102279,0.4420912861824035,-0.7205953598022461,0.0317989699542522,0.5682680010795593,-0.5800805687904358,0.0337399430572986,0.447036862373352,-0.5807812809944153,-0.0339237973093986,0.5225349068641663,-0.3264741599559784,0.3156366646289825,194.50911438309055,0.4470177742697422,-0.5808102458523442,0.4421003342302527,-0.7205319528333654,0.5224306601219982,-0.3264744256699291,194.5613575237397,-2.458163322194764,6.5292380346732e-05
13,0.5845734477043152,-0.730058491230011,0.1850350797176361,0.442026674747467,-0.7205507159233093,0.0319105945527553,0.5682576298713684,-0.580079197883606,0.0339604653418064,0.4470467269420624,-0.5807774662971497,-0.0341484062373638,0.5224303007125854,-0.3264444768428802,0.3143820762634277,194.45274036748503,0.4470348643124262,-0.5808063485376767,0.4420709603970443,-0.7204987043496978,0.5223683523664459,-0.3264601042591159,194.5221604335131,-2.351825413595634,1.5905362401611413e-05
14,0.5845812559127808,-0.7302626371383667,0.1857627630233764,0.4420107007026672,-0.7205492258071899,0.0333413556218147,0.5682355761528015,-0.5801112055778503,0.034255601465702,0.4470481872558594,-0.5808111429214478,-0.0344429053366184,0.5222956538200378,-0.3264415860176086,0.3134396076202392,194.41465313924436,0.4470459436655147,-0.5808067873353092,0.4420410713706074,-0.7204690989399093,0.5223139293928573,-0.3264523782775911,194.48612618442425,-2.1620549453314197,4.368022662739197e-06
15,0.5845819115638733,-0.730460524559021,0.1855161637067794,0.4419949054718017,-0.7205377221107483,0.0370973236858844,0.5681220889091492,-0.5801140069961548,0.0337334908545017,0.4470287263393402,-0.5808111429214478,-0.0339160971343517,0.5222355723381042,-0.3264498710632324,0.3151059746742248,194.4080781645945,0.4470523447027862,-0.580812281123476,0.4420157404952428,-0.7204372518420641,0.5222581099623638,-0.3264515953523911,194.45377544377092,-1.9410444391996864,1.3174885198279395e-05
16,0.5846961736679077,-0.7305952310562134,0.185497760772705,0.4419926106929779,-0.7203752994537354,0.037310030311346,0.568084180355072,-0.5801203846931458,0.0336800701916217,0.4470441043376922,-0.5808292031288147,-0.0338620916008949,0.5221846699714661,-0.3264546692371368,0.3139606118202209,194.38362297975323,0.4470559440386658,-0.5808218339737566,0.4419970124599345,-0.7204079041176913,0.5221938253893723,-0.3264565881175497,194.42473703208,-1.7423047014551685,2.3884113308108586e-05
17,0.5847792029380798,-0.7306607961654663,0.1854769587516784,0.4419895708560943,-0.7203657627105713,0.0370446555316448,0.5680743455886841,-0.5801270008087158,0.0336560644209384,0.4470605850219726,-0.580845296382904,-0.0338399149477481,0.5221193432807922,-0.3264746367931366,0.3137621879577636,194.3585244233215,0.4470583070850597,-0.5808337554485525,0.441984083892995,-0.7203932156412434,0.5221165604281708,-0.326465207740934,194.39796793773877,-1.6061456604739988,2.5507953279607834e-05
18,0.5848492383956909,-0.7306740880012512,0.1859026551246643,0.4420040845870971,-0.720328152179718,0.0368891879916191,0.568072497844696,-0.5801290273666382,0.0336779952049255,0.4470666050910949,-0.5808584094047546,-0.0338635556399822,0.5220634341239929,-0.3264874219894409,0.3131413459777832,194.34839988665965,0.4470604282413464,-0.580846643409279,0.4419748381683853,-0.7204061987427374,0.5220250839130951,-0.326475152018306,194.3722125846479,-1.5453211854514848,1.7829507643176923e-05
19,0.584815263748169,-0.7306768894195557,0.187256321310997,0.4419969618320465,-0.7203463912010193,0.0367200970649719,0.5680684447288513,-0.5801337361335754,0.0343373157083988,0.4470691978931427,-0.5808605551719666,-0.0345303304493427,0.5219740271568298,-0.3264890313148498,0.31731978058815,194.3255541516698,0.4470630457284905,-0.5808599292226181,0.4419677804059463,-0.7204536807445866,0.5219224682426115,-0.3264847055009852,194.34656165716655,-1.539055648881913,8.010256488953225e-06
20,0.5847870707511902,-0.7306842803955078,0.1871183067560196,0.4419701993465423,-0.7204360365867615,0.0332190543413162,0.5680686235427856,-0.5801355838775635,0.0345891527831554,0.4470718502998352,-0.5808601975440979,-0.0347853749990463,0.5218429565429688,-0.326489120721817,0.316855788230896,194.28714344619945,0.4470671178689778,-0.5808738281610234,0.4419633736120979,-0.720531932267342,0.5218163133441978,-0.3264930740109648,194.3208910976699,-1.540233569799625,2.112449000444894e-06
