Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,Head Pink X,Head Pink Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,969.5578003,900.4898071,725.0014648,993.9735718,498.7056274,1012.445862,292.3933105,994.8659668,498.7049839144294,1012.446101962224,969.558599763423,900.4897144043447,292.397629391472,994.8490575656384,161.74970347528358,,
2.0,969.3657227,900.8137817,724.8354492,993.9742432,498.7597046,1013.0,289.727417,994.5,498.6567926349473,1012.5570944377516,969.5911771299762,901.0099029813548,289.58047231375315,994.30796965917,161.7241874782334,-1.5309598230106758,
3.0,969.4396973,901.2098999,724.7966309,993.7966309,498.8312683,1012.362122,286.6758118,993.8964844,498.5731712947817,1012.6778306487822,969.629906209934,901.5481591085312,286.8605991981691,993.6953790251904,161.67539999795363,-2.927248816786232,0.0002707809658526049
4.0,969.7782593,902.2120972,724.9434814,994.1469116,498.5,1012.5,284.2896423,993.0825195,498.4328364234716,1012.8117607337851,969.6740266613006,902.1104550830636,284.32879916795883,992.9606606042856,161.59841921410347,-4.618847031009636,0.0006641747630475084
5.0,969.6955566,902.8485107,724.8248901,994.880188,498.3833313,1012.996643,281.9363403,992.5862427,498.2362792036407,1012.9503108287972,969.7137735497216,902.686712683767,282.05651122018605,992.0831845367024,161.48842131231058,-6.599874107573669,0.0013299238821917658
6.0,969.7652588,903.2347412,725.0516357,994.8421631,497.7628174,1013.150635,280.188324,990.6616821,498.00359770218705,1013.0721819740924,969.7353318019616,903.2550186769348,280.0897034397157,991.0683868138498,161.34477571906982,-8.618735594445752,0.0022244056813914156
7.0,969.9661255,903.671875,724.642395,995.0372314,497.6897583,1013.22113,278.3815918,989.1342163,497.76465831352505,1013.150977282632,969.7281177578684,903.7882274739368,278.4474050804744,989.9309768410972,161.17091533014514,-10.431623335480822,0.0025113187593909353
8.0,969.6464844,904.1115112,724.642395,995.0372314,497.4717102,1013.276733,277.2078247,988.3346558,497.54753565846187,1013.1669399482872,969.6901006444882,904.2589338409994,277.1235142864587,988.6757145605064,160.9708707877682,-12.002672542615755,0.002408152027362698
9.0,969.6097412,905.0189819,724.642395,995.0372314,497.4717102,1013.276733,275.9589844,987.7666626,497.37098432570207,1013.1163977344048,969.6283581969016,904.6444011636715,276.0896199334772,987.2936970316676,160.7457632774007,-13.506450622050464,0.0020619526432816286
10.0,969.4268188,905.055542,723.6129761,995.015564,497.1408997,1013.140869,275.3469543,986.1040649,497.2425526581685,1013.0149936050112,969.5545604561972,904.933137328095,275.29790259621785,985.7831819392236,160.49369169487844,-15.124294951335742,0.001798845452280719
11.0,969.4268188,905.055542,723.3048706,995.2432861,497.1687317,1012.637878,274.6331787,984.8143311,497.16025974032897,1012.8930675932992,969.4783804207426,905.1295578990585,274.68467816857094,984.183424016949,160.21393603415734,-16.785339643265615,0.0017405697054696837
12.0,969.4268188,905.055542,723.3048706,995.2432861,497.1687317,1012.637878,274.1607361,982.8392334,497.1157244015933,1012.7844924204528,969.4029877327938,905.2518745670378,274.1753913702685,982.5991039871052,159.9133685361991,-18.034049877494457,0.0016376389038783611
13.0,969.3092651,905.3434448,723.2023315,995.5778809,497.1687317,1012.637878,273.5698547,981.0625,497.09792502763526,1012.7144885768046,969.3246649791754,905.3243393388618,273.6913982889407,981.1995338662748,159.61148322301477,-18.11311879105972,0.0010913391371635914
14.0,969.3092651,905.3434448,723.2023315,995.5778809,497.0,1012.759705,273.5,980.0,497.0966104717575,1012.693012182894,969.235676342978,905.3699606426344,273.1586332958745,980.19136769713,159.3410937201823,-16.22337016994834,0.0004425114532040734
15.0,969.1018677,905.5,723.1364746,996.0430908,497.1687317,1012.637878,272.6340942,979.7644043,497.1042696194054,1012.7159932226556,969.1281925090358,905.4075825131882,272.51693456599685,979.7754864104544,159.14389376406152,-11.831997367247029,0.0018365519948190588
16.0,969.1018677,905.5,722.9262695,996.4547119,497.1408997,1013.140869,271.6938171,980.0925903,497.1167805403252,1012.7715577894865,968.9974358210386,905.4521171701386,271.72598001189493,980.1015038429804,159.06222151283947,-4.900335073322708,0.008713739494523589
17.0,968.8193359,905.420166,723.2024536,996.7397461,497.1687317,1012.637878,270.3979187,980.9319458,497.13334959471194,1012.846385116366,968.8430130736174,905.5146795796036,270.7640890470434,981.227363411298,159.1292261039133,4.0202754644303695,0.02282928731871626
