Frame #,Hand Pink X,Hand Pink Y,Elbow Pink X,Elbow Pink Y,Head Pink X,Head Pink Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
32.0,982.7176514,907.3535156,725.2088013,1001.870422,266.093506,997.024414,491.927765,1015.79443,491.9609401434976,1015.764122579955,982.6668178316554,907.5346756486744,266.1069333911808,997.0289568460728,162.77225827586295,1.9127861018267824,5.2644722776854426e-05
33.0,982.8251953,907.6878662,725.2484741,1001.996338,266.093506,997.024414,491.855194,1015.79779,491.899778017704,1015.7864788545796,982.7526709698344,907.8261551815676,266.1322891033238,997.0414779374248,162.80309914793744,1.8504523244695292,3.994933371418692e-05
34.0,982.8016357,907.9584961,725.1995239,1002.053528,266.093506,997.024414,491.855194,1015.79779,491.8597339806171,1015.8013687708738,982.796097959322,908.1380872360512,266.16413224802875,997.0579483304824,162.83520743595383,1.9264972809833123,1.6198044665833572e-05
35.0,982.819458,908.4254761,725.5,1002.297913,266.33902,997.079407,491.855194,1015.79779,491.83978966535454,1015.8095571347382,982.8132741184304,908.4666906177526,266.1964145136783,997.0758621853738,162.8696509871212,2.0666130700413987,3.7169550410722905e-06
36.0,982.7908325,908.9689941,725.5,1002.297913,266.214386,997.14801,491.855194,1015.79779,491.8349379806811,1015.8127290932488,982.8270269915866,908.7930838034008,266.2232424193248,997.0919029197646,162.9059322068564,2.1768731841120825,4.875207226756915e-06
37.0,982.7176514,909.1613159,725.5,1002.297913,266.241272,997.10321,491.855194,1015.79779,491.8387912496619,1015.812192335904,982.8586662925292,909.0928161768256,266.24123591101664,997.103384711298,162.94244619208465,2.190839113695233,6.3181059559004894e-06
38.0,982.9024048,909.5,725.5,1002.297913,266.241272,997.10321,491.855194,1015.79779,491.84577635665255,1015.8081814492792,982.920654620355,909.346959956792,266.25023373263133,997.1093464382884,162.97738261743004,2.096185520723566,3.1266668309630276e-06
39.0,982.9910278,909.5905762,725.5,1002.297913,266.241272,997.10321,491.855194,1015.79779,491.8523064275506,1015.8000637310014,983.0125394632046,909.5488818680678,266.2523100972495,997.1105745644452,163.00951116316762,1.927712744254677,3.098910685978823e-06
40.0,982.9910278,909.5905762,725.5,1002.297913,266.241272,997.10321,491.855194,1015.79779,491.85692098517075,1015.7874221684376,983.1214198495984,909.703938087438,266.2502698215002,997.1088211767986,163.03842198279742,1.7346491777880146,1.0375246301709518e-05
41.0,983.381958,909.618042,725.4520264,1002.594666,266.241272,997.10321,491.855194,1015.79779,491.8597203826603,1015.7716927102464,983.2266972344636,909.82347131162,266.24651296584614,997.1059420447434,163.06413418303703,1.542732014376611,1.936201592799841e-05
42.0,983.4094238,910.0089722,725.5081787,1002.911926,266.241272,997.10321,491.855194,1015.79779,491.8614962745847,1015.7577433532804,983.3077785846604,909.9177787233158,266.2425248699207,997.1033700300516,163.08634398124246,1.3325878923262735,2.5427597844784314e-05
43.0,983.4094238,910.0089722,725.4504395,1002.783813,266.241272,997.10321,491.855194,1015.79779,491.8628994266152,1015.754545444862,983.3519969375702,909.9928137835868,266.2389345879743,997.1019419205336,163.10378744922923,1.046608079205953,3.2777398833869476e-05
44.0,983.4094238,910.0089722,725.5080566,1002.996277,266.241272,997.10321,491.855194,1015.79779,491.8638889279817,1015.7740360244544,983.359094207448,910.0515753753706,266.2359432904845,997.1019401885752,163.1141290018247,0.620493155727786,5.311793039733238e-05
45.0,983.2625122,910.2032471,725.3920288,1002.993347,266.241272,997.10321,491.855194,1015.79779,491.8636257140446,1015.8276107000064,983.340239982114,910.0976192696672,266.23386357324966,997.1032036633684,163.11455796643716,0.0257378767480531,0.0001016152681646489
46.0,983.2625122,910.2032471,725.2658691,1003.134888,266.241272,997.10321,491.855194,1015.79779,491.8609123722304,1015.9206313732147,983.3126815685614,910.1380930314504,266.23351798118324,997.1052169807564,163.10303466091318,-0.6913983314387906,0.00018370464171385583
47.0,983.2625122,910.2032471,725.2658691,1003.134888,266.241272,997.10321,491.927765,1015.79443,491.855127113532,1016.0469890246184,983.2930577504465,910.1847401116428,266.23629452549056,997.1071708309348,163.07981424099944,-1.3932251948244812,0.0002687133164424976
48.0,983.2625122,910.2032471,725.2658691,1003.134888,266.241272,997.10321,491.833344,1016.27673,491.8471758331787,1016.1874427732068,983.2922645453632,910.2517251209276,266.2437496893431,997.1080599742404,163.04846813787768,-1.8807661873057668,0.0002874097827827766
49.0,983.2625122,910.2032471,725.2658691,1003.134888,266.241272,997.10321,491.823334,1016.5,491.8396327834148,1016.3147669358532,983.3132595227672,910.3505321384256,266.256805741367,997.106926442498,163.01553064900654,-1.9762493322684804,0.000198821950043543
50.0,983.4021606,910.4130249,725.2658691,1003.134888,266.214386,997.14801,491.823334,1016.5,491.8357162865182,1016.40419601591,983.3517841342352,910.4845615595052,266.2748600371764,997.10328905593,162.9885867554156,-1.6166336154554983,7.29137564545259e-05
51.0,983.449646,910.8052368,725.2658691,1003.134888,266.33902,997.079407,491.823334,1016.5,491.8377502435804,1016.4431158033595,983.3992517490076,910.6468751792632,266.29545117096313,997.0975423510336,162.97368885526635,-0.8938740089558905,5.2124399509499455e-05
52.0,983.449646,910.8052368,725.2658691,1003.134888,266.33902,997.079407,491.823334,1016.5,491.8460943553729,1016.4345774512068,983.4463809912156,910.8222202973304,266.31502169398874,997.0909111404052,162.97341107873012,-0.016666592173351,0.00018778193909381937
53.0,983.449646,910.8052368,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219,491.8590474938137,1016.3936667137502,983.4859153963306,910.9912010304748,266.33044128765596,997.0848648630904,162.98634841867164,0.7762403964909481,0.00035711975638803275
54.0,983.5500488,911.2921143,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219,491.87362641008593,1016.3394599066507,983.5138170550514,911.1345095636194,266.34020181988535,997.0804441408206,163.00810569811983,1.3054367668917166,0.0003944314962789612
55.0,983.5500488,911.2921143,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219,491.8866451786907,1016.2869548793036,983.5295582593756,911.2375457234588,266.3445873499906,997.0779687607248,163.0332410771219,1.508122740123099,0.00027394103764450355
56.0,983.5500488,911.2921143,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219,491.8954114641859,1016.2429314509342,983.535993306503,911.2955158385862,266.34504949383506,997.0771580697306,163.05727790062917,1.4422094104372718,0.00011324039862919411
57.0,983.5,911.5,725.2658691,1003.134888,266.33902,997.079407,491.887299,1016.24219,491.8978381698454,1016.2069996395544,983.538519886348,911.3168838704344,266.34338445904496,997.0774310799056,163.07794316713577,1.2399159903958434,2.2992968536485364e-05
58.0,983.5500488,911.2921143,725.3031616,1003.296875,266.33902,997.079407,491.887299,1016.24219,491.89234923688855,1016.1760975125834,983.5433870149174,911.3228929598469,266.34111285146474,997.0781880237593,163.09525299370668,1.0385895942545176,9.394353468802513e-06
59.0,983.5500488,911.2921143,725.0971069,1003.450134,266.33902,997.079407,491.887299,1016.24219,491.8780458307886,1016.149464723025,983.5557369530472,911.3423543994876,266.3391898990551,997.0789833639597,163.11060901957825,0.9213615522941154,1.766521154195098e-05
