Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
1,0.2308583110570907,-0.5845792293548584,-0.3456703424453735,0.2547467350959778,-0.7217646241188049,-0.3733769059181213,0.5157203674316406,-0.7478553652763367,-0.2058974206447601,0.3506485521793365,-0.8125228881835938,-0.230391189455986,0.2308545549561544,-0.5845795487924876,0.5160354033704487,-0.7476190238681314,0.3506485360047544,-0.8125227443111825,32.51929400097059,,
2,0.2297494858503341,-0.5836594104766846,-0.3397492468357086,0.2550485730171203,-0.7308109402656555,-0.3791974782943725,0.4793446362018585,-0.867454469203949,-0.3781408667564392,0.3741194009780884,-0.8186405301094055,-0.1986377835273742,0.2290688839142465,-0.5831466935154266,0.4692459068426861,-0.8104605787238522,0.3621429158613745,-0.8161707104577582,26.250189608096605,-376.14626357243907,
3,0.2291038334369659,-0.5811349153518677,-0.3317500650882721,0.2550492286682129,-0.7335658669471741,-0.383927583694458,0.3967701196670532,-0.9123842120170592,-0.4140680432319641,0.3812602758407593,-0.8203134536743164,-0.1911621540784835,0.2272243413872708,-0.5818599068738971,0.428668622132007,-0.8636670134542878,0.3719208378481405,-0.8194462912834587,17.436432963447473,-528.825398678948,3.2376275412321642
4,0.2253939062356948,-0.580344557762146,-0.3127809464931488,0.2549251616001129,-0.7335898876190186,-0.3809117376804352,0.3877238631248474,-0.905832052230835,-0.4033959209918976,0.3812154829502105,-0.8227565884590149,-0.1907101422548294,0.2253281027344665,-0.5808337114908689,0.3988420746979287,-0.9009925212276128,0.378906580721948,-0.822090197082184,8.852300122034844,-515.0479704847577,1.9812231485033944
5,0.2230909913778305,-0.5800716876983643,-0.3128914833068847,0.2537865936756134,-0.734684944152832,-0.3788177967071533,0.3678180873394012,-0.9228588342666626,-0.41755211353302,0.3805946707725525,-0.8240655660629272,-0.1868574768304824,0.2234722834617703,-0.5801246761127249,0.3814548149002374,-0.9211627033136638,0.3829388025912808,-0.8240091806751939,1.981927987248324,-412.2223280871912,1.5802150751028774
6,0.2211927473545074,-0.5797256231307983,-0.3013080656528473,0.2529473006725311,-0.7356189489364624,-0.3675175607204437,0.3624256253242492,-0.9263877868652344,-0.4213418960571289,0.381931722164154,-0.8243858814239502,-0.1839348673820495,0.2218013243879861,-0.5797234169019677,0.375070429427867,-0.9272664441426944,0.3846070215428124,-0.8252569065580286,-2.710559373648401,-281.5492416538035,2.916062465515863
7,0.2200605273246765,-0.5797662138938904,-0.2908363938331604,0.2529296576976776,-0.7357247471809387,-0.3365456759929657,0.3813864290714264,-0.9041953682899476,-0.4035041034221649,0.3818419277667999,-0.8254721760749817,-0.1844393014907837,0.2204513317573285,-0.5795679733855561,0.3759298303962292,-0.9247718520135356,0.3848481623577817,-0.8259721373746719,-5.411916249417271,-162.0814125461322,6.8476583091307575
8,0.2190955430269241,-0.5797470808029175,-0.2869121134281158,0.2531252801418304,-0.7357455492019653,-0.3226142525672912,0.4300971925258636,-0.8876492381095886,-0.3525070250034332,0.3819251656532287,-0.8262055516242981,-0.1855464875698089,0.2194971319880698,-0.5795699332238043,0.3796092743574755,-0.9192037655012428,0.3845490180642452,-0.8263138340397931,-6.662730068898859,-75.0488291688953,8.904179987748424
9,0.2185339033603668,-0.5797745585441589,-0.285426914691925,0.2532135248184204,-0.7355555295944214,-0.3176389038562774,0.3976088464260101,-0.902471959590912,-0.3208222091197967,0.383092999458313,-0.8264086246490479,-0.1842858344316482,0.2189278986646694,-0.5796408398561668,0.382862568477038,-0.9143204046627434,0.3842987580480371,-0.8264196355962143,-7.089613961793186,-25.61303357365965,6.85915500266954
10,0.2189131081104278,-0.5797702074050903,-0.2981169521808624,0.2533123791217804,-0.7359645962715149,-0.3435975909233093,0.3790879845619201,-0.919262170791626,-0.36879962682724,0.3854009509086609,-0.8265024423599243,-0.1850461065769195,0.2186548983697104,-0.5797107048422727,0.3846787562464409,-0.9114034420495688,0.3843267955955318,-0.8263921555497582,-7.172103497897308,-4.949372166247308,3.5777694272042826
