Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
13,0.2418440878391266,-0.4347895979881286,-0.5492781400680542,0.4899506270885467,-0.5185539126396179,-0.5996890664100647,0.791958749294281,-0.5317566990852356,-0.5297715663909912,163.84776869588802,0.4898205691247549,-0.5186253151128081,0.2418112494000816,-0.434738830082973,0.7923810169495515,-0.5316958084831775,163.79474642108622,-0.3473484712247909,0.0002856020709815498
14,0.2419730573892593,-0.4347871840000152,-0.545040488243103,0.4899240136146545,-0.5186511278152466,-0.5847663879394531,0.7919586896896362,-0.5317229628562927,-0.5079702138900757,163.79119804963955,0.489640985462626,-0.5187100498241747,0.2418944372242725,-0.4347750548418703,0.7924812608904717,-0.5316679259168878,163.77045006229275,-1.4577815276078354,0.00031781966987250594
15,0.2422346919775009,-0.4348893761634826,-0.5412576794624329,0.4899050593376159,-0.5186454653739929,-0.5845034718513489,0.7934455871582031,-0.5317297577857971,-0.5083590745925903,163.78395490888943,0.4893445311764159,-0.5188485948459207,0.241947598249054,-0.4347836919972434,0.7926163603143586,-0.53167005504629,163.72355706592617,-2.813579781994804,0.000591452841280246
16,0.2422305643558502,-0.4347626566886902,-0.5388652682304382,0.4892134070396423,-0.5192493796348572,-0.5814377665519714,0.7928056120872498,-0.5317092537879944,-0.5063239932060242,163.46563576959852,0.4889414341142371,-0.5190148893980271,0.2419495674593434,-0.434764508506001,0.7926950480242477,-0.5316814962671385,163.65535608972698,-4.092058571951611,0.0009103727703618057
17,0.2419101595878601,-0.4346688687801361,-0.5387095808982849,0.4879837036132812,-0.5193084478378296,-0.581864595413208,0.7927649021148682,-0.5317046046257019,-0.5071285367012024,163.347874967508,0.4884835037114829,-0.5191788591312454,0.2419029015751957,-0.4347247708371035,0.7926498738112822,-0.5316879271467864,163.57266330215396,-4.961567254381407,0.0009817742998203972
18,0.241581842303276,-0.4346427917480469,-0.5362098217010498,0.4876902401447296,-0.5193201899528503,-0.5813732147216797,0.7928149104118347,-0.5316924452781677,-0.5059709548950195,163.3353980498291,0.48804062379698,-0.5193162204654156,0.2418297071513173,-0.4346751941264679,0.7924549195044044,-0.5316825558687507,163.4854408907681,-5.233344683151131,0.0006881258152164854
19,0.2415577918291092,-0.4345654249191284,-0.5303094387054443,0.4874286651611328,-0.519432783126831,-0.5789303779602051,0.7918874621391296,-0.5316296219825745,-0.5032311081886292,163.25092269730044,0.4876703799881011,-0.5194145150475209,0.2417570511974421,-0.4346252099918523,0.7921261714311236,-0.5316647846702879,163.40337938582618,-4.923690296515133,0.00027052167908171124
20,0.2415527105331421,-0.4345557987689972,-0.5297722220420837,0.4874204993247986,-0.5194604992866516,-0.579384982585907,0.7916770577430725,-0.5316203832626343,-0.5047540664672852,163.23750098497487,0.4873982230012357,-0.5194732751897794,0.2417010781634746,-0.4345798444805544,0.7917073619868008,-0.5316375985706,163.33323221983412,-4.20882995952411,7.030942844420573e-05
21,0.2416718155145645,-0.4345680475234985,-0.5252850651741028,0.4873447120189667,-0.5194581151008606,-0.5772424936294556,0.7909731864929199,-0.5315822958946228,-0.5005708336830139,163.22452978358262,0.4872160771992632,-0.5195002094381999,0.2416590596998576,-0.4345394252516822,0.7912483037026306,-0.5316049295861146,163.27783989358144,-3.323539575160339,0.00016629394796375402
22,0.2417479008436203,-0.4345812201499939,-0.5228538513183594,0.4873121380805969,-0.5194703340530396,-0.5740514397621155,0.7906721234321594,-0.5315706729888916,-0.4945408999919891,163.21442872959642,0.4870944729616583,-0.5195062623068526,0.2416124959653674,-0.4345017933406677,0.7907841539284862,-0.5315699863308495,163.2367364547026,-2.4662063327309625,0.0003627244164104939
23,0.2416716665029525,-0.4344748556613922,-0.5217052698135376,0.4869046807289123,-0.5194894075393677,-0.5743401050567627,0.7899863719940186,-0.5315434336662292,-0.4959392547607422,163.15772297805324,0.4869977853445252,-0.5195014825648177,0.2415376280635412,-0.4344653534329811,0.7903229718818762,-0.5315349045380984,163.20761140650046,-1.7475028921279545,0.0004557354881232415
24,0.2415600270032882,-0.4344446957111358,-0.5219115018844604,0.4868990778923034,-0.5194898843765259,-0.5792105197906494,0.7897902131080627,-0.5315236449241638,-0.520427405834198,163.15660337721965,0.4868949818296543,-0.5194926966985749,0.2414164622743485,-0.4344308499076306,0.7898459661075189,-0.5315013721539995,163.1877750661816,-1.1901804191325027,0.00040578292305234613
25,0.2412264198064804,-0.4343568384647369,-0.5237679481506348,0.4868921935558319,-0.5194790959358215,-0.5868476629257202,0.789692759513855,-0.5314673781394958,-0.531151533126831,163.15622617620852,0.4867645685992368,-0.5194830772294372,0.2412423038645718,-0.4344007948711133,0.7893216270297846,-0.5314714977353239,163.17508253622125,-0.7615517976199726,0.0002895967891992054
26,0.2407250851392746,-0.4343255460262298,-0.5260802507400513,0.4865283071994781,-0.5194801092147827,-0.5918583273887634,0.7890636920928955,-0.5314568281173706,-0.5423687696456909,163.15921313561103,0.4865960580797798,-0.519473010950713,0.2410177537030765,-0.4343772236600582,0.7887297070653543,-0.5314482719590763,163.1682338124393,-0.4109234269174067,0.0001841370618144468
27,0.2406335622072219,-0.4343376457691192,-0.535905122756958,0.486352264881134,-0.5194771885871887,-0.6095800399780273,0.7886818051338196,-0.531448483467102,-0.558698832988739,163.1567599997869,0.4863895649309081,-0.5194615514169473,0.2407484713495599,-0.4343595287836656,0.7880839565352526,-0.5314353730986201,163.16662887899852,-0.0962960064464368,0.00011732888534678697
28,0.2406274825334549,-0.4343680441379547,-0.548587441444397,0.4862626791000366,-0.5195016860961914,-0.6169065237045288,0.7874096632003784,-0.531438946723938,-0.5620335936546326,163.1543931978921,0.4861540588202389,-0.519447843250971,0.2404394279900031,-0.4343439616618167,0.7874395372574868,-0.5314363686968787,163.16998210935853,0.2011938216003272,8.302822399977505e-05
29,0.2402524352073669,-0.4343423843383789,-0.547658383846283,0.4858825206756592,-0.5193853378295898,-0.6173141598701477,0.7863160967826843,-0.5314258337020874,-0.564850389957428,163.19795319479988,0.4859049575399066,-0.5194318823748627,0.240097674328097,-0.434325213430213,0.7868771344406038,-0.5314534041528508,163.17789002558607,0.4744749736522635,6.620440824469764e-05
30,0.2398882806301117,-0.4342999160289764,-0.5490657091140747,0.4856145679950714,-0.5193734765052795,-0.619868814945221,0.7860372066497803,-0.5314182639122009,-0.568486750125885,163.1994160685831,0.4856611839730951,-0.5194142406163202,0.2397383332937019,-0.4342991697234089,0.786469546589302,-0.531485663088088,163.1895590093713,0.7001390271136643,5.437791232675042e-05
31,0.2392555475234985,-0.4342851936817169,-0.5523098707199097,0.485347032546997,-0.5193829536437988,-0.6213411688804626,0.7859504222869873,-0.5314880013465881,-0.5776459574699402,163.23076232209314,0.4854414896176282,-0.5193953256488639,0.2393866443519911,-0.4342655700917651,0.7862489376768885,-0.5315284901892626,163.20383827128452,0.8567557147938487,4.072052742314225e-05
32,0.2388321757316589,-0.4342554211616516,-0.5515963435173035,0.485197514295578,-0.5194064378738403,-0.6202341914176941,0.7861283421516418,-0.5316050052642822,-0.579841136932373,163.2546414122404,0.4852612967272944,-0.5193754375643929,0.2390727642616798,-0.4342298717924013,0.7861930204254669,-0.5315744542569727,163.21956278603133,0.9434708848084484,2.5175614386626703e-05
33,0.2388278841972351,-0.4342569708824157,-0.5408307909965515,0.4852472245693207,-0.519406259059906,-0.6024900078773499,0.7865020632743835,-0.5316932797431946,-0.556049108505249,163.27317853717102,0.4851322927762014,-0.5193561482906568,0.2388231218760833,-0.4342040596767849,0.7862362365388521,-0.5316168594052421,163.23608058995077,0.9910682351664946,1.2223506362823861e-05
34,0.2387788891792297,-0.43425253033638,-0.5296271443367004,0.4852043390274048,-0.5193842649459839,-0.5825801491737366,0.7866570353507996,-0.5317614078521729,-0.5258723497390747,163.2928323851154,0.4850652518821838,-0.519342006239394,0.2386549645978091,-0.4342059522178574,0.7862984318652895,-0.5316543856326974,163.253752674617,1.0603250799738362,5.358746640597139e-06
35,0.2386297136545181,-0.4342658817768097,-0.5298868417739868,0.4851938188076019,-0.5193424820899963,-0.5858807563781738,0.7865715026855469,-0.5317453742027283,-0.5352940559387207,163.319696789776,0.4850732275254913,-0.519340887655453,0.2385766184110471,-0.4342562603857698,0.7863165113232179,-0.5316940685580829,163.27417300510032,1.2252198289991156,5.345587495565934e-06
36,0.2385939657688141,-0.4343305230140686,-0.5302286744117737,0.4851369261741638,-0.5193491578102112,-0.586513340473175,0.7862951159477234,-0.5317370891571045,-0.5340630412101746,163.32909423668832,0.4851706213766372,-0.5193620148397652,0.2385900646369194,-0.4343729708785568,0.786265431260253,-0.531750070750841,163.29988420996034,1.5426722916009794,1.6373067993027472e-05
