Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Head Pink X_smoothed,Head Pink Y_smoothed,angles,velocity,roughness
1.0,271.5,1011.5,953.0521851,951.7851563,684.1464233,985.5,447.5,985.5,447.4998373700219,985.4997102519604,953.0527079273436,951.7850936873488,271.4999999141561,1011.49999994598,184.58814469166083,,
2.0,271.5769348,1011.442322,952.3521729,951.1280518,684.1464233,985.5,447.7897339,985.1333618,447.6087609632731,985.3563809834524,952.8109157618874,951.3911010525754,271.5127668402579,1011.388781529442,184.57804847554,-0.605772967250573,
3.0,271.5769348,1011.442322,952.3193359,950.7345581,684.1464233,985.5,447.7897339,985.1333618,447.7069713650435,985.2364721309884,952.6243434884238,951.0259369690948,271.52108582999114,1011.2907302939072,184.56113472502815,-1.0148250307099715,2.3239387586165537e-05
4.0,271.5,1010.5,952.5,950.5,684.3143921,985.3640747,447.7897339,985.1333618,447.7890648582241,985.154151181794,952.5265770251248,950.7035950101802,271.5228980883361,1011.2165409347456,184.539111445524,-1.3213967702500895,3.580681710761743e-05
5.0,271.5,1012.0,952.574707,950.425293,684.3143921,985.3640747,447.7897339,985.1333618,447.8562157398281,985.1103829250882,952.5192958910102,950.4156452980808,271.5191301015594,1011.1726692248918,184.51328374282613,-1.549662161871197,4.635439599830589e-05
6.0,271.5,1011.0,952.574707,950.425293,684.3143921,985.3640747,447.7897339,985.1333618,447.9130111417778,985.0952910031472,952.577406646734,950.1393645702178,271.51247230377254,1011.1621128992248,184.485370342092,-1.6748040440472778,5.1687039446902133e-05
7.0,271.5,1011.0,952.6806641,950.2654419,684.2901611,985.3045654,448.1149292,985.0,447.963396920998,985.0938388590024,952.6624441726816,949.854985557144,271.5056902449033,1011.1857622590072,184.4580616764968,-1.6385199357119973,2.0931197838139913e-05
8.0,271.5,1011.0,953.0188599,949.788269,684.6542358,984.9502563,447.8581543,985.3900757,448.0086621679717,985.0919670065194,952.7374190277131,949.5604669043764,271.50058130438134,1011.2402500822552,184.43476156158297,-1.398006894830246,6.4690727677748865e-06
9.0,271.5,1011.5,953.0430908,948.7346802,684.2536621,984.4402466,448.1149292,985.0,448.047705091904,985.0813442047308,952.7786771594616,949.2729246114316,271.4977604177781,1011.3146513774556,184.41828865274215,-0.9883745304495052,2.165350333460361e-05
10.0,271.5,1011.5,952.4769897,948.8754883,684.18927,984.2119141,448.1149292,985.0,448.07851628772215,985.0609015669644,952.7805414990116,949.0154727990594,271.4969527181551,1011.3922232773474,184.40945276904824,-0.5301530216343053,6.526796383238823e-05
11.0,271.5,1011.5,952.6414185,948.6414185,683.9804077,984.0174561,448.1149292,985.0,448.1000168492058,985.034618016416,952.750567137517,948.8001039715032,271.49744680881923,1011.4571658701716,184.4066245131718,-0.1696953525862454,0.0001014765136888507
12.0,271.5,1011.5,952.6414185,948.6414185,684.2540894,983.8658447,448.1149292,985.0,448.11329628263474,985.007904737401,952.6996778787064,948.6195463597862,271.49848684921886,1011.500559793658,184.40643307476415,-0.0114863044592539,9.181452448024981e-05
13.0,271.5,1011.5,952.6414185,948.6414185,684.1464233,983.5,448.1149292,985.0,448.12142418220185,984.9855141185172,952.6351014344712,948.4522482025668,271.4995078723019,1011.5216842414196,184.4049195706898,-0.0908102444611813,4.541176419657402e-05
14.0,271.5,1011.5,952.7345581,948.3193359,684.1464233,983.5,448.1149292,985.0,448.12800318483704,984.9715656053494,952.5598111208416,948.2753257900974,271.5002121719063,1011.525591873572,184.39853153771475,-0.3832819785031915,1.2784365412747387e-05
15.0,271.5,1011.5,952.3023682,948.3406372,684.210022,983.4794312,448.1149292,985.0,448.13531504202746,984.9704030229738,952.4759560845152,948.0774599678764,271.50053430766195,1011.51954828159,184.38475498846017,-0.8265929552743501,2.9732644002086775e-05
16.0,271.5,1011.5,952.666687,947.9944458,684.3143921,983.3640747,448.1149292,985.0,448.1428501281286,984.9868402697844,952.3881123701286,947.865453192294,271.5005543792457,1011.5101640813812,184.3624267558056,-1.3396939592752233,8.519731003443856e-05
17.0,271.5,1011.5,952.1606445,947.3393555,684.2754517,983.472229,448.1149292,985.0,448.1468246527959,985.0249928255668,952.304115746816,947.6612672844992,271.50040774480044,1011.5018845577328,184.3318103369032,-1.836985134142992,0.0001387738619869765
18.0,271.5,1011.5,952.1606445,947.3393555,683.6610718,983.3389282,448.1149292,985.0,448.14120121855103,985.0858631122928,952.2331006091068,947.490903937219,271.50021872432364,1011.496733656637,184.29449141614265,-2.2391352456332925,0.00015508543448307315
19.0,271.5,1011.5,952.1606445,947.3393555,684.1210327,983.4451904,448.1149292,985.0,448.120581303551,985.165117590609,952.1818745452772,947.371861129775,271.5000665182073,1011.494852543562,184.2531207725336,-2.4822386165425314,0.00012527056562331942
