Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),corrected_angles,Right_Elbow (X)_smoothed,Right_Elbow (Y)_smoothed,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.3084748387336731,-0.4486385583877563,-0.4847714602947235,0.4923577308654785,-0.5312885046005249,-0.5108295679092407,0.7366564273834229,-0.546917736530304,-0.3290903270244598,159.45804716441512,0.4923586172379849,-0.5312888694372709,0.308476314651909,-0.4486392742281621,0.7366575857075947,-0.5469182749250083,159.458105937676,,
2,0.3094800114631653,-0.4488519430160522,-0.4711751937866211,0.4944077730178833,-0.5313306450843811,-0.4850770235061645,0.747252881526947,-0.543647825717926,-0.3109033703804016,158.751811627606,0.4944217454244891,-0.5313087692420826,0.3094471652491519,-0.4489323847249649,0.7433914880375492,-0.5444825456663558,159.28430521413384,-10.428043412530316,
3,0.3102540969848633,-0.4492269158363342,-0.4658618569374084,0.4964582622051239,-0.5313480496406555,-0.4782394468784332,0.7526661157608032,-0.5413922071456909,-0.3035294413566589,158.44623369860346,0.4963139569043498,-0.5313303780054345,0.31036817966637,-0.4492017000971769,0.7492658660255381,-0.5423297206788767,159.0344832886879,-14.989315526755718,0.0028896115694458722
4,0.3113981485366821,-0.4495124518871307,-0.4637597203254699,0.4981454908847809,-0.5313645601272583,-0.4754467904567718,0.7552483081817627,-0.5400270819664001,-0.3031412363052368,158.26169537243982,0.4978966004861463,-0.531355786188242,0.3111964036972789,-0.4494276336176245,0.7536874787168022,-0.5406644500216775,158.7771892306622,-15.437643481542407,0.0021343654678934944
5,0.3120938241481781,-0.4497013092041015,-0.4621494114398956,0.4998580515384674,-0.5313942432403564,-0.4750216901302337,0.756267786026001,-0.5394970178604126,-0.3053808510303497,158.29697897017422,0.499091754397509,-0.5313880515891861,0.311903751288629,-0.4495998138131519,0.7564631175481137,-0.5395677325818959,158.5536467649886,-13.412547940416175,0.001425851142488219
6,0.3123171329498291,-0.4497377574443817,-0.4618971645832062,0.4999069273471832,-0.531399130821228,-0.4718645513057709,0.7564693093299866,-0.5392674803733826,-0.3017957508563995,158.2322171760784,0.4998973787836849,-0.5314305034242314,0.3124819793976713,-0.4497204046055105,0.7577660429820472,-0.5389991866520651,158.3820977527096,-10.292940736740093,0.0016648732457554896
7,0.3129131197929382,-0.4497893452644348,-0.4626774191856384,0.500115692615509,-0.5314534306526184,-0.472988098859787,0.7570561766624451,-0.5391789674758911,-0.3032098114490509,158.15376162388372,0.5003808830301113,-0.5314855239753267,0.3129425421402519,-0.4498036560087609,0.7579921182642934,-0.5388357110683651,158.2643462218043,-7.065091854318553,0.003453419531486003
8,0.3135714828968048,-0.4498657584190368,-0.456026017665863,0.5003718733787537,-0.5315723419189453,-0.4605105519294739,0.7568098306655884,-0.5392259955406189,-0.2831897139549255,158.08495142880554,0.5006512966520874,-0.5315536374649343,0.313311989765351,-0.4498712871243201,0.7575948606869464,-0.5389231460367423,158.19262883773135,-4.303043044376409,0.005716388189601479
9,0.3135713338851928,-0.449872225522995,-0.4553483426570892,0.5006893873214722,-0.5316566228866577,-0.4576630294322967,0.7564477324485779,-0.53932124376297,-0.2736695408821106,158.10766059244634,0.500822573362862,-0.5316335524658165,0.3136253529812706,-0.4499454186101874,0.7569621036930245,-0.5391200377916773,158.15515078189551,-2.2486833501500314,0.005606835525641254
10,0.3137186169624328,-0.4499210119247436,-0.4539797008037567,0.5007568597793579,-0.531734824180603,-0.4457600712776184,0.7562502026557922,-0.5393865704536438,-0.2338811308145523,158.09002008015045,0.5009834032271658,-0.5317229522878107,0.3139175853548089,-0.450041475361754,0.7563547252466799,-0.5393229983901274,158.13964422495246,-0.9303934165831153,0.003950826792224506
