Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Shoulder (X)_smoothed_smoothed,Right_Shoulder (Y)_smoothed_smoothed,Right_Pinky (X)_smoothed_smoothed,Right_Pinky (Y)_smoothed_smoothed,Right_Hip (X)_smoothed_smoothed,Right_Hip (Y)_smoothed_smoothed,angles,velocity,roughness
1,0.2909089028835296,-0.5252916216850281,-0.5077067017555237,0.2782752811908722,-0.6643866896629333,-0.538742184638977,0.3411183655261993,-0.8281749486923218,-0.4604132771492004,0.3148437738418579,-0.7421718239784241,-0.1889339834451675,0.2909108977689392,-0.5252911680051866,0.3411193573985939,-0.8281734931418863,0.3148521300669328,-0.742171805893741,0.2909118551233308,-0.5252913667625809,0.3411191523562163,-0.8281737491396574,0.3148471256366954,-0.7421719106306818,3.1142846055237214,,
2,0.2929559051990509,-0.5247297883033752,-0.4776200950145721,0.2780629992485046,-0.6606352925300598,-0.5043016076087952,0.3399623930454254,-0.8214254975318909,-0.4181564450263977,0.3227891027927398,-0.742335855960846,-0.1826467663049698,0.292114067496779,-0.5246483152238974,0.3405437467477363,-0.8245173333587934,0.3204687840979903,-0.7424112823031029,0.2916703104037605,-0.5248772133350137,0.3407186444756206,-0.825681407645599,0.3185021227975094,-0.7423172868651049,2.7591050896652916,-21.310770951505795,
3,0.2936806082725525,-0.5238656997680664,-0.4407398998737335,0.2784283757209778,-0.6577550768852234,-0.4642494916915893,0.339495837688446,-0.8190187215805054,-0.3899692893028259,0.327481746673584,-0.7428260445594788,-0.17587910592556,0.2932457010315198,-0.524097979339968,0.3400563832879952,-0.8213947520013445,0.3254112340190363,-0.7426386577288341,0.2924288687159874,-0.524493224261821,0.3403579881783551,-0.8234096893305544,0.3219487329759505,-0.7424653365689147,2.2141881114200395,-32.695018694715124,0.018000152316495387
4,0.2941687107086181,-0.5234591364860535,-0.4379266798496246,0.2798294126987457,-0.6573895812034607,-0.4528444707393646,0.3396540880203247,-0.81833815574646,-0.3546380996704101,0.33085697889328,-0.7429720759391785,-0.1739589124917984,0.2942609969505605,-0.523710626252443,0.3397125375913415,-0.819157669713466,0.3291958933534796,-0.742846933540518,0.2931857308063722,-0.5241694338837972,0.3400657159652465,-0.8215300830011426,0.3249956964848022,-0.7426178488791334,1.5981520970854866,-36.962160860073176,0.01818405578741427
5,0.2949889600276947,-0.5232796669006348,-0.4307648837566376,0.2800609469413757,-0.6571525931358337,-0.4341923594474792,0.33963143825531,-0.8181968331336975,-0.3254221081733703,0.3318895697593689,-0.7429963946342468,-0.1689855456352234,0.2951534698408106,-0.5235176564902467,0.3395222992826759,-0.8178933429577986,0.3316396014315633,-0.7430369318782309,0.2939403816781211,-0.5239316815150491,0.3398542438740969,-0.8201332928209277,0.3274970890770574,-0.7427759908828593,0.9963397184980908,-36.10874271524375,0.014447625174694263
6,0.2952680885791778,-0.5232853293418884,-0.4352442324161529,0.2801867425441742,-0.6574015021324158,-0.4345603883266449,0.3396656513214111,-0.8183171153068542,-0.31723552942276,0.3318795263767242,-0.7430674433708191,-0.1682221442461013,0.2959441419397356,-0.5235046514805641,0.3394605669458455,-0.8174581148518242,0.3328518285233152,-0.7432149763368903,0.2946920829350816,-0.5237938925965652,0.3397208502413957,-0.8192217428906183,0.3293788398459425,-0.7429404523187316,0.4666170219122015,-31.78336179515335,0.010835730065089692
7,0.2972804605960846,-0.5239567756652832,-0.4327774345874786,0.2812766134738922,-0.657550036907196,-0.4277129173278808,0.339706152677536,-0.8183141350746155,-0.2976845204830169,0.3322149217128753,-0.7432975172996521,-0.1670942604541778,0.2966662432166829,-0.5236194142737697,0.3394887828017224,-0.8175819332352923,0.3331384125125405,-0.7433867147400084,0.2954391470568799,-0.5237520762677325,0.3396539477639544,-0.8187266099644134,0.330650715010902,-0.7431105550916113,0.0421473865204843,-25.468178123503034,0.005755449417594782
8,0.2977679073810577,-0.5240627527236938,-0.4393697381019592,0.2812853455543518,-0.6577013731002808,-0.443566620349884,0.3397115468978882,-0.8185656070709229,-0.3301798403263092,0.3324718475341797,-0.7435513734817505,-0.1672759503126144,0.2973584650078484,-0.5237927654391469,0.3395744564343576,-0.8179795836443602,0.3328769041748548,-0.7435516869916711,0.2961817863399444,-0.5237849101747446,0.3396409377970091,-0.8185393857827136,0.3313972414275145,-0.7432827493642077,-0.2656278425615447,-18.46651374492174,0.016821818784550108
9,0.2980038523674011,-0.5241020917892456,-0.4417359530925751,0.2812932431697845,-0.6577643752098083,-0.4462595582008362,0.3396969735622406,-0.8186184167861938,-0.3287071585655212,0.3321899473667145,-0.7437008619308472,-0.1676566749811172,0.2980635054643351,-0.5239627251860965,0.3397002074256829,-0.8184276467244134,0.3324156434916553,-0.7437025549263103,0.2969268613061275,-0.5238612703322344,0.3396737397621426,-0.8185449666952478,0.3317532863537951,-0.7434500198030641,-0.4626538718519681,-11.821561757425403,0.026779836300405074
10,0.2982969880104065,-0.5241044759750366,-0.4379763603210449,0.2813002169132232,-0.6578370928764343,-0.4371600449085235,0.3396951854228973,-0.8188304901123047,-0.306897759437561,0.3320744335651397,-0.7439600229263306,-0.1680108457803726,0.29881917167055,-0.5240908381078193,0.3398611694855488,-0.8187961539466473,0.3320166855883974,-0.7438290375604896,0.2976882177647429,-0.5239505018684525,0.3397497037352864,-0.8186466451817105,0.3318741074294915,-0.7436031807576637,-0.56697322381872,-6.259161118005111,0.029104627643490946
