Frame #,body X,body Y,hand X,hand Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
0,364.8907165527344,1356.584716796875,456.49859619140625,1848.52099609375,223.01754760742188,1190.4210205078125,223.0192282127601,1190.420371926359,364.89196961363183,1356.5841229050886,456.49313808811706,1848.5199432957731,,,339.04202781198006
1,364.76409912109375,1356.6563720703125,457.0866088867187,1847.7138671875,221.65582275390625,1190.815673828125,222.37250468998917,1190.5846023224926,364.6933909392405,1356.81180811562,456.5581276748753,1848.099247715394,-0.1759629174443944,,339.0390950966893
2,364.407958984375,1357.2039794921875,456.91741943359375,1847.4342041015625,221.5,1191.0,221.75955332926185,1190.7230634787304,364.50765808645934,1357.0195425165984,456.4839685613858,1847.763595651735,-0.5452163929658127,1.8937240164534258e-05,339.03000815680656
3,364.40277099609375,1357.125,456.3190612792969,1847.449951171875,221.5,1191.0,221.19894862010435,1190.8252902024433,364.343403659357,1357.192128185838,456.17632619404475,1847.5734724847969,-1.2607897166083148,8.450196735544725e-05,339.0089949948631
4,364.0,1357.5,455.9797973632813,1847.8358154296875,221.0410919189453,1190.812744140625,220.69423827733817,1190.9003360614388,364.20307831808736,1357.3217473528975,455.6036077838612,1847.5553905105385,-2.326558449060485,0.00024905893859650594,338.9702190207121
5,364.0925903320313,1357.370361328125,454.6482849121094,1847.6666259765625,220.0890655517578,1190.7735595703125,220.2438553923792,1190.969018173215,364.08185549891544,1357.409506393499,454.79439752982586,1847.705582914341,-3.5966362431622656,0.0005394554423542272,338.91027508332604
6,364.0,1357.3905029296875,453.5364379882813,1847.9822998046875,219.71693420410156,1190.7196044921875,219.8487146065859,1191.0488437258343,363.969874104368,1357.4636171554484,453.8148641979397,1848.0004848987007,-4.829049693493062,0.0008342574964529486,338.8297909217678
7,364.0,1357.5,452.14154052734375,1848.3858642578125,219.5,1191.15771484375,219.51268513853745,1191.1414422767446,363.8582642351864,1357.4946497720953,452.7363588386505,1848.4064147504391,-5.794592327187047,0.0009314560112460993,338.7332143829814
8,364.0,1357.3905029296875,451.3126525878906,1849.14208984375,219.33892822265625,1191.3389892578125,219.24106486629697,1191.2301527171564,363.7463720029104,1357.5102109808645,451.60775444501184,1848.8866473051896,-6.379423996395417,0.0007513925115754462,338.6268906497081
9,363.5,1357.5,450.4106750488281,1849.4373779296875,219.33892822265625,1191.3389892578125,219.0412674026701,1191.288105598461,363.6453285171806,1357.5116188891093,450.446717438693,1849.406291200291,-6.614066689076026,0.0004276318093161256,338.5166562048902
10,363.5,1357.5,450.4106750488281,1849.4373779296875,218.8345489501953,1191.360107421875,218.92309371470137,1191.2908549260576,363.57455196630013,1357.4939967520943,449.25458316491705,1849.9337718208108,-6.614753533510793,0.0001598281292616419,338.406410312665
11,363.5,1357.5,448.0,1850.609619140625,218.5,1191.5,218.8938719262415,1191.2270076213356,363.55270739797066,1357.449755286935,448.0433374866174,1850.439595555051,-6.492198187191889,3.230433430790495e-05,338.29820700954514
12,363.4245300292969,1357.4716796875,446.7088012695313,1851.260498046875,218.85931396484375,1191.012939453125,218.9495592132794,1191.102963334753,363.5884547675346,1357.3739338359078,446.8532530086824,1850.8971738865823,-6.298150337611332,5.518446098760385e-06,338.1932378372516
13,363.66107177734375,1357.3389892578125,445.7990112304687,1851.323486328125,219.15850830078125,1190.841552734375,219.0694819900965,1190.940272252721,363.6756638942933,1357.2687846529675,445.74846319317817,1851.2873929343968,-6.024797941659017,1.7444962334140314e-05,338.09282453822397
14,363.8549499511719,1357.061767578125,444.2009887695313,1851.068603515625,219.3640594482422,1190.685546875,219.2204868179131,1190.7672408453816,363.7948388254909,1357.1451689495973,444.7966465170635,1851.601382481426,-5.628255608332893,4.33294971267606e-05,337.9990202780851
15,364.0,1357.0,444.0913391113281,1852.1461181640625,219.3640594482422,1190.685546875,219.36786138281948,1190.6095187578471,363.91976631294216,1357.0201104655132,444.0480175600269,1851.8379635621395,-5.058088359299973,9.079560356706128e-05,337.9147188054301
16,364.0918273925781,1356.908203125,444.0913391113281,1852.1461181640625,219.57638549804688,1190.3958740234375,219.48602459856593,1190.483597388856,364.0261561278512,1356.9122286224156,443.5241639255749,1852.0002740665832,-4.285017496547425,0.0001799939602515049,337.8433018471543
17,364.1649169921875,1356.8350830078125,442.4838562011719,1851.758056640625,219.6359405517578,1190.314453125,219.56471255557088,1190.3936583982822,364.09838557788663,1356.8375323258133,443.21717367856775,1852.0954586726505,-3.3143177391559675,0.000326800451345086,337.78806321816836
18,364.0721740722656,1356.81787109375,443.0853576660156,1852.4593505859375,219.6359405517578,1190.314453125,219.6100693340697,1190.3310048050732,364.13203239863213,1356.8066235251515,443.0932456334656,1852.135254654224,-2.183898663869286,0.0005261309601909635,337.7516649071039
19,364.0721740722656,1356.81787109375,443.3482666015625,1852.0498046875,219.6359405517578,1190.314453125,219.6411262986192,1190.2763775756962,364.1323579529676,1356.822826322499,443.09903886208826,1852.1351930057565,-0.9575054696222196,0.0007427759341501538,337.73570648261017
20,364.1649169921875,1356.8350830078125,443.3482666015625,1852.0498046875,219.6399078369141,1190.1654052734375,219.68249826998175,1190.2053141648614,364.11084620801034,1356.8805748821387,443.1738384727028,1852.1125733430351,0.2798079385411256,0.0009183598835632392,337.7403699482525
21,364.0918273925781,1356.908203125,443.3482666015625,1852.0498046875,219.6399078369141,1190.1654052734375,219.7551079689671,1190.095351718187,364.08208809917465,1356.9641063750355,443.26506663151383,1852.083364369856,1.4190075611156772,0.0009886927407767147,337.7640200742711
22,364.0918273925781,1356.908203125,443.3482666015625,1852.0498046875,219.6399078369141,1190.1654052734375,219.86779986960912,1189.93322539329,364.0615329864262,1357.0474555161245,443.338900392067,1852.0589595411252,2.3205545837959107,0.0009033967898540677,337.80269598400105
23,364.0188598632813,1357.1666259765625,443.3482666015625,1852.0498046875,220.05030822753903,1189.8197021484375,220.01338018965544,1189.7195503931978,364.063040412194,1357.0974190107593,443.3818091443784,1852.044676816954,2.8272179589475854,0.0006562894388404746,337.84981628331684
24,364.0031433105469,1357.12890625,443.3482666015625,1852.0498046875,220.2751007080078,1189.212890625,220.17176585214688,1189.4678053273285,364.0956296823014,1357.0805726287444,443.3954321208378,1852.0404919801083,2.8181439752609094,0.0003285094705141865,337.8967853495712
25,364.0882263183594,1357.0653076171875,443.3482666015625,1852.0498046875,220.33946228027344,1189.1390380859375,220.31943172593745,1189.1969522394836,364.1605515418538,1356.973207956736,443.389215467215,1852.0429590443032,2.2859083534342517,9.148360792519835e-05,337.9348838221284
26,364.2596435546875,1356.9683837890625,443.3482666015625,1852.0498046875,220.68063354492188,1188.7344970703125,220.4406268760017,1188.9222832064331,364.2508651750957,1356.770810697843,443.37403262708176,1852.047266673868,1.3810955154212934,9.638228518640651e-05,337.9579020807188
27,364.592041015625,1356.736328125,443.3482666015625,1852.0498046875,220.68063354492188,1188.7344970703125,220.5350323569572,1188.651026399291,364.3546814613942,1356.492922056038,443.3582591191265,1852.0489493065852,0.3812444239463275,0.0003069465374904572,337.9642561544512
28,364.4186096191406,1355.8526611328125,443.3482666015625,1852.0498046875,220.5,1188.5,220.618005945788,1188.385424385647,364.46023523186255,1356.1798341820415,443.3463923671056,1852.04519110971,-0.410548284169181,0.0004897951516573645,337.9574136830484
29,364.4186096191406,1355.8526611328125,443.3482666015625,1852.0498046875,220.48255920410156,1188.406982421875,220.71258605544423,1188.1303280405614,364.5590020845182,1355.8806344223508,443.33952595758626,1852.0358134665944,-0.787117750123798,0.00044729788454837116,337.94429505387967
30,364.5813903808594,1355.3720703125,443.3482666015625,1852.0498046875,220.7345733642578,1187.938232421875,220.83739780141673,1187.898827544788,364.6454951127539,1355.637611677012,443.33675008802095,1852.0239275906845,-0.7124880479489093,0.00023223234680586823,337.9324202530805
31,365.0,1355.6094970703125,443.3482666015625,1852.0498046875,220.87472534179688,1187.3914794921875,220.997979229324,1187.7103216695955,364.7164718389252,1355.4747728274594,443.3366651377947,1852.0159680399952,-0.3116789072294068,5.9769532163742404e-05,337.9272256046267
32,364.6465759277344,1355.26904296875,443.3482666015625,1852.0498046875,221.5,1187.5,221.18660961595495,1187.5813370508404,364.7717707176775,1355.3947247399433,443.3384606137837,1852.020576499801,0.2106842898695049,4.363411510359711e-05,337.93073700945786
33,364.76513671875,1355.4659423828125,443.3482666015625,1852.0498046875,221.5,1187.5,221.38911180511656,1187.515850515712,364.8150871258288,1355.3827340728128,443.3422862898883,1852.0457877622864,0.6700405735307413,0.0001072563353156148,337.94190435235004
34,364.8201904296875,1355.5,443.3482666015625,1852.0498046875,221.5,1187.5,221.59192677082663,1187.501881092548,364.8528493427267,1355.414415995395,443.3488685514702,1852.0943666654275,0.9643561290010894,0.0001314811091734025,337.95797695450005
35,365.0,1355.5,443.3482666015625,1852.0498046875,221.5,1187.5,221.78401107628756,1187.5153311167342,364.8926401507755,1355.4637949236055,443.3585103617745,1852.158031872077,1.0750877509519796,9.134989945441299e-05,337.9758950836826
36,365.0,1355.5,443.3482666015625,1852.0498046875,222.16259765625,1187.6016845703125,221.9549678768104,1187.527895249965,364.9428285499561,1355.5092313534867,443.3697902281379,1852.2125420003777,1.0275961777972498,3.598076292043809e-05,337.9930216866459
37,365.0,1355.5,443.3482666015625,1852.0498046875,222.16259765625,1187.6016845703125,222.09478372721455,1187.5158916378575,365.0121176533249,1355.5360633462033,443.3784551825656,1852.2167690039769,0.8539764302213371,7.251350386753437e-06,338.00725462714956
38,365.0,1355.5,443.3482666015625,1852.0498046875,222.16259765625,1187.6016845703125,222.1966166139496,1187.4676288444798,365.1068446202696,1355.536906816757,443.37713869867343,1852.119175021042,0.58290376950481,1.0676620218582754e-05,338.01696968997464
39,365.0,1355.5,443.3482666015625,1852.0498046875,222.20416259765625,1187.481201171875,222.25933726506952,1187.3867669818092,365.22656437990673,1355.5117428123008,443.3565095204014,1851.873568428314,0.2508399470241329,3.2660291156764757e-05,338.0211503557584
