Frame #,Nose (X),Nose (Y),Nose (Z),Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Nose (X)_smoothed,Nose (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
1,0.3639606833457947,-0.4298086762428283,-1.1527340412139893,0.4243179261684418,-0.4665521681308746,-0.7120070457458496,0.4377524256706238,-0.4976964592933655,-0.4061947464942932,0.4099533259868622,-0.4922368824481964,0.0291501265019178,0.4243223740885312,-0.4665793132100571,0.3640050878401207,-0.4298215274545277,0.4099481930400955,-0.4923143863134947,267.8268690019694,,
2,0.3644383549690246,-0.4354352653026581,-1.2256858348846436,0.4325782656669616,-0.4640382528305053,-0.753754198551178,0.4377254545688629,-0.4922597110271454,-0.396967738866806,0.3725136220455169,-0.4852322936058044,0.0507752858102321,0.4236548113068237,-0.4679138327210974,0.3671137746161946,-0.4325257851192289,0.3789342480887385,-0.4924429457025096,280.3815674740367,753.2819083240372,
3,0.3707699477672577,-0.4358667731285095,-1.2697808742523191,0.4318427443504333,-0.4655338525772095,-0.7869364619255066,0.408805638551712,-0.4920855462551117,-0.3941811025142669,0.3393608331680298,-0.4845070838928222,0.1112952753901481,0.4216848744781923,-0.4691163626970623,0.3700706966134069,-0.4352393321076276,0.3514516725678262,-0.49370536617383,291.19919862987757,649.057869350454,1.5087014305509714
4,0.3756584823131561,-0.4365112483501434,-1.354645013809204,0.4231543838977813,-0.4709473252296448,-0.8649807572364807,0.3999223113059997,-0.4924823939800262,-0.4531966149806976,0.3224973082542419,-0.4912881255149841,0.1184645518660545,0.4176862289541239,-0.4699291448323822,0.3727270543292069,-0.4379892525874657,0.3300389214039196,-0.4966903906467859,297.77164604098624,394.34684466652016,9.4710526073302
5,0.3737373948097229,-0.4379375874996185,-1.3173913955688477,0.4089113771915436,-0.4708308577537536,-0.831298291683197,0.3649333417415619,-0.4987115859985351,-0.5399189591407776,0.3047782182693481,-0.5013140439987183,-0.144539326429367,0.4117642038304629,-0.469992819360623,0.3749233104279358,-0.4407913651501594,0.3156568807971101,-0.5011717987706615,300.11272403505734,140.46467964426597,20.908399963356228
6,0.3690252304077148,-0.4440987706184387,-1.277045488357544,0.3913286924362182,-0.4703556895256042,-0.8090780377388,0.3531633913516998,-0.5015712380409241,-0.5499926209449768,0.3137086033821106,-0.5180901885032654,-0.2004739195108413,0.4046532219863675,-0.4689812711113715,0.3764844862566755,-0.4436062177234344,0.3076818202791621,-0.5062743834735561,298.8480618527527,-75.87973093827713,33.11394948817866
7,0.3829946219921112,-0.4500550031661987,-1.2600347995758057,0.3971475660800934,-0.4694316983222961,-0.8156994581222534,0.373972624540329,-0.4933565557003021,-0.5578286051750183,0.3174947202205658,-0.5112802386283875,-0.227806806564331,0.397287852642893,-0.4667755192677714,0.3772198698451811,-0.4463407863574257,0.3044686866202662,-0.5108940258710252,294.93230861640376,-234.94519418093773,35.07163381370668
8,0.3816214799880981,-0.4482549726963043,-1.1577904224395752,0.4006726741790771,-0.4673883020877838,-0.7848343253135681,0.3788099288940429,-0.4881702363491058,-0.569338858127594,0.3129387199878692,-0.5085602402687073,-0.3543827831745147,0.3904864563220145,-0.4635822773044334,0.3769825321165867,-0.4489014115060988,0.3041878029813236,-0.5140784142353516,289.8696030796902,-303.7623322028139,22.72190686887411
9,0.3733299672603607,-0.4489166140556335,-0.809517502784729,0.3824684917926788,-0.4558647572994232,-0.5513135194778442,0.3542545437812805,-0.482272058725357,-0.5568076968193054,0.3051527440547943,-0.5165153741836548,-0.4639769494533539,0.3848815975512561,-0.4599334385916589,0.3757719953779955,-0.4512369466203642,0.3054879191511526,-0.5152067509148363,286.5152385317732,-201.2618728750192,8.488636721687957
10,0.3728021681308746,-0.4562082290649414,-0.9956867098808287,0.3776825368404388,-0.4566782116889953,-0.6441130042076111,0.3535760343074798,-0.4835192859172821,-0.5547610521316528,0.3019559383392334,-0.5183771848678589,-0.4909088611602783,0.3809437314033453,-0.4565530806243135,0.3737740882727315,-0.4533320986961627,0.3076866731833872,-0.5140402267435148,290.98332820168747,268.0853801948558,14.277473589261426
